date,price
2012-09-04,28.491497
2012-09-05,28.584383
2012-09-06,28.979134
2012-09-07,28.870766
2012-09-10,28.963652
2012-09-11,29.118452
2012-09-12,29.195858
2012-09-13,29.528685
2012-09-14,28.839808
2012-09-17,29.10298
2012-09-18,29.149412
2012-09-19,29.226809
2012-09-20,29.366144
2012-09-21,29.474504
2012-09-24,29.606083
2012-09-25,29.459028
2012-09-26,29.474504
2012-09-27,29.40484
2012-09-28,29.180382
2012-10-01,29.21907
2012-10-02,29.26552
2012-10-03,29.544168
2012-10-04,29.675755
2012-10-05,29.644419
2012-10-08,29.487827
2012-10-09,29.080666
2012-10-10,28.908407
2012-10-11,28.391623
2012-10-12,27.898331
2012-10-15,27.569468
2012-10-16,27.718246
2012-10-17,27.968801
2012-10-18,28.203705
2012-10-19,27.655603
2012-10-22,27.608622
2012-10-23,27.405045
2012-10-24,27.177971
2012-10-25,27.013546
2012-10-26,27.115334
2012-10-31,27.084013
2012-11-01,27.475517
2012-11-02,27.350237
2012-11-05,27.271936
2012-11-06,27.24844
2012-11-07,26.340157
2012-11-08,25.995642
2012-11-09,26.26186
2012-11-12,26.520252
2012-11-13,26.582891
2012-11-14,26.44978
2012-11-15,26.167902
2012-11-16,25.94866
2012-11-19,26.481106
2012-11-20,26.371487
2012-11-21,26.504593
2012-11-23,26.903921
2012-11-26,26.598553
2012-11-27,26.324501
2012-11-28,26.324501
2012-11-29,26.567234
2012-11-30,26.723835
2012-12-03,26.731665
2012-12-04,26.559402
2012-12-05,26.551567
2012-12-06,26.347994
2012-12-07,26.418463
2012-12-10,26.410633
2012-12-11,26.739492
2012-12-12,27.005711
2012-12-13,26.872602
2012-12-14,26.629873
2012-12-17,26.802134
2012-12-18,26.888262
2012-12-19,26.551567
2012-12-20,26.755154
2012-12-21,26.363647
2012-12-24,26.418463
2012-12-26,26.44978
2012-12-27,26.355822
2012-12-28,26.089598
2012-12-31,26.394974
2013-01-02,27.405045
2013-01-03,27.4207
2013-01-04,27.585133
2013-01-07,27.710413
2013-01-08,27.242489
2013-01-09,27.155256
2013-01-10,27.258352
2013-01-11,27.17905
2013-01-14,26.980774
2013-01-15,26.774572
2013-01-16,26.378029
2013-01-17,26.330441
2013-01-18,26.520782
2013-01-22,26.655609
2013-01-23,26.790432
2013-01-24,26.766645
2013-01-25,26.980774
2013-01-28,27.06802
2013-01-29,27.504215
2013-01-30,27.345598
2013-01-31,27.59145
2013-02-01,28.162472
2013-02-04,27.940411
2013-02-05,28.035574
2013-02-06,28.099026
2013-02-07,27.972132
2013-02-08,27.972132
2013-02-11,27.940411
2013-02-12,28.233854
2013-02-13,28.091091
2013-02-14,27.987989
2013-02-15,28.04351
2013-02-19,28.289364
2013-02-20,28.130749
2013-02-21,28.099026
2013-02-22,28.297302
2013-02-25,27.908688
2013-02-26,28.146608
2013-02-27,28.432119
2013-02-28,28.479704
2013-03-01,28.55901
2013-03-04,28.733496
2013-03-05,29.026937
2013-03-06,28.781082
2013-03-07,28.860392
2013-03-08,29.090384
2013-03-11,29.026937
2013-03-12,29.122108
2013-03-13,29.026937
2013-03-14,29.233133
2013-03-15,28.892113
2013-03-18,28.670044
2013-03-19,28.662119
2013-03-20,28.701777
2013-03-21,28.670044
2013-03-22,28.892113
2013-03-25,28.860392
2013-03-26,29.13797
2013-03-27,29.042795
