date,price
2012-09-04,12.377397
2012-09-05,12.20525
2012-09-06,12.403219
2012-09-07,12.489294
2012-09-10,12.652833
2012-09-11,12.842196
2012-09-12,12.885232
2012-09-13,12.936876
2012-09-14,13.22092
2012-09-17,12.902447
2012-09-18,12.988521
2012-09-19,12.945484
2012-09-20,12.738907
2012-09-21,12.738907
2012-09-24,12.764729
2012-09-25,12.738907
2012-09-26,12.902447
2012-09-27,13.427497
2012-09-28,13.616858
2012-10-01,13.685717
2012-10-02,13.771791
2012-10-03,13.814827
2012-10-04,13.909508
2012-10-05,13.832043
2012-10-08,13.367244
2012-10-09,13.22092
2012-10-10,13.014342
2012-10-11,12.936876
2012-10-12,13.014342
2012-10-15,13.160668
2012-10-16,13.298386
2012-10-17,13.427497
2012-10-18,13.38446
2012-10-19,13.100417
2012-10-22,13.195098
2012-10-23,13.100417
2012-10-24,13.040164
2012-10-25,13.238134
2012-10-26,13.341423
2012-10-31,13.685717
2012-11-01,13.866473
2012-11-02,13.573822
2012-11-05,13.668502
2012-11-06,13.943939
2012-11-07,13.918117
2012-11-08,13.883687
2012-11-09,14.081657
2012-11-12,14.159123
2012-11-13,13.926723
2012-11-14,13.702931
2012-11-15,13.814827
2012-11-16,13.935331
2012-11-19,14.064443
2012-11-20,13.986976
2012-11-21,13.995584
2012-11-23,14.494811
2012-11-26,14.305449
2012-11-27,14.486203
2012-11-28,14.546453
2012-11-29,14.744423
2012-11-30,14.864927
2012-12-03,14.701387
2012-12-04,14.417344
2012-12-05,14.598097
2012-12-06,14.675564
2012-12-07,14.658353
2012-12-10,14.529241
2012-12-11,14.796069
2012-12-12,14.684172
2012-12-13,14.727209
2012-12-14,14.589492
2012-12-17,14.580884
2012-12-18,14.615313
2012-12-19,14.709993
2012-12-20,14.718602
2012-12-21,14.589492
2012-12-24,14.572276
2012-12-26,14.563671
2012-12-27,14.615313
2012-12-28,14.744423
2012-12-31,14.770247
2013-01-02,15.579339
2013-01-03,15.570731
2013-01-04,15.458835
2013-01-07,15.235046
2013-01-08,15.097326
2013-01-09,15.097326
2013-01-10,15.648199
2013-01-11,15.622377
2013-01-14,15.501871
2013-01-15,15.398584
2013-01-16,15.321116
2013-01-17,15.717058
2013-01-18,15.613769
2013-01-22,15.630981
2013-01-23,15.725666
2013-01-24,15.329724
2013-01-25,15.27808
2013-01-28,15.080112
2013-01-29,15.286686
2013-01-30,15.321116
2013-01-31,15.269475
2013-02-01,15.553517
2013-02-04,15.40719
2013-02-05,15.648199
2013-02-06,15.527694
2013-02-07,15.751487
2013-02-08,15.880598
2013-02-11,15.906418
2013-02-12,15.923634
2013-02-13,15.846168
2013-02-14,15.983886
2013-02-15,15.949457
2013-02-19,16.483112
2013-02-20,16.259319
2013-02-21,16.087173
2013-02-22,16.267927
2013-02-25,15.70845
2013-02-26,15.329724
2013-02-27,15.648199
2013-02-28,15.70845
2013-03-01,15.70845
2013-03-04,15.613769
2013-03-05,15.777308
2013-03-06,15.596555
2013-03-07,15.536302
2013-03-08,15.415798
2013-03-11,15.252257
2013-03-12,15.260867
2013-03-13,15.493265
2013-03-14,15.536302
2013-03-15,15.183398
2013-03-18,14.839106
2013-03-19,14.701387
2013-03-20,14.847713
2013-03-21,14.537846
2013-03-22,14.69278
2013-03-25,14.589492
2013-03-26,14.69278
2013-03-27,14.778852
2013-03-28,14.796069
2013-04-01,14.701387
2013-04-02,14.727209
2013-04-03,14.408736
2013-04-04,14.486203
2013-04-05,14.40013
2013-04-08,14.494811
2013-04-09,14.589492
2013-04-10,14.796069
2013-04-11,14.925179
2013-04-12,14.899356
2013-04-15,14.537846
2013-04-16,14.839106
2013-04-17,14.701387
2013-04-18,15.441621
2013-04-19,16.181852
2013-04-22,15.923634
2013-04-23,15.734272
2013-04-24,15.871988
2013-04-25,16.087173
2013-04-26,15.949457
2013-04-29,16.207676
2013-04-30,16.422861
2013-05-01,16.448683
2013-05-02,16.810192
2013-05-03,16.706905
2013-05-06,16.827406
2013-05-07,16.758549
2013-05-08,17.395493
2013-05-09,17.395493
2013-05-10,17.361065
2013-05-13,17.154488
2013-05-14,17.120056
2013-05-15,17.042591
2013-05-16,16.741335
2013-05-17,16.792978
2013-05-20,16.672478
2013-05-21,16.55197
2013-05-22,16.259319
2013-05-23,16.138819
2013-05-24,16.2335
2013-05-28,16.397039
2013-05-29,16.560579
2013-05-30,16.32818
2013-05-31,16.061352
2013-06-03,16.104387
2013-06-04,16.302359
2013-06-05,16.061352
2013-06-06,16.009708
2013-06-07,16.087173
2013-06-10,16.190462
2013-06-11,15.940849
2013-06-12,15.80313
2013-06-13,15.725666
2013-06-14,15.484659
2013-06-17,15.596555
2013-06-18,15.86338
2013-06-19,15.484659
2013-06-20,14.985428
2013-06-21,14.787462
2013-06-24,14.572276
2013-06-25,15.088718
2013-06-26,15.183398
2013-06-27,15.433015
2013-06-28,15.768699
2013-07-01,15.880598
2013-07-02,15.923634
2013-07-03,16.031574
2013-07-05,16.111198
2013-07-08,15.571505
2013-07-09,15.783846
2013-07-10,15.783846
2013-07-11,16.403166
2013-07-12,16.314693
2013-07-15,16.279301
2013-07-16,16.305845
2013-07-17,16.323538
2013-07-18,14.872555
2013-07-19,14.589438
2013-07-22,14.704457
2013-07-23,14.810624
2013-07-24,15.058353
2013-07-25,15.199913
2013-07-26,14.952184
2013-07-29,14.775236
2013-07-30,15.014115
2013-07-31,15.022964
2013-08-01,15.261844
2013-08-02,14.863709
2013-08-05,14.881404
2013-08-06,14.677914
2013-08-07,14.30632
2013-08-08,14.350557
2013-08-09,14.34171
2013-08-12,14.20015
2013-08-13,14.394794
2013-08-14,14.208998
2013-08-15,14.155913
2013-08-16,14.129372
2013-08-19,13.987813
2013-08-20,14.005507
2013-08-21,13.934728
2013-08-22,14.208998
2013-08-23,14.350557
2013-08-26,14.385948
2013-08-27,14.138218
2013-08-28,14.385948
2013-08-29,14.748693
2013-08-30,14.65137
2013-09-03,14.952184
2013-09-04,14.916795
2013-09-05,15.199913
2013-09-06,15.049506
2013-09-09,15.30608
2013-09-10,15.465337
2013-09-11,15.429947
2013-09-12,15.288386
2013-09-13,15.332623
2013-09-16,15.589201
2013-09-17,15.642284
2013-09-18,15.580353
2013-09-19,15.571505
2013-09-20,15.314929
2013-09-23,15.615741
2013-09-24,15.536114
2013-09-25,15.323776
2013-09-26,15.323776
2013-09-27,15.102589
2013-09-30,15.005268
2013-10-01,15.412251
2013-10-02,15.456489
2013-10-03,15.659979
2013-10-04,15.642284
2013-10-07,15.589201
2013-10-08,15.447639
2013-10-09,15.270692
2013-10-10,15.633437
2013-10-11,16.00503
2013-10-14,15.934249
2013-10-15,16.058115
2013-10-16,16.173132
2013-10-17,16.500488
2013-10-18,16.880928
2013-10-21,16.792452
2013-10-22,16.951708
2013-10-23,16.56242
2013-10-24,16.527027
2013-10-25,16.341232
2013-10-28,16.465097
2013-10-29,16.606657
2013-10-30,16.438555
2013-10-31,16.288149
2013-11-01,16.341232
2013-11-04,16.226215
2013-11-05,15.996182
2013-11-06,16.164284
2013-11-07,16.040421
2013-11-08,15.934249
2013-11-11,15.686522
2013-11-12,15.757302
2013-11-13,15.580353
2013-11-14,15.483031
2013-11-15,15.624591
2013-11-18,15.659979
2013-11-19,15.544963
2013-11-20,15.527267
2013-11-21,15.058353
2013-11-22,15.155676
2013-11-25,15.191064
