ID,Name,Mobility,State,Population,Urban,Black,Seg_racial,Seg_income,Seg_poverty,Seg_affluence,Commute,Income,Gini,Share01,Gini_99,Middle_class,Local_tax_rate,Local_gov_spending,Progressivity,EITC,School_spending,Student_teacher_ratio,Test_scores,HS_dropout,Colleges,Tuition,Graduation,Labor_force_participation,Manufacturing,Chinese_imports,Teenage_labor,Migration_in,Migration_out,Foreign_born,Social_capital,Religious,Violent_crime,Single_mothers,Divorced,Married,Longitude,Latitude
100,Johnson City,0.0621988103,TN,576081,1,0.021,0.09,0.035,0.03,0.038,0.325,31560,0.468,13.459,0.333,0.548,0.02,1886.0,0.0,0.0,5.185,,2.728,-0.015,0.014,4817.0,-0.002,0.587,0.237,5.294,0.004,0.006,0.005,0.012,-0.298,0.514,0.001,0.19,0.11,0.601,-82.4363861083984,36.4703712463379
200,Morristown,0.0536519401,TN,227816,1,0.02,0.093,0.026,0.028,0.025,0.276,29959,0.435,10.631,0.328,0.538,0.023,2004.0,0.0,0.0,4.506,,-3.4,-0.024,0.009,4762.0,-0.101,0.625,0.238,3.03,0.005,0.016,0.014,0.023,-0.767,0.544,0.002,0.185,0.116,0.613,-83.4072494506836,36.0965385437012
301,Middlesborough,0.0726351365,TN,66708,0,0.015,0.064,0.024,0.015,0.026,0.359,22328,0.441,10.691,0.334,0.467,0.015,1190.0,0.0,0.0,5.614,15.1,-9.315,-0.005,0.045,11840.0,0.111,0.479,0.234,2.063,0.003,0.008,0.012,0.007,-1.27,0.668,0.001,0.211,0.113,0.59,-83.5353317260742,36.5515403747559
302,Knoxville,0.0562812127,TN,727600,1,0.056,0.21,0.092,0.084,0.102,0.269,35884,0.508,15.08,0.358,0.504,0.019,2357.0,0.0,0.0,4.9,,-6.032,-0.011,0.011,3480.0,-0.024,0.615,0.146,1.078,0.004,0.016,0.014,0.02,-0.222,0.602,0.001,0.206,0.114,0.575,-84.242790222168,35.9522590637207
401,Winston-Salem,0.0448007919,NC,493180,1,0.174,0.262,0.072,0.061,0.081,0.292,38892,0.466,11.917,0.346,0.5,0.018,1891.0,1.0,0.0,5.463,15.4,-2.297,0.023,0.014,9715.0,0.052,0.656,0.215,1.016,0.004,0.022,0.019,0.053,-0.018,0.488,0.003,0.22,0.092,0.586,-80.5053329467773,36.0812759399414
402,Martinsville,0.0518358536,VA,92753,0,0.224,0.137,0.024,0.015,0.028,0.313,31265,0.444,10.68,0.338,0.538,0.015,1558.0,0.0,0.0,5.74,,4.227,,0.011,1113.0,-0.116,0.599,0.395,3.277,0.003,0.007,0.01,0.025,-0.903,0.454,0.002,0.241,0.096,0.58,-80.2941131591797,36.7005882263184
500,Greensboro,0.0473969392,NC,1055133,1,0.218,0.22,0.068,0.058,0.077,0.305,36582,0.524,18.228,0.341,0.51,0.017,1932.0,1.0,0.0,5.008,16.7,-3.716,0.016,0.014,4528.0,-0.017,0.666,0.261,2.051,0.004,0.017,0.015,0.05,-0.513,0.434,0.003,0.237,0.096,0.56,-79.7673873901367,36.311107635498
601,North Wilkesboro,0.0516631268,NC,90016,0,0.032,0.114,0.012,0.009,0.012,0.289,31544,0.446,12.645,0.32,0.56,0.014,1661.0,1.0,0.0,5.296,16.2,6.698,0.021,0.011,880.0,-0.123,0.617,0.275,2.573,0.003,0.012,0.012,0.027,-0.193,0.561,0.003,0.165,0.087,0.632,-81.2522048950195,36.2834167480469
602,Galax,0.0795698911,VA,64676,0,0.029,0.131,0.005,0.004,0.006,0.325,30683,0.356,8.706,0.269,0.608,0.014,1208.0,0.0,0.0,5.377,12.3,4.9,,,,,0.594,0.321,4.303,0.004,0.006,0.006,0.023,-0.801,0.43,0.001,0.167,0.089,0.622,-81.039924621582,36.5919990539551
700,Spartanburg,0.0431111902,SC,354533,1,0.207,0.139,0.045,0.044,0.045,0.299,33417,0.471,13.061,0.341,0.529,0.018,2499.0,0.0,0.0,5.421,15.9,-1.009,,0.02,7264.0,0.007,0.63,0.295,0.946,0.004,0.017,0.016,0.029,-1.001,0.596,0.003,0.246,0.099,0.561,-81.7859649658203,34.8730812072754
800,Gastonia,0.0515273064,NC,413331,1,0.138,0.134,0.038,0.034,0.041,0.288,33582,0.415,10.08,0.314,0.544,0.015,1996.0,1.0,0.0,5.251,16.4,2.412,0.03,0.015,10244.0,-0.102,0.648,0.311,1.466,0.003,0.017,0.015,0.029,-0.659,0.601,0.004,0.214,0.094,0.596,-81.6222229003906,35.4115333557129
900,Charlotte,0.0437852368,NC,1423942,1,0.227,0.223,0.098,0.078,0.12,0.241,41423,0.516,15.613,0.36,0.477,0.02,2701.0,1.0,0.0,5.674,17.0,-2.291,0.023,0.013,4790.0,-0.021,0.696,0.171,0.837,0.004,0.034,0.021,0.065,-0.484,0.496,0.004,0.219,0.088,0.563,-80.691764831543,35.0905609130859
1001,Boone,0.0560836494,NC,77361,0,0.022,0.076,0.031,0.028,0.031,0.375,25953,0.487,14.276,0.344,0.53,0.022,1348.0,1.0,0.0,5.264,13.9,9.978,0.013,0.026,1674.0,0.236,0.589,0.11,2.011,0.004,0.014,0.017,0.018,0.012,0.488,0.002,0.167,0.09,0.527,-81.8403930664062,36.196964263916
1002,Morganton,0.0544464625,NC,164760,1,0.047,0.117,0.012,0.011,0.011,0.315,30726,0.351,7.776,0.273,0.603,0.014,1826.0,1.0,0.0,4.926,15.7,5.556,0.018,0.018,888.0,-0.155,0.61,0.355,3.332,0.004,0.013,0.015,0.038,-0.231,0.569,0.002,0.179,0.096,0.607,-81.9952087402344,35.8018951416016
1100,Hickory,0.0449696705,NC,375363,1,0.091,0.134,0.038,0.029,0.042,0.322,36024,0.435,11.834,0.317,0.568,0.015,1917.0,1.0,0.0,5.205,16.7,3.202,0.026,0.011,4109.0,-0.164,0.688,0.365,3.949,0.004,0.022,0.019,0.042,-0.235,0.578,0.002,0.19,0.095,0.601,-81.2875671386719,35.8712272644043
