Agency Name,Location Name,Address,City,Zip code,County,Congress Dist,Congressional Full Name,Rep Dist,Rep Full Name,Senate Dist,Senator Full Name,Bldg Status,Year Acquired,Year Constructed,Square Footage,Total Floors,Floors Above Grade,Floors Below Grade,Usage Description,Usage Description 2,Usage Description 3
Department of Natural Resources,Anderson Lake Conservation Area - Fulton County,Anderson Lake C.a.,Astoria,61501,Fulton,17,Cheri Bustos,93,Hammond Norine K.,47,Jil Tracy,In Use,1975,1975,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Anderson Lake Conservation Area - Fulton County,Anderson Lake C.a.,Astoria,61501,Fulton,17,Cheri Bustos,93,Hammond Norine K.,47,Jil Tracy,In Use,2004,2004,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Anderson Lake Conservation Area - Fulton County,Anderson Lake C.a.,Astoria,61501,Fulton,17,Cheri Bustos,93,Hammond Norine K.,47,Jil Tracy,In Use,2004,2004,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Anderson Lake Conservation Area - Fulton County,Anderson Lake C.a.,Astoria,61501,Fulton,17,Cheri Bustos,93,Hammond Norine K.,47,Jil Tracy,In Use,2004,2004,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Anderson Lake Conservation Area - Fulton County,Anderson Lake C.a.,Astoria,61501,Fulton,17,Cheri Bustos,93,Hammond Norine K.,47,Jil Tracy,In Use,2004,2004,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Anderson Lake Conservation Area - Fulton County,Anderson Lake C.a.,Astoria,61501,Fulton,17,Cheri Bustos,93,Hammond Norine K.,47,Jil Tracy,In Use,2004,2004,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Dixon Springs State Park - Pope County,Rr #2,Golconda,62938,Pope,15,John Shimkus,118,Phelps Brandon W.,59,Dale Fowler,In Use,2000,2000,120,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Dixon Springs State Park - Pope County,Rr #2,Golconda,62938,Pope,15,John Shimkus,118,Phelps Brandon W.,59,Dale Fowler,In Use,2000,2000,120,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Matthiessen State Park - LaSalle County,"R. R. 178, Box 509",Utica,61373,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Matthiessen State Park - LaSalle County,"R. R. 178, Box 509",Utica,61373,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Matthiessen State Park - LaSalle County,"R. R. 178, Box 509",Utica,61373,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Matthiessen State Park - LaSalle County,"R. R. 178, Box 509",Utica,61373,LaSalle,16,Adam Kinzinger,76,Long Jerry Lee,38,Sue Rezin,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Eldon Hazlet State Park - Clinton County,Keyesport Road,Carlyle,62231,Clinton,15,John Shimkus,107,Cavaletto John,54,Kyle McCarter,In Use,1999,1999,96,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,1980,1980,625,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,1997,1997,740,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000,2000,320,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,1976,1976,625,1,1,0,Assembly,Assembly,Not provided
Department of Natural Resources,Weinberg-King State Park - Schuyler County,P.o. Box 203,Augusta,62311,Schuyler,18,Darin M. LaHood,93,Hammond Norine K.,47,Jil Tracy,In Use,2000,2000,144,1,1,0,Unusual,Unusual,Not provided
Department of Natural Resources,Wolf Creek State Park,R.r. 1 Box 99,Windsor,62534,Shelby,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,1980,1980,144,1,1,0,Storage,Storage,Not provided
Department of Natural Resources,Wolf Creek State Park,R.r. 1 Box 99,Windsor,62534,Shelby,15,John Shimkus,102,Halbrook Brad,51,Chapin Rose,In Use,1994,1994,2000,1,1,0,Storage,Storage,Not provided
Department of Corrections,Dwight Correctional Center - Livingston County,Route 17 West,Dwight,60420,Livingston,16,Adam Kinzinger,90,Demmer Tom,45,Tim Bivins,In Use,2001,2001,2048,1,1,0,Industrial,Industrial,Not provided
Department of Human Services,Joliet Sexually Violent Persons Facility,1125 North Collins Street,Joliet,60432,Will,11,Bill Foster,86,"Walsh, Jr. Lawrence M.",43,Pat McGuire,In Use,2001,2001,22000,2,2,0,Health Care,Detention & Correc,Not provided
Department of Corrections,Southwestern Correctional Center - E. St. Louis,950 Kingshighway P.o. Box 50,East St Louis,62203,St. Clair,12,Mike Bost,113,Hoffman Jay,57,"James F. Clayborne, Jr.",In Use,2000,2000,120,1,1,0,Storage,Storage,Not provided
Department of Transportation,Fithian Maintenance Storage Facility - Vermilion County,1518 East 1800 North Road,Fithian,61844,Vermilion,15,John Shimkus,104,Hays Chad,52,Scott M. Bennett,In Use,2000,2000,4860,1,1,0,Storage,Storage,Not provided
Department of State Police,Effingham District 12 - Effingham County,2 Miles East Of Mason,Effingham,62454,Effingham,15,John Shimkus,107,Cavaletto John,54,Kyle McCarter,In Use,2000,2000,156,1,1,0,Industrial,Industrial,Not provided
Department of Military Affairs,Marseilles Armory (Training Area) - LaSalle Co.,2515 N. 23rd. Road,Marseilles,61341,LaSalle,16,Adam Kinzinger,75,Welter David A.,38,Sue Rezin,In Use,2000,2000,1080,1,1,0,Unusual,Unusual,Not provided
Department of Agriculture,DuQuoin State Fairgrounds - Perry County,"Route #2, Box 306",Duquoin,62832,Perry,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2000,2000,2020,1,1,0,Storage,Storage,Not provided
Department of Agriculture,DuQuoin State Fairgrounds - Perry County,"Route #2, Box 306",Duquoin,62832,Perry,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2000,2000,3360,1,1,0,Storage,Storage,Not provided
Department of Agriculture,DuQuoin State Fairgrounds - Perry County,"Route #2, Box 306",Duquoin,62832,Perry,12,Mike Bost,115,Bryant Terri,58,Paul Schimpf,In Use,2000,2000,1800,1,1,0,Storage,Storage,Not provided
Governors State University,Governors State University - Will County,Governor's Hwy & Univ Pkwy,University Park,60466,Will,3,Daniel William Lipinski,85,Connor John,43,Pat McGuire,In Use,1993,1993,25000,3,2,1,Business,Business,Not provided
Governors State University,Governors State University - Will County,Governor's Hwy & Univ Pkwy,University Park,60466,Will,3,Daniel William Lipinski,85,Connor John,43,Pat McGuire,In Use,1972,1970,11000,3,2,1,Education,Education,Not provided
