dataset_size,dataset,driver,meanDuration,countAnswered,durationCiLower,durationCiUpper,durationStd,countViolated,responseRate
100M,flights,monetdb,85.4475102738,37474,83.7588430121,87.1361775355,166.7811604109,12326,0.0682090645
100M,flights,postgresql,5312.5874558304,1132,5256.3799706669,5368.7949409939,963.8384929249,1132,0.0
100M,flights,sqlite,34020.7299270073,137,33339.6234949312,34701.8363590833,4031.3028500934,137,0.0
100M,flights,verdictdb,90.2528694405,33456,89.1077306924,91.3980081885,106.8639724851,10366,0.0626271393
100M,movies,monetdb,44.4407223476,44300,42.642966198,46.2384784973,193.0512815141,6264,0.1314078425
100M,movies,postgresql,5761.9461538462,520,5346.4772149091,6177.4150927832,4822.5659797539,520,0.0
100M,movies,sqlite,31167.8615384615,65,30224.5999858674,32111.1230910556,3806.7301785658,65,0.0
100M,movies,verdictdb,69.6492505353,25685,68.5017406412,70.7967604294,93.8269644828,6069,0.06776990840000001
100M,weather,monetdb,61.2940521763,59299,60.015296766,62.5728075865,158.8745060257,12862,0.08552311700000001
100M,weather,postgresql,5125.9236220472,1270,5075.5335625525,5176.313681542,915.3437535851,1270,0.0
100M,weather,sqlite,32709.0137931034,145,32269.8124408243,33148.2151453825,2675.6811385821,145,0.0
100M,weather,verdictdb,74.0505827821,44442,73.1593174497,74.9418481144,95.8614275715,10812,0.061936439200000006
10M,flights,duckdb,169.3615426289,317484,168.9060463021,169.8170389557,130.9471510196,220119,0.2640836475
10M,flights,monetdb,25.541600144,83305,25.4269735355,25.6562267526,16.8797720132,3,0.22594049200000002
10M,flights,postgresql,531.2059496568,7866,529.3760822815,533.035817032,82.7907190513,7866,0.0
10M,flights,sqlite,4209.097733711,1412,4068.4102156871,4349.785251735,2694.958801455,1412,0.0
10M,flights,verdictdb,35.4376533972,66820,35.1315753177,35.7437314766,40.3672816973,1458,0.17728172720000002
10M,movies,duckdb,126.8831300813,244032,126.4500593061,127.3162008565,109.1520814778,162363,0.2821523579
10M,movies,monetdb,18.6363336369,75759,18.5046550962,18.7680121777,18.4917107756,10,0.2616997754
10M,movies,postgresql,587.7464916252,4418,563.1354160488,612.3575672015,834.4039203,4418,0.0
10M,movies,sqlite,4410.8213762811,683,4072.6178496541,4749.0249029081,4501.6215078256,683,0.0
10M,movies,verdictdb,29.9926410799,49192,29.6443185796,30.3409635801,39.4157679028,1796,0.16374503370000001
10M,weather,duckdb,158.2073032496,472858,157.8119731408,158.6026333584,138.6998718444,302212,0.3142790842
10M,weather,monetdb,24.2795805321,108137,24.1802165344,24.378944529800002,16.6710618473,10,0.1991377151
10M,weather,postgresql,520.5252589305,9462,517.3664272189,523.684090642,156.752438819,9462,0.0
10M,weather,sqlite,3784.8785211268,1704,3699.8997922764,3869.8572499771,1788.4967887231,1704,0.0
10M,weather,verdictdb,31.3042829746,84474,31.0539522418,31.5546137075,37.1211469673,2019,0.15185754070000002
1M,flights,duckdb,17.2363378944,343267,17.1932668542,17.2794089347,12.875134242,3,0.9310369145
1M,flights,monetdb,5.9992821119,220090,5.9892695641,6.0092946596,2.3965929425,0,0.5969513684000001
1M,flights,postgresql,55.5312349622,45718,55.4594748614,55.6029950629,7.8282928204,220,0.12340448620000001
1M,flights,sqlite,400.2926393166,10067,396.6040545115,403.9812241216,188.8032615083,10067,0.0
1M,flights,verdictdb,18.3228949688,99856,18.2027578781,18.4430320594,19.3691622799,49,0.2707070981
1M,movies,duckdb,13.2777728841,272460,13.2360043646,13.3195414036,11.1237299573,5,0.9412851961
1M,movies,monetdb,5.1421621734,191992,5.1280021747,5.1563221722,3.1655848048,0,0.6632993609000001
1M,movies,postgresql,55.8971704624,30429,55.2704103371,56.5239305877,55.7801698165,843,0.1022145448
1M,movies,sqlite,395.3197637292,6264,387.4259154101,403.2136120484,318.7004103275,6264,0.0
1M,movies,verdictdb,16.9335087866,71814,16.7836589227,17.0833586504,20.4882799909,57,0.2479081016
1M,weather,duckdb,38.4364959679,515235,37.6496428522,39.2233490835,288.1689844985,3115,0.9431724422000001
1M,weather,monetdb,6.224494466,297161,6.2133619423,6.2356269897,3.0962760524,0,0.5472820161
1M,weather,postgresql,56.9599776584,51921,56.8041073884,57.1158479283,18.120767841,412,0.0948642297
1M,weather,sqlite,367.2801596806,12525,364.9920701207,369.5682492406,130.6386915715,12525,0.0
1M,weather,verdictdb,19.485487659,112835,19.3662663889,19.6047089291,20.4325660341,130,0.20756902700000002
