date,Net sales,Gross profit,Gross profit ratio,Operating profit,Operating profit ratio
1981,23948.0,8026.0,0.335,4310.0,0.18
1982,66141.0,31487.0,0.476,22702.0,0.3429999999999999
1983,67715.0,30653.0,0.4529999999999999,20592.0,0.304
1984,68140.0,26400.0,0.387,16641.0,0.244
1985,81428.0,31875.0,0.392,20701.0,0.254
1986,123036.0,58883.0,0.479,41508.0,0.337
1987,144575.0,66910.0,0.4629999999999999,45768.0,0.317
1988,203301.0,75775.0,0.373,48412.0,0.238
1989,291200.0,99855.0,0.3429999999999999,63994.0,0.22
1990,240233.0,94560.0,0.3939999999999999,65168.0,0.271
1991,471417.0,200784.0,0.426,137914.0,0.293
1992,561843.0,222324.0,0.396,147542.0,0.263
1993,634669.0,247556.0,0.39,159296.0,0.251
1994,485611.0,188239.0,0.3879999999999999,103711.0,0.214
1995,415679.0,174208.0,0.419,94955.0,0.228
1996,354152.0,154328.0,0.436,71939.0,0.203
1997,418212.0,150203.0,0.359,65088.0,0.156
1998,534646.0,237678.0,0.445,127753.0,0.239
1999,572840.0,261745.0,0.457,156162.0,0.273
2000,530665.0,240740.0,0.4539999999999999,145030.0,0.273
2001,462502.0,184040.0,0.3979999999999999,84697.0,0.183
2002,554886.0,220266.0,0.397,119151.0,0.215
2003,504135.0,195609.0,0.3879999999999999,100120.0,0.1989999999999999
2004,514805.0,207572.0,0.4029999999999999,107683.0,0.209
2005,515292.0,217176.0,0.421,111522.0,0.216
2006,509249.0,215115.0,0.422,90349.0,0.177
2007,966534.0,397812.0,0.412,226024.0,0.2339999999999999
2008,1672423.0,700060.0,0.419,487220.0,0.291
2009,1838622.0,793641.0,0.432,555263.0,0.302
2010,1434365.0,575234.0,0.401,356567.0,0.249
2011,1014345.0,387965.0,0.382,171076.0,0.1689999999999999
2012,647652.0,153654.0,0.237,-37320.0,-0.0579999999999999
2013,635422.0,140354.0,0.221,-36410.0,-0.057
2014,571726.0,163219.0,0.285,-46425.0,-0.081
2015,549780.0,214584.0,0.39,24770.0,0.045
2016,504459.0,220965.0,0.4379999999999999,32881.0,0.065
2017,489095.0,198898.0,0.407,29362.0,0.06
2018,1055682.0,403540.0,0.382,177557.0,0.168
2019,1200560.0,501189.0,0.417,249701.0,0.208
2020,1308519.0,641701.0,0.49,352370.0,0.2689999999999999
2021,1758910.0,970472.0,0.552,640634.0,0.364
2022,1695344.0,946044.0,0.5579999999999999,592760.0,0.35
