Year,Size,rlp10,rlp25,rlp50,rlp75,rlp90
2000,1,12.28,30.23,52.96,79.06,118.93
2010,1,16.63,40.26,70.02,103.5,164.2
2020,1,20.52,49.47,84.66,122.83,182.08
2000,2,12.29,26.08,45.33,73.28,111.46
2010,2,15.4,31.64,54.82,91.69,148.28
2020,2,21.24,40.65,66.07,109.08,163.86
2000,3,18.31,29.07,52.85,78.38,135.71
2010,3,21.38,32.6,55.49,95.99,163.68
2020,3,24.07,34.04,63.17,109.54,187.74
2000,4,16.57,27.15,49.75,78.43,146.08
2010,4,19.56,30.92,54.74,95.47,166.86
2020,4,22.46,32.03,59.47,109.64,199.4
2000,5,16.45,27.32,47.91,78.73,147.97
2010,5,19.16,31.45,55.37,96.91,177.33
2020,5,19.68,31.01,59.17,108.18,201.26
2000,6,15.67,26.19,46.05,79.14,154.16
2010,6,18.75,31.76,55.51,97.35,182.15
2020,6,17.93,31.15,59.35,110.44,207.01
2000,7,14.92,25.77,45.91,78.74,157.47
2010,7,18.67,32.55,57.32,100.56,191.18
2020,7,17.67,31.83,61.0,116.15,212.72
2000,8,14.69,25.44,46.11,79.85,160.39
2010,8,18.4,33.12,58.79,102.5,198.88
2020,8,16.73,31.49,60.92,114.61,219.35
2000,9,13.92,24.41,44.37,80.8,164.56
2010,9,18.46,33.49,59.09,104.39,202.12
2020,9,16.75,32.01,61.91,117.4,223.88
2000,10,13.85,24.8,45.88,82.11,167.74
2010,10,19.33,34.33,60.55,106.17,212.86
2020,10,15.71,31.7,61.84,115.77,223.87
2000,11,13.51,24.33,44.82,82.67,162.82
2010,11,19.24,35.03,62.48,110.06,214.64
2020,11,16.24,32.16,63.7,119.95,228.49
2000,12,13.55,24.08,45.01,82.69,168.45
2010,12,18.82,34.68,62.99,112.19,223.11
2020,12,15.87,32.22,64.84,122.94,238.54
2000,13,13.19,23.97,45.35,82.2,167.72
2010,13,18.73,35.14,63.36,112.58,226.59
2020,13,16.86,33.73,65.46,123.07,235.95
2000,14,13.16,23.79,45.31,80.19,166.16
2010,14,18.63,34.49,61.76,110.22,221.47
2020,14,16.57,32.89,65.8,122.4,241.27
2000,15,13.26,24.13,45.01,83.24,173.34
2010,15,19.67,35.73,64.88,118.7,227.46
2020,15,17.1,33.84,66.49,128.64,251.25
2000,16,13.31,24.3,45.98,83.71,171.7
2010,16,18.83,34.24,62.58,111.86,210.74
2020,16,15.6,32.74,65.79,128.1,252.28
2000,17,13.15,24.31,46.64,84.1,174.99
2010,17,19.28,36.3,63.52,118.8,228.69
2020,17,16.41,33.36,68.11,132.37,262.4
2000,18,13.28,24.3,46.49,84.24,175.7
2010,18,18.84,35.75,65.54,117.96,233.87
2020,18,16.52,33.62,67.47,130.18,254.05
2000,19,12.48,23.97,46.6,83.94,175.38
2010,19,20.77,36.77,67.5,123.22,237.26
2020,19,17.23,34.65,70.34,135.41,274.72
2000,20,12.79,24.02,45.78,86.57,181.68
2010,20,18.68,35.77,66.02,118.26,231.52
2020,20,15.62,32.17,66.75,129.89,259.58
2000,21,12.27,23.72,45.99,85.56,178.32
2010,21,19.19,35.4,66.21,120.75,242.74
2020,21,15.37,31.76,64.66,123.2,241.64
2000,22,13.25,24.85,47.89,88.28,181.0
2010,22,19.68,35.14,67.7,121.88,233.82
2020,22,14.27,29.65,61.19,122.63,239.85
2000,23,13.48,24.75,47.26,86.25,179.13
2010,23,19.72,37.13,65.77,115.79,223.1
2020,23,16.28,32.44,64.83,125.21,261.05
2000,24,14.24,26.24,49.82,91.92,189.85
2010,24,19.87,36.46,69.61,126.06,260.38
2020,24,14.85,31.04,62.85,123.71,250.83
2000,25,12.93,25.19,48.95,92.22,206.72
2010,25,18.98,36.38,65.5,117.47,225.78
2020,25,16.79,32.16,65.9,132.15,253.22
