year,Industry,entryRate,growRate,exitRate,shrinkRate,entryReallocate,growReallocate,exitReallocate,shrinkReallocate,totalReallocate,Period,period2
1997,z. Others,0.059129148,0.0598007,0.075156154,0.06500343,0.020710059,0.108284024,0.05147929,0.086982249,0.267455621,Pre-GFC,1
1997,Automotive,0.088228566,0.095365541,0.090275872,0.047854333,0.03626943,0.103626943,0.088082902,0.046632124,0.274611399,Pre-GFC,1
1997,Retail,0.092746783,0.110450238,0.082090048,0.068040857,0.026932084,0.097775176,0.045081967,0.033957845,0.203747073,Pre-GFC,1
1997,Construction,0.13494142,0.10288344,0.088348414,0.050688068,0.071161049,0.116104869,0.073657928,0.066167291,0.327091136,Pre-GFC,1
1997,Hospitality,0.144108012,0.139442073,0.095919786,0.142354148,0.060728745,0.313765182,0.097165992,0.046558704,0.518218623,Pre-GFC,1
1997,Recreation & culture,0.108774465,0.085748063,0.07165375,0.051556548,0.050359712,0.158273381,0.071942446,0.057553957,0.338129496,Pre-GFC,1
1997,Other service,0.126204048,0.10843876,0.090653612,0.045053723,0.235294118,0.176470588,0.150326797,0.045751634,0.607843137,Pre-GFC,1
1997,Transport,0.094531195,0.10499965,0.081506897,0.050749247,0.027210884,0.149659864,0.068027211,0.156462585,0.401360544,Pre-GFC,1
1997,Wholesale,0.0897031,0.11036967,0.080897977,0.050087324,0.027163613,0.10107391,0.108022742,0.062539482,0.298799747,Pre-GFC,1
1997,IT,0.259825998,0.089634526,0.063086553,0.031077985,0.134199134,0.112554113,0.116883117,0.038961039,0.402597403,Pre-GFC,1
1997,Manufacturing,0.092797702,0.096213265,0.1100384,0.074900544,0.013566397,0.081398382,0.048004174,0.062092356,0.20506131,Pre-GFC,1
1997,Other business,0.136542049,0.099182248,0.085884638,0.054827217,0.070243902,0.192195122,0.122926829,0.060487805,0.445853659,Pre-GFC,1
1998,Other business,0.113244146,0.100666178,0.094516612,0.059198283,0.060329068,0.157221207,0.101462523,0.049360146,0.368372943,Pre-GFC,1
1998,Construction,0.091669444,0.092046631,0.107458641,0.059349836,0.043062201,0.126794258,0.075358852,0.046650718,0.291866029,Pre-GFC,1
1998,Other service,0.097092816,0.092612392,0.111450537,0.053520697,0.102564103,0.173076923,0.217948718,0.044871795,0.538461538,Pre-GFC,1
