date,Date,CDID,Value,series
2003 DEC,2003-12-15,WUMA,0.32,Food
2003 DEC,2003-12-15,WUMB,0.08,AlcoholTobacco
2003 DEC,2003-12-15,WUMC,-0.22,ClothingFootwear
2003 DEC,2003-12-15,WUMD,0.23,HousingHouseService
2003 DEC,2003-12-15,WUMP,-0.04,FurnitureHousehold
2003 DEC,2003-12-15,WUMQ,0.07,Health
2003 DEC,2003-12-15,WUMW,0.43,Transport
2003 DEC,2003-12-15,WUMX,-0.01,Communication
2003 DEC,2003-12-15,WUNC,-0.35,RecreationCulture
2003 DEC,2003-12-15,WUND,0.09,Education
2003 DEC,2003-12-15,WUNE,0.4,RestaurantsHotels
2003 DEC,2003-12-15,WUNG,0.26,Misc
2003 NOV,2003-11-15,WUMA,0.28,Food
2003 NOV,2003-11-15,WUMB,0.08,AlcoholTobacco
2003 NOV,2003-11-15,WUMC,-0.26,ClothingFootwear
2003 NOV,2003-11-15,WUMD,0.23,HousingHouseService
2003 NOV,2003-11-15,WUMP,-0.02,FurnitureHousehold
2003 NOV,2003-11-15,WUMQ,0.08,Health
2003 NOV,2003-11-15,WUMW,0.53,Transport
2003 NOV,2003-11-15,WUMX,-0.01,Communication
2003 NOV,2003-11-15,WUNC,-0.36,RecreationCulture
2003 NOV,2003-11-15,WUND,0.09,Education
2003 NOV,2003-11-15,WUNE,0.4,RestaurantsHotels
2003 NOV,2003-11-15,WUNG,0.28,Misc
2004 APR,2004-04-15,WUMA,0.14,Food
2004 APR,2004-04-15,WUMB,0.09,AlcoholTobacco
2004 APR,2004-04-15,WUMC,-0.29,ClothingFootwear
2004 APR,2004-04-15,WUMD,0.35,HousingHouseService
2004 APR,2004-04-15,WUMP,0.02,FurnitureHousehold
2004 APR,2004-04-15,WUMQ,0.05,Health
2004 APR,2004-04-15,WUMW,0.2,Transport
2004 APR,2004-04-15,WUMX,0.02,Communication
2004 APR,2004-04-15,WUNC,-0.35,RecreationCulture
2004 APR,2004-04-15,WUND,0.09,Education
2004 APR,2004-04-15,WUNE,0.41,RestaurantsHotels
2004 APR,2004-04-15,WUNG,0.39,Misc
2004 AUG,2004-08-15,WUMA,-0.02,Food
2004 AUG,2004-08-15,WUMB,0.09,AlcoholTobacco
2004 AUG,2004-08-15,WUMC,-0.36,ClothingFootwear
2004 AUG,2004-08-15,WUMD,0.38,HousingHouseService
2004 AUG,2004-08-15,WUMP,-0.04,FurnitureHousehold
2004 AUG,2004-08-15,WUMQ,0.03,Health
2004 AUG,2004-08-15,WUMW,0.59,Transport
2004 AUG,2004-08-15,WUMX,-0.03,Communication
2004 AUG,2004-08-15,WUNC,-0.15,RecreationCulture
2004 AUG,2004-08-15,WUND,0.09,Education
2004 AUG,2004-08-15,WUNE,0.39,RestaurantsHotels
2004 AUG,2004-08-15,WUNG,0.32,Misc
2004 DEC,2004-12-15,WUMA,-0.01,Food
2004 DEC,2004-12-15,WUMB,0.1,AlcoholTobacco
2004 DEC,2004-12-15,WUMC,-0.34,ClothingFootwear
2004 DEC,2004-12-15,WUMD,0.55,HousingHouseService
2004 DEC,2004-12-15,WUMP,0.06,FurnitureHousehold
2004 DEC,2004-12-15,WUMQ,0.04,Health
2004 DEC,2004-12-15,WUMW,0.61,Transport
2004 DEC,2004-12-15,WUMX,-0.06,Communication
2004 DEC,2004-12-15,WUNC,-0.09,RecreationCulture
2004 DEC,2004-12-15,WUND,0.08,Education
2004 DEC,2004-12-15,WUNE,0.4,RestaurantsHotels
2004 DEC,2004-12-15,WUNG,0.34,Misc
2004 FEB,2004-02-15,WUMA,0.24,Food
2004 FEB,2004-02-15,WUMB,0.08,AlcoholTobacco
2004 FEB,2004-02-15,WUMC,-0.25,ClothingFootwear
2004 FEB,2004-02-15,WUMD,0.24,HousingHouseService
2004 FEB,2004-02-15,WUMP,0.01,FurnitureHousehold
2004 FEB,2004-02-15,WUMQ,0.05,Health
2004 FEB,2004-02-15,WUMW,0.44,Transport
2004 FEB,2004-02-15,WUMX,0.01,Communication
2004 FEB,2004-02-15,WUNC,-0.45,RecreationCulture
2004 FEB,2004-02-15,WUND,0.09,Education
2004 FEB,2004-02-15,WUNE,0.39,RestaurantsHotels
2004 FEB,2004-02-15,WUNG,0.44,Misc
2004 JAN,2004-01-15,WUMA,0.29,Food
2004 JAN,2004-01-15,WUMB,0.08,AlcoholTobacco
2004 JAN,2004-01-15,WUMC,-0.16,ClothingFootwear
2004 JAN,2004-01-15,WUMD,0.24,HousingHouseService
2004 JAN,2004-01-15,WUMP,-0.03,FurnitureHousehold
2004 JAN,2004-01-15,WUMQ,0.06,Health
2004 JAN,2004-01-15,WUMW,0.44,Transport
2004 JAN,2004-01-15,WUMX,-0.01,Communication
2004 JAN,2004-01-15,WUNC,-0.4,RecreationCulture
2004 JAN,2004-01-15,WUND,0.09,Education
2004 JAN,2004-01-15,WUNE,0.4,RestaurantsHotels
2004 JAN,2004-01-15,WUNG,0.43,Misc
2004 JUL,2004-07-15,WUMA,0.02,Food
2004 JUL,2004-07-15,WUMB,0.1,AlcoholTobacco
2004 JUL,2004-07-15,WUMC,-0.31,ClothingFootwear
2004 JUL,2004-07-15,WUMD,0.37,HousingHouseService
2004 JUL,2004-07-15,WUMP,-0.07,FurnitureHousehold
2004 JUL,2004-07-15,WUMQ,0.03,Health
2004 JUL,2004-07-15,WUMW,0.59,Transport
2004 JUL,2004-07-15,WUMX,-0.03,Communication
2004 JUL,2004-07-15,WUNC,-0.13,RecreationCulture
2004 JUL,2004-07-15,WUND,0.09,Education
2004 JUL,2004-07-15,WUNE,0.39,RestaurantsHotels
2004 JUL,2004-07-15,WUNG,0.33,Misc
2004 JUN,2004-06-15,WUMA,0.09,Food
2004 JUN,2004-06-15,WUMB,0.09,AlcoholTobacco
2004 JUN,2004-06-15,WUMC,-0.3,ClothingFootwear
2004 JUN,2004-06-15,WUMD,0.38,HousingHouseService
2004 JUN,2004-06-15,WUMP,0.02,FurnitureHousehold
2004 JUN,2004-06-15,WUMQ,0.05,Health
2004 JUN,2004-06-15,WUMW,0.57,Transport
2004 JUN,2004-06-15,WUMX,0.02,Communication
2004 JUN,2004-06-15,WUNC,-0.18,RecreationCulture
2004 JUN,2004-06-15,WUND,0.09,Education
2004 JUN,2004-06-15,WUNE,0.4,RestaurantsHotels
2004 JUN,2004-06-15,WUNG,0.36,Misc
2004 MAR,2004-03-15,WUMA,0.21,Food
2004 MAR,2004-03-15,WUMB,0.09,AlcoholTobacco
2004 MAR,2004-03-15,WUMC,-0.29,ClothingFootwear
2004 MAR,2004-03-15,WUMD,0.27,HousingHouseService
2004 MAR,2004-03-15,WUMP,-0.05,FurnitureHousehold
2004 MAR,2004-03-15,WUMQ,0.05,Health
