date,date3,quote_date,month,quarter,year,p,up,down,level,up12,down12,level12,change,up_sh,down_sh,level_sh,change_sh,up12_sh,down12_sh,level12_sh,obs_panel,obs,CPI,inflation,net12_sh
1,01-02-1988,198802,2,1,1988,35459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,35459,51065,48.6,,
2,01-03-1988,198803,3,1,1988,35240.0,3728.0,1884.0,26070.0,0.0,0.0,0.0,5612.0,0.10578888,0.053461976,0.73978436,0.15925086,,,,35240,49987,48.7,,
3,01-04-1988,198804,4,2,1988,36066.0,6599.0,1762.0,23652.0,0.0,0.0,0.0,8361.0,0.18297011,0.048854876,0.65579772,0.23182499,,,,36066,51716,49.3,,
4,01-05-1988,198805,5,2,1988,35869.0,3512.0,2262.0,27109.0,0.0,0.0,0.0,5774.0,0.097911842,0.063062809,0.75577796,0.16097465,,,,35869,51209,49.5,,
5,01-06-1988,198806,6,2,1988,35811.0,3107.0,1934.0,27415.0,0.0,0.0,0.0,5041.0,0.08676105,0.054005753,0.76554692,0.1407668,,,,35811,51126,49.7,,
6,01-07-1988,198807,7,3,1988,36038.0,3227.0,3121.0,25180.0,0.0,0.0,0.0,6348.0,0.089544371,0.086603031,0.69870692,0.1761474,,,,36038,50053,49.7,,
7,01-08-1988,198808,8,3,1988,,,,,,,,,,,,,,,,0,0,49.9,,
8,01-09-1988,198809,9,3,1988,34038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,34038,47264,50.1,,
9,01-10-1988,198810,10,4,1988,35834.0,3534.0,1630.0,25105.0,0.0,0.0,0.0,5164.0,0.098621421,0.045487527,0.70059162,0.14410895,,,,35834,50282,50.3,,
10,01-11-1988,198811,11,4,1988,35351.0,3990.0,2016.0,26072.0,0.0,0.0,0.0,6006.0,0.11286809,0.057028089,0.73751801,0.16989619,,,,35351,49281,50.5,,
11,01-12-1988,198812,12,4,1988,36701.0,2743.0,1559.0,28115.0,0.0,0.0,0.0,4302.0,0.074739106,0.042478405,0.76605541,0.11721751,,,,36701,51813,50.6,,
12,01-01-1989,198901,1,1,1989,35145.0,5191.0,3141.0,23183.0,0.0,0.0,0.0,8332.0,0.14770238,0.089372598,0.65963864,0.23707497,,,,35145,48551,50.8,,
13,01-02-1989,198902,2,1,1989,,,,,,,,,,,,,,,,0,0,51.0,0.049382687,
14,01-03-1989,198903,3,1,1989,41887.0,0.0,0.0,0.0,15694.0,4109.0,6158.0,0.0,,,,,0.37467471,0.098097265,0.14701459,41887,57413,51.2,0.051334739,0.27657744
15,01-04-1989,198904,4,2,1989,12740.0,2209.0,784.0,8530.0,4672.0,1329.0,1870.0,2993.0,0.1733909,0.061538462,0.66954476,0.23492935,0.36671901,0.10431711,0.14678179,12740,20572,51.9,0.052738309,0.26240188
16,01-05-1989,198905,5,2,1989,42317.0,1944.0,839.0,8987.0,15984.0,4184.0,6215.0,2783.0,,,,,0.37772053,0.098872796,0.14686769,42317,57869,52.2,0.054545403,0.27884775
17,01-06-1989,198906,6,2,1989,42455.0,3683.0,2107.0,32881.0,16132.0,4092.0,6275.0,5790.0,0.086750679,0.049629018,0.77449065,0.13637969,0.37997881,0.096384406,0.14780356,42455,58028,52.3,0.052313924,0.2835944
18,01-07-1989,198907,7,3,1989,41792.0,4992.0,3932.0,28376.0,16198.0,4007.0,5969.0,8924.0,0.1194487,0.094084993,0.6789816,0.21353368,0.38758615,0.095879592,0.14282638,41792,56793,52.3,0.052313924,0.29170656
19,01-08-1989,198908,8,3,1989,41236.0,4565.0,2815.0,30111.0,0.0,0.0,0.0,7380.0,0.11070424,0.068265595,0.73021144,0.17896983,,,,41236,55705,52.4,0.050100207,
20,01-09-1989,198909,9,3,1989,41727.0,4717.0,2190.0,29662.0,15444.0,3636.0,5349.0,6907.0,0.11304431,0.052484002,0.7108587,0.16552831,0.37012008,0.087137826,0.12819038,41727,56655,52.7,0.051896214,0.28298226
