Date,Price,Open,High,Low,Vol,Change,Unit,vol2,Volume,Year,Source
"Aug 18, 2021","3,049.16","3,012.62","3,084.50","2,951.04",1.12M,1.15%,M,1.12,1120.00,2021,https://uk.investing.com/crypto/ethereum/historical-data
"Aug 17, 2021","3,014.58","3,147.67","3,290.03","2,993.63",1.06M,-4.23%,M,1.06,1060.00,2021,
"Aug 16, 2021","3,147.65","3,307.96","3,334.22","3,138.37",859.09K,-4.87%,K,859.09,859.09,2021,
"Aug 15, 2021","3,308.87","3,264.56","3,318.61","3,115.34",782.81K,1.35%,K,782.81,782.81,2021,
"Aug 14, 2021","3,264.69","3,322.25","3,328.38","3,209.45",658.60K,-1.74%,K,658.60,658.60,2021,
"Aug 13, 2021","3,322.43","3,043.20","3,324.53","3,035.52",795.54K,9.16%,K,795.54,795.54,2021,
"Aug 12, 2021","3,043.61","3,160.17","3,236.28","2,981.35",965.63K,-3.79%,K,965.63,965.63,2021,
"Aug 11, 2021","3,163.66","3,140.86","3,269.70","3,122.67",950.12K,0.73%,K,950.12,950.12,2021,
"Aug 10, 2021","3,140.71","3,162.81","3,232.02","3,057.84",1.12M,-0.70%,M,1.12,1120.00,2021,
"Aug 09, 2021","3,162.93","3,011.88","3,184.84","2,899.24",1.44M,5.01%,M,1.44,1440.00,2021,
"Aug 08, 2021","3,012.07","3,158.30","3,188.49","2,949.66",1.25M,-4.62%,M,1.25,1250.00,2021,
"Aug 07, 2021","3,158.00","2,889.58","3,169.74","2,867.58",64.84K,9.29%,K,64.84,64.84,2021,
"Aug 06, 2021","2,889.43","2,827.23","2,946.62","2,726.04",1.06M,2.20%,M,1.06,1060.00,2021,
"Aug 05, 2021","2,827.21","2,725.28","2,842.95","2,533.51",1.65M,3.74%,M,1.65,1650.00,2021,
"Aug 04, 2021","2,725.29","2,506.50","2,766.46","2,462.32",1.23M,8.72%,M,1.23,1230.00,2021,
"Aug 03, 2021","2,506.65","2,608.01","2,631.43","2,445.49",158.45K,-3.89%,K,158.45,158.45,2021,
