Entity,food_emissions,Type
Bananas,0.0,Land Use
Beef (beef herd),16.3,Land Use
Beef (dairy herd),0.9,Land Use
Cheese,4.5,Land Use
Coffee,3.7,Land Use
Eggs,0.7,Land Use
Fish (farmed),0.5,Land Use
Lamb & Mutton,0.5,Land Use
Maize,0.3,Land Use
Milk,0.5,Land Use
Palm Oil,3.1,Land Use
Peas,0.0,Land Use
Pig Meat,1.5,Land Use
Poultry Meat,2.5,Land Use
Rice,0.0,Land Use
Shrimps (farmed),0.2,Land Use
Tofu,1.0,Land Use
Wheat & Rye,0.1,Land Use
Bananas,0.3,Farm
Beef (beef herd),39.4,Farm
Beef (dairy herd),15.7,Farm
Cheese,13.1,Farm
Coffee,10.4,Farm
Eggs,1.3,Farm
Fish (farmed),3.6,Farm
Lamb & Mutton,19.5,Farm
Maize,0.5,Farm
Milk,1.5,Farm
Palm Oil,2.1,Farm
Peas,0.7,Farm
Pig Meat,1.7,Farm
Poultry Meat,0.7,Farm
Rice,3.6,Farm
Shrimps (farmed),8.4,Farm
Tofu,0.5,Farm
Wheat & Rye,0.8,Farm
Bananas,0.0,Animal Feed
Beef (beef herd),1.9,Animal Feed
Beef (dairy herd),2.5,Animal Feed
Cheese,2.3,Animal Feed
Coffee,0.0,Animal Feed
Eggs,2.2,Animal Feed
Fish (farmed),0.8,Animal Feed
Lamb & Mutton,2.4,Animal Feed
Maize,0.0,Animal Feed
Milk,0.2,Animal Feed
Palm Oil,0.0,Animal Feed
Peas,0.0,Animal Feed
Pig Meat,2.9,Animal Feed
Poultry Meat,1.8,Animal Feed
Rice,0.0,Animal Feed
Shrimps (farmed),2.5,Animal Feed
Tofu,0.0,Animal Feed
Wheat & Rye,0.0,Animal Feed
Bananas,0.1,Processing
Beef (beef herd),1.3,Processing
Beef (dairy herd),1.1,Processing
Cheese,0.7,Processing
Coffee,0.6,Processing
Eggs,0.0,Processing
Fish (farmed),0.0,Processing
Lamb & Mutton,1.1,Processing
Maize,0.1,Processing
Milk,0.1,Processing
Palm Oil,1.3,Processing
Peas,0.0,Processing
Pig Meat,0.3,Processing
Poultry Meat,0.4,Processing
Rice,0.1,Processing
Shrimps (farmed),0.0,Processing
Tofu,0.8,Processing
Wheat & Rye,0.2,Processing
Bananas,0.3,Transport
Beef (beef herd),0.3,Transport
Beef (dairy herd),0.4,Transport
Cheese,0.1,Transport
Coffee,0.1,Transport
Eggs,0.1,Transport
Fish (farmed),0.1,Transport
Lamb & Mutton,0.5,Transport
Maize,0.1,Transport
Milk,0.1,Transport
Palm Oil,0.2,Transport
Peas,0.1,Transport
Pig Meat,0.3,Transport
Poultry Meat,0.3,Transport
Rice,0.1,Transport
Shrimps (farmed),0.2,Transport
Tofu,0.2,Transport
Wheat & Rye,0.1,Transport
Bananas,0.0,Retail
Beef (beef herd),0.2,Retail
Beef (dairy herd),0.2,Retail
Cheese,0.3,Retail
Coffee,0.1,Retail
Eggs,0.0,Retail
Fish (farmed),0.0,Retail
Lamb & Mutton,0.2,Retail
Maize,0.0,Retail
Milk,0.3,Retail
Palm Oil,0.0,Retail
Peas,0.0,Retail
Pig Meat,0.2,Retail
Poultry Meat,0.2,Retail
Rice,0.1,Retail
Shrimps (farmed),0.2,Retail
Tofu,0.3,Retail
Wheat & Rye,0.1,Retail
Bananas,0.1,Packaging
Beef (beef herd),0.2,Packaging
Beef (dairy herd),0.3,Packaging
Cheese,0.2,Packaging
Coffee,1.6,Packaging
Eggs,0.2,Packaging
Fish (farmed),0.1,Packaging
Lamb & Mutton,0.3,Packaging
Maize,0.1,Packaging
Milk,0.1,Packaging
Palm Oil,0.9,Packaging
Peas,0.0,Packaging
Pig Meat,0.3,Packaging
Poultry Meat,0.2,Packaging
Rice,0.1,Packaging
Shrimps (farmed),0.3,Packaging
Tofu,0.2,Packaging
Wheat & Rye,0.1,Packaging
