rank,location1,location2,country,number,brand,source,Latitude,Longitude,ISO3
1,Ving Cuu,Dong Nai,Vietnam,24300,Nike,https://wageindicator.org/documents/publicationslist/publications-2018/2018-garment-wageindicator.pdf,11.3049005,107.0605278,VNM
2,Ben Luc,Long An,Vietnam,22400,Nike,"MAPPING THE GLOBAL GARMENT SUPPLY CHAIN, Maarten van Klaveren Kea Tijdens",10.641162,106.4856006,VNM
3,Long Ho,Vinh Long,Vietnam,22300,Adidas,,10.1980682,105.9464874,VNM
4,Thu Duc,Ho Chi Minh City,Vietnam,21600,Nike,,10.8494094,106.7537055,VNM
5,Serang,Banten prov.,Indonesia,19200,Nike,,-6.1169309,106.1538519,IDN
6,Serang,Banten prov.,Indonesia,15600,Adidas,,-6.1169309,106.1538519,IDN
7,Bien Hoa,Dong Nai,Vietnam,18600,Nike,,10.9574128,106.8426871,VNM
8,Trang Bom,Dong Nai,Vietnam,17100,Nike,,10.9513704,107.0126076,VNM
9,Sukabumi,Jawa Barat,Indonesia,15800,Nike,,-6.9277361,106.9299579,IDN
10,Tangerang,Banten,Indonesia,15300,Nike,,-6.1701796,106.6403236,IDN
11,Subang,Jawa Barat,Indonesia,15300,Nike,,-6.562288800000001,107.7607951,IDN
12,Ben Vau,Thai Ningh,Vietnam,14500,Nike,,11.1506368,106.0875326,VNM
13,Nhonh Trach,Dong Nai,Vietnam,14200,Adidas,,10.6968843,106.8907696,VNM
14,Tinh Gia,Thanh Hoa,Vietnam,13900,Nike,,14.058324,108.277199,VNM
15,Xuan Loc,Dong Ni,Vietnam,13700,Nike,,10.9652026,107.4321959,VNM
16,Karawang,Jawa Barat,Indonesia,13600,Nike,,-6.3015658,107.2966525,IDN
17,Thu Duc,Ho Chi Minh City,Vietnam,13600,Nike,,10.8494094,106.7537055,VNM
18,Dongguan,Guangdong,China,12800,Adidas,,23.0206699,113.75179,CHN
19,Tangerang,Banten,Indonesia,12800,Nike,,-6.1701796,106.6403236,IDN
20,Qingyang,Guangdong,China,11900,Nike,,23.6820099,113.05615,CHN
21,Binh Duong,,Vietnam,10700,Adidas,,11.3254024,106.477017,VNM
22,Bandung,Jawa Barat,Indonesia,10300,Nike,,-6.9174639,107.6191228,IDN
23,Serang,Banten,Indonesia,10300,Adidas,,-6.1169309,106.1538519,IDN
24,Sukabumi,Jawa Barat,Indonesia,10100,Adidas,,-6.9277361,106.9299579,IDN
25,,Ho Chi Minh City,Vietnam,10100,Adidas,,10.8230989,106.6296638,VNM
