year,ARG,AUS,AUT,BDI,BEL,BEN,BFA,BGD,BHS,BLZ,BMU,BOL,BRA,BWA,CAF,CHL,CHN,CIV,CMR,COD,COG,COL,CRI,DNK,DOM,DZA,ECU,EGY,ESP,FIN,FJI,FRA,GAB,GBR,GHA,GRC,GTM,GUY,HND,HTI,IDN,IND,IRN,ITA,JPN,KEN,KOR,LSO,LUX,MDG,MEX,MWI,MYS,NER,NGA,NIC,NLD,NOR,NPL,PAK,PAN,PER,PHL,PNG,PRI,PRT,PRY,RWA,SDN,SEN,SGP,SLE,SUR,SWE,SYC,SYR,TCD,TGO,THA,TTO,TUR,URY,USA,VCT,ZAF,ZMB,ZWE,WLD
1960,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961,1.037409028,1.004636705,1.049607172,0.841298424,1.046302571,1.015673266,1.025522731,1.030198017,1.054051262,1.022586987,1.021492747,1.000061288,1.053743035,1.040035015,1.030736282,1.030714443,0.734723564,1.059425632,0.995736665,0.868920721,1.055767315,1.018764474,0.982426335,1.056387436,0.945228081,0.848727817,1.021741434,1.024575343,1.108044869,1.068479652,1.003478814,1.038410549,1.134433303,1.01899262,1.005559587,1.12309795,1.012805928,1.017357564,0.989373965,0.952659434,1.029066067,1.013595745,1.074040455,1.074864188,1.11044073,0.88832754,1.038095548,0.9877804,1.028878467,0.994436895,1.017151508,1.051109537,1.043863262,1.014963917,0.981659903,1.042957078,0.989850024,1.054324932,0.999694009,1.034949378,1.07692631,1.042132926,1.026136961,1.035727875,1.051806915,1.046886685,1.043462427,0.931740334,0.974862925,1.001210502,1.045803739,1.000801644,1.011907831,1.051846187,0.92480801,1.07548286,0.994612191,1.103371653,1.022728817,1.11668736,0.984923874,1.012071693,1.006181212,1.026665205,1.009779239,0.98212315,1.030762099,1.024068249
1962,1.011947556,0.993106493,1.070824662,0.894849139,1.096462678,0.964953827,1.072536322,1.054290941,1.10809485,1.045509868,1.041963155,1.034159389,1.090442051,1.084502152,0.974152325,1.050412023,0.688057561,1.032204712,1.006003323,1.02611242,1.081817651,1.04115887,0.999456632,1.107595256,1.070937216,0.671258206,1.041550968,1.036741684,1.207175774,1.092884246,1.007672779,1.097416869,1.204043534,1.021525009,1.022126269,1.120499524,1.018282348,1.000987142,1.016518453,1.008874621,1.019632341,1.019464181,1.127127801,1.133847122,1.198184586,0.935589513,1.048130219,1.104691779,1.030161245,0.990967575,1.030360708,1.032800187,1.077605173,1.086553181,1.000845965,1.121982479,1.042632162,1.07531913,0.998978611,1.056626361,1.131165206,1.113350163,1.045800744,1.076939792,1.115824075,1.108107187,1.051800619,1.012266606,1.015228358,0.972005723,1.094078399,1.027873398,1.013728799,1.090613083,0.976324374,1.299956196,1.027758223,1.126190128,1.067185557,1.12584878,1.011912156,0.984113828,1.051264865,1.046068796,1.040697665,0.9276989,1.013579407,1.059736711
1963,0.942817438,1.034801933,1.107997978,0.912657495,1.13565413,0.993442092,1.043223099,1.018387971,1.166226893,1.067649513,1.028826555,1.081619918,1.065188812,1.122326809,0.94890657,1.089937789,0.740503059,1.136804629,1.019873059,1.051384178,1.01073937,1.042908333,1.031614822,1.105904954,1.104617608,0.887190575,1.033089467,1.11597631,1.31146964,1.120834459,1.038507038,1.153484686,1.260998457,1.0633306,1.041827589,1.248581722,1.083313314,0.855628819,1.022802042,0.972309577,0.969638047,1.055909017,1.17257427,1.188748595,1.286608896,0.978679356,1.11129501,1.185020763,1.054575337,0.956492375,1.077705697,0.993722384,1.122290992,1.154275283,1.063964595,1.206638386,1.065952,1.107613751,0.997897047,1.121351857,1.190940344,1.128031418,1.088254246,1.096237102,1.186114362,1.168469031,1.074334145,0.893066953,0.960535604,0.962628457,1.173877926,1.026461568,1.03101181,1.142263863,1.048289228,1.152110683,0.991771214,1.162167599,1.118040179,1.167571963,1.074268061,0.974330247,1.081838506,0.96443358,1.084047907,0.927915615,1.043839082,1.091450674
1964,1.021851481,1.085519616,1.168044112,0.942700935,1.203215777,1.040759534,1.050759507,1.096487395,1.231629829,1.08897671,1.115076936,1.101046955,1.069978372,1.170789164,0.949677041,1.096398729,0.855051443,1.286006335,1.031588397,0.998651165,1.021018071,1.074219036,1.03349237,1.19880229,1.142723098,0.922833629,1.077726635,1.212043003,1.367433268,1.173007653,1.056070284,1.216481718,1.300752637,1.114898359,1.039485448,1.361124656,1.101176721,0.929976169,1.047358884,0.939408265,0.976267582,1.108794066,1.235330492,1.211994962,1.421970342,0.987504363,1.185171341,1.244236546,1.124858323,0.96864683,1.166571009,0.99543583,1.148098974,1.122229552,1.093008868,1.307257604,1.138821205,1.154348336,1.051597417,1.176945091,1.206363566,1.167268626,1.094505877,1.164918345,1.245236015,1.241519371,1.092040096,0.764421113,0.923620329,0.97214644,1.108668377,1.074739215,1.059257177,1.211097359,1.082870389,1.220792511,0.948223823,1.301254989,1.158619189,1.235006913,1.103863919,0.987030486,1.128796236,0.984115416,1.134838125,1.008515162,1.000583374,1.139128937
1965,1.112171402,1.128112583,1.200866301,0.953409933,1.234793509,1.075738435,1.073020616,1.081235025,1.303097708,1.109251655,1.140174847,1.130996734,1.06508964,1.219979549,0.939246569,1.085912717,0.976450698,1.198447681,1.027725851,0.981288114,1.029498526,1.0802481,1.081810982,1.24368167,0.970000308,0.964110017,1.080894542,1.238931919,1.43724938,1.231099556,0.997327924,1.261417146,1.389318954,1.131488587,1.028471961,1.500654381,1.116911903,1.005475271,1.109237711,0.942203312,0.962606227,1.055704915,1.403671024,1.24110764,1.488610272,0.967785175,1.239981041,1.232614403,1.103960237,0.939172279,1.208349871,1.103670475,1.201637822,1.165395219,1.121844871,1.388387716,1.220383375,1.205951954,1.017659617,1.267261567,1.277583647,1.197385234,1.121765681,1.257503223,1.338923345,1.339700307,1.131096715,0.797241836,0.958522109,0.957334156,1.166822638,1.13002136,1.146531636,1.245592557,1.044815411,1.210338394,0.935981543,1.463020773,1.215872301,1.223400727,1.107475395,0.986913516,1.186117611,0.977176868,1.167659975,1.139340081,1.017423052,1.177859973
1966,1.087600362,1.128879926,1.259762536,0.973889638,1.265187488,1.093109459,1.061326367,1.076507306,1.360506222,1.127499242,1.280934615,1.186564405,1.105673772,1.288618614,0.925443271,1.18594803,1.050743012,1.286153651,1.049427933,1.018372307,1.014334747,1.104450687,1.120919958,1.267550383,1.067917776,0.900894177,1.046174669,1.268738638,1.525689583,1.255596554,0.969729474,1.313425589,1.430492198,1.14296941,0.961110677,1.586366852,1.145886915,1.037300891,1.135281993,0.919862868,0.966514146,1.032658857,1.520039528,1.305200466,1.631998567,1.066672616,1.354221757,1.189424389,1.108162795,0.933371328,1.240156166,1.219573975,1.260997006,1.127833998,1.051117598,1.390255828,1.237576995,1.241662622,1.066778276,1.306418884,1.333827779,1.259018447,1.140328285,1.301725043,1.422336087,1.404886761,1.125883552,0.829490711,0.900208377,0.95668287,1.254037695,1.127246495,1.321103603,1.259592888,1.160709512,1.082638114,0.902213281,1.547900368,1.311126786,1.253939114,1.201095597,1.007145427,1.248710388,0.961808122,1.182353234,1.041797532,1.001093801,1.219399226
1967,1.104863203,1.185002372,1.287993938,1.081036564,1.306832092,1.08349032,1.135943664,1.025030692,1.426298127,1.14733701,1.423075748,1.23473563,1.121878561,1.355840615,0.947647047,1.207141659,0.964986646,1.293911766,0.912146388,0.97938276,1.006471647,1.118454591,1.148544478,1.327145773,1.070736707,0.964362953,1.063050843,1.247570579,1.572438643,1.275899912,1.07192994,1.363907415,1.466434392,1.16850806,0.966983694,1.662709105,1.160710492,1.063095286,1.168679454,0.88418061,0.954961868,1.090021592,1.643548018,1.388807399,1.794200203,1.05946029,1.443086999,1.274593478,1.106917841,0.958640581,1.270312094,1.276398191,1.276581107,1.097196097,0.86716876,1.440908204,1.288240602,1.308351273,1.028021592,1.34092003,1.405639886,1.270477515,1.168268725,1.324873335,1.499042189,1.520492158,1.199983967,0.860513489,0.88992696,0.917622874,1.380079773,1.105854564,1.431488464,1.292032125,1.138240037,1.134911061,0.892589415,1.570706602,1.382653765,1.262035693,1.225421017,0.96150112,1.266066854,0.857068731,1.228885165,1.088682381,1.051364777,1.24444216
1968,1.140308939,1.223589207,1.338628094,1.052769715,1.356296267,1.102830717,1.151066566,1.089134906,1.478572082,1.195237889,1.425619478,1.31135931,1.200429363,1.488996416,0.939354643,1.228732822,0.901573016,1.400500292,0.945953302,0.992235736,1.052151586,1.153301743,1.210204146,1.392340317,1.042355052,1.04467502,1.052253216,1.198089851,1.654396854,1.299440345,1.130844395,1.411618738,1.479179997,1.22610472,0.947253801,1.770927972,1.2291786,1.05704308,1.2099393,0.895882582,1.031266756,1.1027719,1.828377558,1.470380316,2.002640123,1.099538442,1.595623536,1.224515376,1.150294003,0.996176499,1.345420986,1.221243085,1.344851723,1.070572386,0.838585059,1.414182446,1.356732124,1.326718951,1.012932849,1.39961123,1.460479033,1.236584798,1.195086385,1.351951858,1.566991548,1.662538084,1.225425475,0.892565865,0.884017907,0.946973835,1.539975485,1.106250169,1.488942912,1.331538517,1.19493379,1.139521113,0.872106004,1.58358872,1.452151108,1.311361839,1.275363184,0.97163556,1.31365602,0.899743971,1.241020083,1.067286853,1.038804994,1.291653034
1969,1.231553417,1.282668739,1.417734267,1.015582575,1.442126542,1.111595696,1.154453254,1.071111994,1.543380347,1.220968659,1.447302248,1.340453625,1.281732497,1.702257589,0.982947998,1.255324439,1.02580383,1.47424038,0.96721376,1.053760856,1.098546099,1.192492792,1.241578403,1.474793108,1.123466284,1.1075824,1.069911743,1.231982849,1.784086398,1.424926054,1.135578833,1.498540402,1.568613382,1.244510673,0.979514311,1.968505704,1.254492009,1.114673197,1.182524913,0.913313474,1.072050997,1.149288263,2.053373339,1.551239169,2.225907607,1.141281596,1.78705801,1.199515733,1.25882669,1.004445781,1.347313343,1.261725469,1.376895799,0.983991964,1.019455701,1.454570549,1.427338322,1.375232312,1.035525898,1.436962937,1.538946686,1.244153879,1.21915624,1.430345381,1.699798178,1.71310074,1.254032965,0.960425251,0.873219604,0.859200609,1.726835818,1.177418328,1.504520396,1.388444681,1.166843205,1.309393871,0.914388861,1.687465472,1.503678251,1.332107169,1.295379341,1.021373778,1.341208244,0.912448993,1.260406486,1.029451202,1.131369893,1.338624394
