Country Name,Country Code,Time,Exports of goods and services (current US$),Exports of goods and services (current US$billion)
Albania,ALB,2021,5590528224.0,5.59
Andorra,AND,2021,,
Armenia,,2021,4855736546.0,4.86
Austria,AUT,2021,267000000000.0,267.0
Azerbaijan,,2021,25487647059.0,25.5
Belarus,BLR,2021,49200000000.0,49.2
Belgium,BEL,2021,512000000000.0,512.0
Bosnia and Herzegovina,BIH,2021,10100000000.0,10.1
Bulgaria,BGR,2021,50600000000.0,50.6
Croatia,HRV,2021,34900000000.0,34.9
Czech Republic,CZE,2021,205000000000.0,205.0
Denmark,DNK,2021,237000000000.0,237.0
Estonia,EST,2021,29200000000.0,29.2
Finland,FIN,2021,116000000000.0,116.0
France,FRA,2021,880000000000.0,880.0
Germany,DEU,2021,2000000000000.0,2000.0
Greece,GRC,2021,87900000000.0,87.9
Hungary,HUN,2021,148000000000.0,148.0
Iceland,ISL,2021,9707035995.0,9.71
Ireland,IRL,2021,672000000000.0,672.0
Italy,ITA,2021,687000000000.0,687.0
Latvia,LVA,2021,24900000000.0,24.9
Liechtenstein,LIE,2021,,
Lithuania,LTU,2021,52700000000.0,52.7
Luxembourg,LUX,2021,184000000000.0,184.0
Malta,MLT,2021,25500000000.0,25.5
Republic of Moldova,MDA,2021,4188570116.0,4.19
Monaco,MCO,2021,,
Montenegro,MNE,2021,2500533005.0,2.5
Netherlands,NLD,2021,851000000000.0,851.0
The former Yugoslav Republic of Macedonia,MKD,2021,9150765794.0,9.15
Norway,NOR,2021,201000000000.0,201.0
Poland,POL,2021,411000000000.0,411.0
Portugal,PRT,2021,105000000000.0,105.0
Romania,ROU,2021,116000000000.0,116.0
Russia,RUS,2021,548000000000.0,548.0
San Marino,SMR,2021,,
Serbia,SRB,2021,34300000000.0,34.3
Slovakia,SVK,2021,108000000000.0,108.0
Slovenia,SVN,2021,51400000000.0,51.4
Spain,ESP,2021,498000000000.0,498.0
Sweden,SWE,2021,290000000000.0,290.0
Switzerland,CHE,2021,569000000000.0,569.0
Ukraine,UKR,2021,81500000000.0,81.5
United Kingdom,GBR,2021,860000000000.0,860.0
Cyprus,,2021,22500000000.0,22.5
Georgia,,2021,8060000000.0,8.06
Israel,,2021,143000000000.0,143.0
Faroe Islands,,2021,,
Turkey,,2021,289000000000.0,289.0
Holy See (Vatican City),,2021,,
