Country,year,CAF,Increase/Decrease?,Mean_2017,Mean_2021
Afghanistan,2017,19,Increase,34.3,40.2
Albania,2017,26,Increase,34.3,40.2
Algeria,2017,28,Increase,34.3,40.2
Argentina,2017,28,Increase,34.3,40.2
Armenia,2017,23,Increase,34.3,40.2
Australia,2017,59,Decrease,34.3,40.2
Austria,2017,44,Increase,34.3,40.2
Benin,2017,26,Increase,34.3,40.2
Bolivia (Plurinational State of),2017,28,Increase,34.3,40.2
Bosnia and Herzegovina,2017,28,Increase,34.3,40.2
Brazil,2017,23,Increase,34.3,40.2
Bulgaria,2017,22,Increase,34.3,40.2
Burkina Faso,2017,29,Increase,34.3,40.2
Cambodia,2017,18,Increase,34.3,40.2
Cameroon,2017,34,Increase,34.3,40.2
Canada,2017,49,Increase,34.3,40.2
Chile,2017,34,Increase,34.3,40.2
China,2017,17,Increase,34.3,40.2
Colombia,2017,29,Increase,34.3,40.2
Costa Rica,2017,34,Increase,34.3,40.2
Croatia,2017,20,Increase,34.3,40.2
Cyprus,2017,43,Decrease,34.3,40.2
Czechia,2017,22,Increase,34.3,40.2
Denmark,2017,46,Neither,34.3,40.2
Dominican Republic,2017,39,Increase,34.3,40.2
Ecuador,2017,24,Increase,34.3,40.2
Egypt,2017,26,Decrease,34.3,40.2
El Salvador,2017,22,Increase,34.3,40.2
Estonia,2017,26,Increase,34.3,40.2
Finland,2017,40,Decrease,34.3,40.2
France,2017,32,Neither,34.3,40.2
Gabon,2017,24,Increase,34.3,40.2
Georgia,2017,24,Increase,34.3,40.2
Germany,2017,46,Decrease,34.3,40.2
Ghana,2017,42,Increase,34.3,40.2
Greece,2017,17,Increase,34.3,40.2
Guinea,2017,32,Increase,34.3,40.2
Honduras,2017,39,Increase,34.3,40.2
Hong Kong,2017,44,Decrease,34.3,40.2
Hungary,2017,23,Increase,34.3,40.2
Iceland,2017,48,Decrease,34.3,40.2
India,2017,22,Increase,34.3,40.2
Indonesia,2017,59,Increase,34.3,40.2
Iran (Islamic Republic of),2017,45,Decrease,34.3,40.2
Iraq,2017,43,Decrease,34.3,40.2
Ireland,2017,56,Decrease,34.3,40.2
Israel,2017,42,Decrease,34.3,40.2
Italy,2017,33,Decrease,34.3,40.2
Jamaica,2017,36,Increase,34.3,40.2
Japan,2017,22,Decrease,34.3,40.2
Jordan,2017,30,Increase,34.3,40.2
Kazakhstan,2017,28,Increase,34.3,40.2
Kenya,2017,54,Increase,34.3,40.2
Kosovo,2017,33,Increase,34.3,40.2
Kyrgyzstan,2017,36,Increase,34.3,40.2
Latvia,2017,19,Increase,34.3,40.2
Lebanon,2017,28,Decrease,34.3,40.2
Lithuania,2017,19,Increase,34.3,40.2
Malawi,2017,35,Increase,34.3,40.2
Mali,2017,28,Increase,34.3,40.2
Malta,2017,47,Decrease,34.3,40.2
Mauritius,2017,46,Decrease,34.3,40.2
Mexico,2017,24,Increase,34.3,40.2
Mongolia,2017,39,Increase,34.3,40.2
Morocco,2017,26,Increase,34.3,40.2
Mozambique,2017,29,Increase,34.3,40.2
Myanmar,2017,54,Decrease,34.3,40.2
Namibia,2017,32,Increase,34.3,40.2
Nepal,2017,37,Increase,34.3,40.2
Netherlands,2017,51,Decrease,34.3,40.2
New Zealand,2017,58,Decrease,34.3,40.2
Nicaragua,2017,33,Increase,34.3,40.2
Nigeria,2017,48,Neither,34.3,40.2
Norway,2017,50,Decrease,34.3,40.2
Pakistan,2017,28,Increase,34.3,40.2
Panama,2017,30,Increase,34.3,40.2
Paraguay,2017,34,Increase,34.3,40.2
Peru,2017,27,Increase,34.3,40.2
Philippines,2017,28,Increase,34.3,40.2
Poland,2017,24,Increase,34.3,40.2
Portugal,2017,28,Decrease,34.3,40.2
Romania,2017,27,Increase,34.3,40.2
Russian Federation,2017,25,Increase,34.3,40.2
Saudi Arabia,2017,37,Decrease,34.3,40.2
Senegal,2017,28,Increase,34.3,40.2
Serbia,2017,21,Increase,34.3,40.2
Sierra Leone,2017,47,Increase,34.3,40.2
Singapore,2017,54,Decrease,34.3,40.2
Slovakia,2017,28,Increase,34.3,40.2
Slovenia,2017,39,Neither,34.3,40.2
South Africa,2017,41,Decrease,34.3,40.2
Spain,2017,36,Decrease,34.3,40.2
Sri Lanka,2017,45,Decrease,34.3,40.2
Sweden,2017,41,Increase,34.3,40.2
Switzerland,2017,45,Decrease,34.3,40.2
Tajikistan,2017,42,Decrease,34.3,40.2
Thailand,2017,34,Increase,34.3,40.2
Togo,2017,24,Increase,34.3,40.2
Tunisia,2017,20,Increase,34.3,40.2
Türkiye,2017,20,Increase,34.3,40.2
Uganda,2017,39,Increase,34.3,40.2
Ukraine,2017,29,Increase,34.3,40.2
United Arab Emirates,2017,51,Decrease,34.3,40.2
United Kingdom of Great Britain and Northern Ireland,2017,55,Decrease,34.3,40.2
United States of America,2017,58,Increase,34.3,40.2
Uruguay,2017,30,Increase,34.3,40.2
Uzbekistan,2017,36,Increase,34.3,40.2
Venezuela (Bolivarian Republic of),2017,26,Increase,34.3,40.2
Zambia,2017,46,Increase,34.3,40.2
Zimbabwe,2017,30,Increase,34.3,40.2
Afghanistan,2021,21,Increase,34.3,40.2
Albania,2021,34,Increase,34.3,40.2
Algeria,2021,30,Increase,34.3,40.2
Argentina,2021,47,Increase,34.3,40.2
Armenia,2021,29,Increase,34.3,40.2
Australia,2021,55,Decrease,34.3,40.2
Austria,2021,45,Increase,34.3,40.2
Benin,2021,32,Increase,34.3,40.2
Bolivia (Plurinational State of),2021,43,Increase,34.3,40.2
Bosnia and Herzegovina,2021,44,Increase,34.3,40.2
Brazil,2021,47,Increase,34.3,40.2
Bulgaria,2021,41,Increase,34.3,40.2
Burkina Faso,2021,39,Increase,34.3,40.2
Cambodia,2021,19,Increase,34.3,40.2
Cameroon,2021,37,Increase,34.3,40.2
Canada,2021,51,Increase,34.3,40.2
Chile,2021,38,Increase,34.3,40.2
China,2021,42,Increase,34.3,40.2
Colombia,2021,42,Increase,34.3,40.2
Costa Rica,2021,44,Increase,34.3,40.2
Croatia,2021,37,Increase,34.3,40.2
Cyprus,2021,40,Decrease,34.3,40.2
Czechia,2021,48,Increase,34.3,40.2
Denmark,2021,46,Neither,34.3,40.2
Dominican Republic,2021,44,Increase,34.3,40.2
Ecuador,2021,42,Increase,34.3,40.2
Egypt,2021,23,Decrease,34.3,40.2
El Salvador,2021,36,Increase,34.3,40.2
Estonia,2021,40,Increase,34.3,40.2
Finland,2021,37,Decrease,34.3,40.2
France,2021,32,Neither,34.3,40.2
Gabon,2021,34,Increase,34.3,40.2
Georgia,2021,31,Increase,34.3,40.2
Germany,2021,41,Decrease,34.3,40.2
Ghana,2021,43,Increase,34.3,40.2
Greece,2021,32,Increase,34.3,40.2
Guinea,2021,47,Increase,34.3,40.2
Honduras,2021,46,Increase,34.3,40.2
Hong Kong,2021,37,Decrease,34.3,40.2
Hungary,2021,40,Increase,34.3,40.2
Iceland,2021,46,Decrease,34.3,40.2
India,2021,40,Increase,34.3,40.2
Indonesia,2021,68,Increase,34.3,40.2
Iran (Islamic Republic of),2021,43,Decrease,34.3,40.2
Iraq,2021,37,Decrease,34.3,40.2
Ireland,2021,49,Decrease,34.3,40.2
Israel,2021,37,Decrease,34.3,40.2
Italy,2021,29,Decrease,34.3,40.2
Jamaica,2021,46,Increase,34.3,40.2
Japan,2021,20,Decrease,34.3,40.2
Jordan,2021,32,Increase,34.3,40.2
Kazakhstan,2021,34,Increase,34.3,40.2
Kenya,2021,61,Increase,34.3,40.2
Kosovo,2021,43,Increase,34.3,40.2
Kyrgyzstan,2021,44,Increase,34.3,40.2
Latvia,2021,29,Increase,34.3,40.2
Lebanon,2021,24,Decrease,34.3,40.2
Lithuania,2021,37,Increase,34.3,40.2
Malawi,2021,39,Increase,34.3,40.2
Mali,2021,38,Increase,34.3,40.2
Malta,2021,45,Decrease,34.3,40.2
Mauritius,2021,37,Decrease,34.3,40.2
Mexico,2021,44,Increase,34.3,40.2
Mongolia,2021,46,Increase,34.3,40.2
Morocco,2021,31,Increase,34.3,40.2
Mozambique,2021,34,Increase,34.3,40.2
Myanmar,2021,52,Decrease,34.3,40.2
Namibia,2021,35,Increase,34.3,40.2
Nepal,2021,40,Increase,34.3,40.2
Netherlands,2021,46,Decrease,34.3,40.2
New Zealand,2021,54,Decrease,34.3,40.2
Nicaragua,2021,40,Increase,34.3,40.2
Nigeria,2021,48,Neither,34.3,40.2
Norway,2021,45,Decrease,34.3,40.2
Pakistan,2021,29,Increase,34.3,40.2
Panama,2021,36,Increase,34.3,40.2
Paraguay,2021,44,Increase,34.3,40.2
Peru,2021,39,Increase,34.3,40.2
Philippines,2021,47,Increase,34.3,40.2
Poland,2021,47,Increase,34.3,40.2
Portugal,2021,26,Decrease,34.3,40.2
Romania,2021,30,Increase,34.3,40.2
Russian Federation,2021,46,Increase,34.3,40.2
Saudi Arabia,2021,36,Decrease,34.3,40.2
Senegal,2021,40,Increase,34.3,40.2
Serbia,2021,46,Increase,34.3,40.2
Sierra Leone,2021,51,Increase,34.3,40.2
Singapore,2021,45,Decrease,34.3,40.2
Slovakia,2021,41,Increase,34.3,40.2
Slovenia,2021,39,Neither,34.3,40.2
South Africa,2021,35,Decrease,34.3,40.2
Spain,2021,32,Decrease,34.3,40.2
Sri Lanka,2021,44,Decrease,34.3,40.2
Sweden,2021,42,Increase,34.3,40.2
Switzerland,2021,37,Decrease,34.3,40.2
Tajikistan,2021,39,Decrease,34.3,40.2
Thailand,2021,48,Increase,34.3,40.2
Togo,2021,34,Increase,34.3,40.2
Tunisia,2021,28,Increase,34.3,40.2
Türkiye,2021,40,Increase,34.3,40.2
Uganda,2021,46,Increase,34.3,40.2
Ukraine,2021,49,Increase,34.3,40.2
United Arab Emirates,2021,47,Decrease,34.3,40.2
United Kingdom of Great Britain and Northern Ireland,2021,47,Decrease,34.3,40.2
United States of America,2021,59,Increase,34.3,40.2
Uruguay,2021,40,Increase,34.3,40.2
Uzbekistan,2021,38,Increase,34.3,40.2
Venezuela (Bolivarian Republic of),2021,45,Increase,34.3,40.2
Zambia,2021,50,Increase,34.3,40.2
Zimbabwe,2021,31,Increase,34.3,40.2
