dis,sNumber,sTag,servArea,totInc,emInc,numStand,perMet,90Avg,q,ranked
CENTRAL,11,agr,CENTRAL,331,317,296,93.06,7.13,1,1
EASTERN,11,agr,EASTERN,129,114,106,92.18,7.65,1,2
NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,113,106,96,90.82,7.5,1,3
SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,92,88,78,89.92,7.67,1,4
SOUTHERN D1,9,agr,SOUTHERN D1,186,172,151,88.51,7.84,1,5
NORTHERN,11,agr,NORTHERN,161,147,131,88.17,8.12,1,6
WESTERN D3,5,agr,WESTERN D3,131,125,108,84.6,8.14,1,7
SOUTHERN D2,8,agr,SOUTHERN D2,177,167,135,81.09,8.72,1,8
WESTERN D1,9,agr,WESTERN D1,124,117,93,79.57,8.78,1,9
WESTERN D2,10,agr,WESTERN D2,130,122,97,78.99,9.06,1,10
CENTRAL,11,agr,CENTRAL,293,265,246,91.77,7.28,2,1
EASTERN,11,agr,EASTERN,122,98,89,89.69,7.65,2,2
SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,93,88,76,87.35,7.95,2,3
SOUTHERN D1,9,agr,SOUTHERN D1,176,145,125,86.99,8.03,2,4
NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,95,88,77,86.73,7.98,2,5
NORTHERN,11,agr,NORTHERN,145,122,106,86.59,8.19,2,6
SOUTHERN D2,8,agr,SOUTHERN D2,153,128,109,84.96,8.44,2,7
WESTERN D3,5,agr,WESTERN D3,118,103,88,82.64,8.18,2,8
WESTERN D1,9,agr,WESTERN D1,115,98,78,79.82,8.68,2,9
WESTERN D2,10,agr,WESTERN D2,128,105,82,78.11,8.88,2,10
NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,85,78,72,93.25,7.3,3,1
CENTRAL,11,agr,CENTRAL,271,247,232,92.96,6.99,3,2
NORTHERN,11,agr,NORTHERN,128,107,95,89.37,7.97,3,3
SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,83,76,67,88.55,7.77,3,4
SOUTHERN D1,9,agr,SOUTHERN D1,153,128,112,88.06,7.96,3,5
EASTERN,11,agr,EASTERN,104,89,79,86.81,8.01,3,6
SOUTHERN D2,8,agr,SOUTHERN D2,140,113,97,86.01,8.28,3,7
WESTERN D1,8,agr,WESTERN D1,116,97,81,82.65,8.45,3,8
WESTERN D3,5,agr,WESTERN D3,105,90,77,82.26,7.91,3,9
WESTERN D2,10,agr,WESTERN D2,120,100,81,80.69,8.89,3,10
CENTRAL,11,agr,CENTRAL,316,284,260,90.7,7.39,4,1
EASTERN,11,agr,EASTERN,134,104,94,89.46,7.7,4,2
SOUTHERN D1,9,agr,SOUTHERN D1,192,156,134,86.89,8.02,4,3
NORTH & WEST REGIONAL,6,agr,NORTH & WEST REGIONAL,106,93,79,86.47,7.98,4,4
SOUTH & EAST REGIONAL,6,agr,SOUTH & EAST REGIONAL,93,84,73,86.43,8.09,4,5
WESTERN D3,5,agr,WESTERN D3,121,100,86,86.38,7.83,4,6
NORTHERN,11,agr,NORTHERN,165,132,113,86.18,8.19,4,7
SOUTHERN D2,8,agr,SOUTHERN D2,171,138,117,85.21,8.63,4,8
WESTERN D2,10,agr,WESTERN D2,145,117,93,79.46,9.0,4,9
WESTERN D1,8,agr,WESTERN D1,152,125,97,77.96,9.05,4,10
CENTRAL,1,FS1,Eastern Hill,360,346,339,98.0,5.7,1,1
SOUTH & EAST REGIONAL,78,FS78,Morwell,52,51,50,98.0,6.7,1,2
EASTERN,85,FS85,Boronia,112,97,95,97.9,7.0,1,3
CENTRAL,3,FS3,Carlton,341,340,328,96.5,6.4,1,4
NORTHERN,12,FS12,Preston,224,200,193,96.5,7.3,1,5
NORTH & WEST REGIONAL,67,FS67,Ballarat City,130,125,120,96.0,6.2,1,6
CENTRAL,4,FS4,Brunswick,231,216,207,95.8,6.8,1,7
CENTRAL,10,FS10,Richmond,359,349,334,95.7,6.5,1,8
EASTERN,28,FS28,Vermont South,155,140,134,95.7,7.1,1,9
SOUTHERN D1,86,FS86,Rowville,69,68,65,95.6,6.7,1,10
EASTERN,20,FS20,Box Hill,203,176,168,95.5,7.0,1,11
CENTRAL,38,FS38,South Melbourne,467,454,432,95.2,6.6,1,12
CENTRAL,2,FS2,West Melbourne,367,361,343,95.0,6.8,1,13
WESTERN D3,66,FS66,Ocean Grove,21,20,19,95.0,6.1,1,14
EASTERN,22,FS22,Ringwood,149,138,131,94.9,7.2,1,15
SOUTHERN D1,25,FS25,Oakleigh,177,154,146,94.8,7.3,1,16
SOUTHERN D2,94,FS94,Mornington,84,76,72,94.7,7.3,1,17
EASTERN,26,FS26,Croydon,144,125,118,94.4,7.3,1,18
WESTERN D2,44,FS44,Sunshine,218,205,193,94.1,7.3,1,19
WESTERN D1,42,FS42,Newport,86,79,74,93.7,7.5,1,20
NORTH & WEST REGIONAL,73,FS73,Bendigo,201,189,177,93.7,7.4,1,21
NORTHERN,14,FS14,Bundoora,191,182,170,93.4,7.4,1,22
WESTERN D1,47,FS47,Footscray,202,186,173,93.0,7.5,1,23
NORTHERN,7,FS7,Thomastown,153,134,124,92.5,7.7,1,24
EASTERN,23,FS23,Burwood,175,154,142,92.2,7.6,1,25
SOUTH & EAST REGIONAL,77,FS77,Traralgon,93,89,82,92.1,7.1,1,26
NORTHERN,15,FS15,Heidelberg,243,218,200,91.7,7.5,1,27
WESTERN D3,64,FS64,Belmont,115,109,100,91.7,7.5,1,28
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,72,71,65,91.5,6.7,1,29
WESTERN D3,63,FS63,Geelong City,231,222,203,91.4,7.7,1,30
CENTRAL,35,FS35,Windsor,634,598,546,91.3,7.6,1,31
NORTH & WEST REGIONAL,68,FS68,Lucas,49,44,40,90.9,7.6,1,32
