Year,Access to electricity (% of population),Country
2000,8.916726112,Tanzania
2001,9.861008644,Tanzania
2002,10.7977066,Tanzania
2003,11.10000038,Tanzania
2004,11.39999962,Tanzania
2005,13.58578587,Tanzania
2006,14.51569843,Tanzania
2007,15.45013237,Tanzania
2008,11.5,Tanzania
2009,11.19999981,Tanzania
2010,14.80000019,Tanzania
2011,14.19999981,Tanzania
2012,15.30000019,Tanzania
2013,16.39999962,Tanzania
2014,23.5,Tanzania
2015,26.17063713,Tanzania
2016,32.79999924,Tanzania
2017,32.25117493,Tanzania
2018,35.04802322,Tanzania
2019,37.65968704,Tanzania
2020,39.90000153,Tanzania
2000,1.8925012350000001,Somalia
2001,4.504615784,Somalia
2002,7.400000095,Somalia
2003,9.708440781,Somalia
2004,12.30484962,Somalia
2005,14.90072155,Somalia
2006,15.23378563,Somalia
2007,20.1007328,Somalia
2008,22.71022987,Somalia
2009,25.32966614,Somalia
2010,52.16334534,Somalia
2011,51.96811295,Somalia
2012,51.76191711,Somalia
2013,51.53379059,Somalia
2014,51.29363632,Somalia
2015,51.13486099,Somalia
2016,51.11323547,Somalia
2017,52.09999847,Somalia
2018,50.7649765,Somalia
2019,49.20000076,Somalia
2020,49.73086929,Somalia
2000,7.351130486,Uganda
2001,8.600000381000001,Uganda
2002,7.8000001910000005,Uganda
2003,10.56355381,Uganda
2004,11.62545681,Uganda
2005,8.899999619,Uganda
2006,9.0,Uganda
2007,14.81782246,Uganda
2008,15.89281368,Uganda
2009,10.0,Uganda
2010,12.10000038,Uganda
2011,14.60000038,Uganda
2012,20.31927109,Uganda
2013,13.89999962,Uganda
2014,20.39999962,Uganda
2015,18.5,Uganda
2016,26.70000076,Uganda
2017,32.5211525,Uganda
2018,41.91999817,Uganda
2019,41.29999924,Uganda
2020,42.07441711,Uganda
2000,15.13117123,Kenya
2001,17.03308487,Kenya
2002,18.92741394,Kenya
2003,16.0,Kenya
2004,22.70271492,Kenya
2005,24.58838654,Kenya
2006,26.47592926,Kenya
2007,28.36799431,Kenya
2008,30.26729012,Kenya
2009,23.0,Kenya
2010,19.20000076,Kenya
2011,36.03565598,Kenya
2012,37.9909668,Kenya
2013,39.96610641,Kenya
2014,36.0,Kenya
2015,41.59999847,Kenya
2016,53.09999847,Kenya
2017,55.97640991,Kenya
2018,61.2845726,Kenya
2019,69.69999695,Kenya
2020,71.4379425,Kenya
2000,6.199999809,Rwanda
2001,4.57231617,Rwanda
2002,5.9328579900000005,Rwanda
2003,7.288164616,Rwanda
2004,8.640584946,Rwanda
2005,4.8000001910000005,Rwanda
2006,11.34622574,Rwanda
2007,12.70450306,Rwanda
2008,6.0,Rwanda
2009,15.44546127,Rwanda
2010,9.699999809,Rwanda
2011,10.80000019,Rwanda
2012,17.5,Rwanda
2013,15.19999981,Rwanda
2014,19.79999924,Rwanda
2015,22.79999924,Rwanda
2016,29.37000084,Rwanda
2017,34.09999847,Rwanda
2018,36.96815109,Rwanda
2019,40.36860657,Rwanda
2020,46.59999847,Rwanda
2000,12.69999981,Ethiopia
2001,10.16249084,Ethiopia
2002,11.8548336,Ethiopia
2003,13.54194069,Ethiopia
2004,15.22616196,Ethiopia
2005,14.0,Ethiopia
2006,18.59540367,Ethiopia
2007,20.2854805,Ethiopia
2008,21.98278999,Ethiopia
2009,23.69003868,Ethiopia
2010,25.4099369,Ethiopia
2011,23.0,Ethiopia
2012,28.89851952,Ethiopia
2013,30.67167282,Ethiopia
2014,27.20000076,Ethiopia
2015,29.0,Ethiopia
2016,42.90000153,Ethiopia
2017,44.29999924,Ethiopia
2018,44.94060135,Ethiopia
2019,48.063591,Ethiopia
2020,51.0939827,Ethiopia
2000,2.463236809,Burundi
2001,2.797420025,Burundi
2002,3.124018431,Burundi
2003,3.445381641,Burundi
2004,3.763858795,Burundi
2005,3.207317114,Burundi
2006,2.660000086,Burundi
2007,4.725946426,Burundi
2008,4.8000001910000005,Burundi
2009,5.399016857,Burundi
2010,5.300000191,Burundi
2011,6.122684002,Burundi
2012,6.5,Burundi
2013,6.900000095,Burundi
2014,7.0,Burundi
2015,8.427652359,Burundi
2016,9.348409653000001,Burundi
2017,9.300000191,Burundi
2018,10.88490868,Burundi
2019,11.35652828,Burundi
2020,11.73555565,Burundi
