Unnamed: 0,Date,Year,Energy Source,EnergyConsumption
0,1965,,1 Geo Biomass,0.0
1,1965,,3 Solar,0.0
2,1965,,4 Wind,0.0
3,1965,,5 Hydro,41.11881256
4,1965,,2 Nuclear,0.0
5,1965,,7 Gas,9.543754578
6,1965,,6 Coal,323.4961243
7,1965,,8 Oil,341.2627563
8,1966,,1 Geo Biomass,0.0
9,1966,,3 Solar,0.0
10,1966,,4 Wind,0.0
11,1966,,5 Hydro,45.86291504
12,1966,,2 Nuclear,0.0
13,1966,,7 Gas,10.66991615
14,1966,,6 Coal,323.1221924
15,1966,,8 Oil,369.4865723
16,1967,,1 Geo Biomass,0.0
17,1967,,3 Solar,0.0
18,1967,,4 Wind,0.0
19,1967,,5 Hydro,47.87553787
20,1967,,2 Nuclear,0.0
21,1967,,7 Gas,10.54566956
22,1967,,6 Coal,330.2915649
23,1967,,8 Oil,368.1252441
24,1968,,1 Geo Biomass,0.0
25,1968,,3 Solar,0.0
26,1968,,4 Wind,0.0
27,1968,,5 Hydro,56.00046921
28,1968,,2 Nuclear,0.0
29,1968,,7 Gas,10.68896961
30,1968,,6 Coal,343.5129089
31,1968,,8 Oil,389.1998596
32,1969,,1 Geo Biomass,0.0
33,1969,,3 Solar,0.0
34,1969,,4 Wind,0.0
35,1969,,5 Hydro,65.35208893
36,1969,,2 Nuclear,0.0
37,1969,,7 Gas,12.49199963
38,1969,,6 Coal,346.6429443
39,1969,,8 Oil,396.9228516
40,1970,,1 Geo Biomass,0.0
41,1970,,3 Solar,0.0
42,1970,,4 Wind,0.0
43,1970,,5 Hydro,81.70288086
44,1970,,2 Nuclear,0.0
45,1970,,7 Gas,15.52032471
46,1970,,6 Coal,360.756897
47,1970,,8 Oil,433.7723083
48,1971,,1 Geo Biomass,0.164000005
49,1971,,3 Solar,0.0
50,1971,,4 Wind,0.0
51,1971,,5 Hydro,76.92131805
52,1971,,2 Nuclear,0.0
53,1971,,7 Gas,18.4052639
54,1971,,6 Coal,383.0123291
55,1971,,8 Oil,473.5654297
56,1972,,1 Geo Biomass,0.165000007
57,1972,,3 Solar,0.0
58,1972,,4 Wind,0.0
59,1972,,5 Hydro,87.62504578
60,1972,,2 Nuclear,0.0
61,1972,,7 Gas,24.6706562
62,1972,,6 Coal,384.2108154
63,1972,,8 Oil,510.6726379
64,1973,,1 Geo Biomass,0.170000002
65,1973,,3 Solar,0.0
66,1973,,4 Wind,0.0
67,1973,,5 Hydro,92.68891907
68,1973,,2 Nuclear,0.0
69,1973,,7 Gas,39.55179214
70,1973,,6 Coal,408.9103394
71,1973,,8 Oil,549.7197876
72,1974,,1 Geo Biomass,0.174999997
73,1974,,3 Solar,0.0
74,1974,,4 Wind,0.0
75,1974,,5 Hydro,105.4671555
76,1974,,2 Nuclear,0.0
77,1974,,7 Gas,44.51848602
78,1974,,6 Coal,425.6462097
79,1974,,8 Oil,567.7996826
80,1975,,1 Geo Biomass,0.172000006
81,1975,,3 Solar,0.0
82,1975,,4 Wind,0.0
83,1975,,5 Hydro,111.5316315
84,1975,,2 Nuclear,0.0
85,1975,,7 Gas,53.63837814
86,1975,,6 Coal,451.0805054
87,1975,,8 Oil,596.4046631
88,1976,,1 Geo Biomass,0.185000002
89,1976,,3 Solar,0.0
90,1976,,4 Wind,0.0
91,1976,,5 Hydro,123.5951538
92,1976,,2 Nuclear,0.0
93,1976,,7 Gas,60.98139191
94,1976,,6 Coal,481.0741577
95,1976,,8 Oil,652.5804443
96,1977,,1 Geo Biomass,0.188999996
97,1977,,3 Solar,0.0
98,1977,,4 Wind,0.0
99,1977,,5 Hydro,135.8108673
100,1977,,2 Nuclear,0.0
101,1977,,7 Gas,68.23419189
102,1977,,6 Coal,491.6984558
103,1977,,8 Oil,695.1663208
104,1978,,1 Geo Biomass,0.194999993
105,1978,,3 Solar,0.0
106,1978,,4 Wind,0.0
107,1978,,5 Hydro,136.9291229
108,1978,,2 Nuclear,0.0
109,1978,,7 Gas,97.36990356
110,1978,,6 Coal,477.8155823
111,1978,,8 Oil,732.1810303
112,1979,,1 Geo Biomass,0.201000005
113,1979,,3 Solar,0.0
114,1979,,4 Wind,0.0
115,1979,,5 Hydro,146.563858
116,1979,,2 Nuclear,0.0
117,1979,,7 Gas,148.8428192
118,1979,,6 Coal,507.2469788
119,1979,,8 Oil,770.9386597
120,1980,,1 Geo Biomass,0.207000002
121,1980,,3 Solar,0.0
122,1980,,4 Wind,0.0
123,1980,,5 Hydro,142.8574219
124,1980,,2 Nuclear,0.0
125,1980,,7 Gas,186.9139709
126,1980,,6 Coal,543.5570679
127,1980,,8 Oil,817.2388916
128,1981,,1 Geo Biomass,0.217999995
129,1981,,3 Solar,0.0
130,1981,,4 Wind,0.0
131,1981,,5 Hydro,148.4198914
132,1981,,2 Nuclear,0.0
133,1981,,7 Gas,228.4911652
134,1981,,6 Coal,635.7987671
135,1981,,8 Oil,883.8618774
136,1982,,1 Geo Biomass,0.236000001
137,1982,,3 Solar,0.0
138,1982,,4 Wind,0.0
139,1982,,5 Hydro,148.4593048
140,1982,,2 Nuclear,0.0
141,1982,,7 Gas,246.733551
142,1982,,6 Coal,701.1759033
143,1982,,8 Oil,925.2272339
144,1983,,1 Geo Biomass,0.230000004
145,1983,,3 Solar,0.0
146,1983,,4 Wind,0.0
147,1983,,5 Hydro,133.7953644
148,1983,,2 Nuclear,0.0
149,1983,,7 Gas,271.2753296
150,1983,,6 Coal,713.2460327
151,1983,,8 Oil,964.5521851
152,1984,,1 Geo Biomass,0.233999997
153,1984,,3 Solar,0.0
154,1984,,4 Wind,0.0
155,1984,,5 Hydro,131.556366
156,1984,,2 Nuclear,11.13724613
157,1984,,7 Gas,259.902771
158,1984,,6 Coal,762.8978271
159,1984,,8 Oil,981.7520752
160,1985,,1 Geo Biomass,0.268999994
161,1985,,3 Solar,0.0
162,1985,,4 Wind,0.0
163,1985,,5 Hydro,146.2221832
164,1985,,2 Nuclear,15.08139229
165,1985,,7 Gas,278.8427429
166,1985,,6 Coal,787.1658936
167,1985,,8 Oil,1007.091858
168,1986,,1 Geo Biomass,0.658999979
169,1986,,3 Solar,0.0
170,1986,,4 Wind,0.0
171,1986,,5 Hydro,151.2363129
172,1986,,2 Nuclear,24.97864342
173,1986,,7 Gas,313.2712097
174,1986,,6 Coal,805.3560791
175,1986,,8 Oil,988.5931396
176,1987,,1 Geo Biomass,0.657999992
177,1987,,3 Solar,0.0
178,1987,,4 Wind,0.0
179,1987,,5 Hydro,145.0594177
180,1987,,2 Nuclear,17.49895477
181,1987,,7 Gas,323.3843689
182,1987,,6 Coal,828.3197021
183,1987,,8 Oil,1042.068604
184,1988,,1 Geo Biomass,0.625999987
185,1988,,3 Solar,0.0
186,1988,,4 Wind,0.0
187,1988,,5 Hydro,158.4752808
188,1988,,2 Nuclear,29.77404404
189,1988,,7 Gas,358.4445496
190,1988,,6 Coal,890.1607666
191,1988,,8 Oil,1086.268188
192,1989,,1 Geo Biomass,0.616999984
193,1989,,3 Solar,0.0
194,1989,,4 Wind,0.0
195,1989,,5 Hydro,166.4081573
196,1989,,2 Nuclear,31.49357796
197,1989,,7 Gas,371.4710388
198,1989,,6 Coal,835.6208496
199,1989,,8 Oil,1123.926514
200,1990,,1 Geo Biomass,0.796000004
201,1990,,3 Solar,0.0
202,1990,,4 Wind,0.0
203,1990,,5 Hydro,169.3014069
204,1990,,2 Nuclear,23.97416306
205,1990,,7 Gas,398.6453857
206,1990,,6 Coal,877.6782837
207,1990,,8 Oil,1142.402832
208,1991,,1 Geo Biomass,0.811999977
209,1991,,3 Solar,0.0
210,1991,,4 Wind,0.0
211,1991,,5 Hydro,179.3458099
212,1991,,2 Nuclear,25.94623756
213,1991,,7 Gas,401.6355896
214,1991,,6 Coal,853.762146
215,1991,,8 Oil,1148.7052
216,1992,,1 Geo Biomass,0.84224999
217,1992,,3 Solar,0.0
218,1992,,4 Wind,0.0
219,1992,,5 Hydro,171.0922546
220,1992,,2 Nuclear,26.35483932
221,1992,,7 Gas,421.2702637
