Unnamed: 0,Date,type,value,area
0,01-Jan-05,northwest_error,-1.1494446,Northwest
1,01-Jan-05,westmidlands_error,-0.10395813,Westmidlands
2,01-Jan-05,london_error,-0.11904907,London
3,01-Jan-05,southwest_error,-0.85424805,Southwest
4,01-Jan-05,england_error,-0.31591797,England
5,01-Feb-05,northwest_error,-1.2453003,Northwest
6,01-Feb-05,westmidlands_error,-0.12567902,Westmidlands
7,01-Feb-05,london_error,-0.30557251,London
8,01-Feb-05,southwest_error,-0.50667572,Southwest
9,01-Feb-05,england_error,-0.37171936,England
10,01-Mar-05,northwest_error,-1.3318863,Northwest
11,01-Mar-05,westmidlands_error,-0.035614014,Westmidlands
12,01-Mar-05,london_error,-0.4740448,London
13,01-Mar-05,southwest_error,-0.54434967,Southwest
14,01-Mar-05,england_error,-0.41244507,England
15,01-Apr-05,northwest_error,-1.427742,Northwest
16,01-Apr-05,westmidlands_error,0.042663574,Westmidlands
17,01-Apr-05,london_error,-0.56056976,London
18,01-Apr-05,southwest_error,-0.4967804,Southwest
19,01-Apr-05,england_error,-0.46823883,England
20,01-May-05,northwest_error,-1.4205093,Northwest
21,01-May-05,westmidlands_error,0.12487793,Westmidlands
22,01-May-05,london_error,-0.74107361,London
23,01-May-05,southwest_error,-0.34429169,Southwest
24,01-May-05,england_error,-0.41901398,England
25,01-Jun-05,northwest_error,-1.216362,Northwest
26,01-Jun-05,westmidlands_error,0.10315704,Westmidlands
27,01-Jun-05,london_error,-0.92759705,London
28,01-Jun-05,southwest_error,-0.19671631,Southwest
29,01-Jun-05,england_error,-0.47481537,England
30,01-Jul-05,northwest_error,-1.2091293,Northwest
31,01-Jul-05,westmidlands_error,0.18535614,Westmidlands
32,01-Jul-05,london_error,-1.0081024,London
33,01-Jul-05,southwest_error,-0.14422607,Southwest
34,01-Jul-05,england_error,-0.42558289,England
35,01-Aug-05,northwest_error,-1.2049866,Northwest
36,01-Aug-05,westmidlands_error,0.36363983,Westmidlands
37,01-Aug-05,london_error,-0.8946228,London
38,01-Aug-05,southwest_error,0.003349304,Southwest
39,01-Aug-05,england_error,-0.3813858,England
40,01-Sep-05,northwest_error,-1.1008377,Northwest
41,01-Sep-05,westmidlands_error,0.44191742,Westmidlands
42,01-Sep-05,london_error,-0.88114929,London
43,01-Sep-05,southwest_error,0.15091705,Southwest
44,01-Sep-05,england_error,-0.33718872,England
45,01-Oct-05,northwest_error,-1.093605,Northwest
46,01-Oct-05,westmidlands_error,0.42412567,Westmidlands
47,01-Oct-05,london_error,-1.0616531,London
48,01-Oct-05,southwest_error,0.10340118,Southwest
49,01-Oct-05,england_error,-0.38796234,England
50,01-Nov-05,northwest_error,-0.98946381,Northwest
51,01-Nov-05,westmidlands_error,0.50241089,Westmidlands
52,01-Nov-05,london_error,-1.1481705,London
53,01-Nov-05,southwest_error,0.25097656,Southwest
54,01-Nov-05,england_error,-0.34375763,England
55,01-Dec-05,northwest_error,-0.78222656,Northwest
56,01-Dec-05,westmidlands_error,0.88461304,Westmidlands
57,01-Dec-05,london_error,-1.1286774,London
58,01-Dec-05,southwest_error,0.4034729,Southwest
59,01-Dec-05,england_error,-0.29454041,England
60,01-Jan-06,northwest_error,-0.57807922,Northwest
61,01-Jan-06,westmidlands_error,1.0628891,Westmidlands
62,01-Jan-06,london_error,-1.0151978,London
63,01-Jan-06,southwest_error,0.45104218,Southwest
64,01-Jan-06,england_error,-0.15033722,England
65,01-Feb-06,northwest_error,-0.57394409,Northwest
66,01-Feb-06,westmidlands_error,0.94116974,Westmidlands
67,01-Feb-06,london_error,-1.0017242,London
68,01-Feb-06,southwest_error,0.39861298,Southwest
69,01-Feb-06,england_error,-0.10614014,England
70,01-Mar-06,northwest_error,-0.56052399,Northwest
71,01-Mar-06,westmidlands_error,0.93123627,Westmidlands
72,01-Mar-06,london_error,-1.0701981,London
73,01-Mar-06,southwest_error,0.4609375,Southwest
74,01-Mar-06,england_error,-0.14685059,England
75,01-Apr-06,northwest_error,-0.55638123,Northwest
76,01-Apr-06,westmidlands_error,1.0095139,Westmidlands
77,01-Apr-06,london_error,-1.0567093,London
78,01-Apr-06,southwest_error,0.4085083,Southwest
79,01-Apr-06,england_error,-0.1026535,England
80,01-May-06,northwest_error,-0.54914856,Northwest
81,01-May-06,westmidlands_error,0.99172211,Westmidlands
82,01-May-06,london_error,-1.1372223,London
83,01-May-06,southwest_error,0.26100159,Southwest
84,01-May-06,england_error,-0.15342712,England
85,01-Jun-06,northwest_error,-0.64500427,Northwest
86,01-Jun-06,westmidlands_error,1.0700073,Westmidlands
87,01-Jun-06,london_error,-1.1237488,London
88,01-Jun-06,southwest_error,0.20857239,Southwest
89,01-Jun-06,england_error,-0.20922852,England
90,01-Jul-06,northwest_error,-0.73777008,Northwest
91,01-Jul-06,westmidlands_error,1.0522079,Westmidlands
92,01-Jul-06,london_error,-1.104248,London
93,01-Jul-06,southwest_error,0.16105652,Southwest
94,01-Jul-06,england_error,-0.16000366,England
95,01-Aug-06,northwest_error,-0.73361969,Northwest
96,01-Aug-06,westmidlands_error,1.1304855,Westmidlands
97,01-Aug-06,london_error,-1.190773,London
98,01-Aug-06,southwest_error,0.20864105,Southwest
99,01-Aug-06,england_error,-0.11580658,England
100,01-Sep-06,northwest_error,-0.62947845,Northwest
101,01-Sep-06,westmidlands_error,1.2087708,Westmidlands
102,01-Sep-06,london_error,-1.3772888,London
103,01-Sep-06,southwest_error,0.3562088,Southwest
104,01-Sep-06,england_error,-0.17160797,England
105,01-Oct-06,northwest_error,-0.62224579,Northwest
106,01-Oct-06,westmidlands_error,1.190979,Westmidlands
107,01-Oct-06,london_error,-1.4578018,London
108,01-Oct-06,southwest_error,0.20869446,Southwest
109,01-Oct-06,england_error,-0.22237396,England
110,01-Nov-06,northwest_error,-0.31809998,Northwest
111,01-Nov-06,westmidlands_error,1.2692566,Westmidlands
112,01-Nov-06,london_error,-1.4443283,London
113,01-Nov-06,southwest_error,0.35626984,Southwest
