code,municipality,department,tables,total_tables,voters,total_voters,votes_by_candidate,votes_blank,vote_null,votes_unmarked,iván duque,gustavo petro,dane
60010,El Encanto,Amazonas,3,3,296,776,288,3,2,3,107,181,91263
60013,La Chorrera,Amazonas,3,3,563,969,560,2,1,0,78,482,91405
60016,La Pedrera,Amazonas,3,3,249,965,248,1,0,0,66,182,91407
60017,La Victoria,Amazonas,1,1,17,61,16,1,0,0,5,11,91430
60001,Leticia,Amazonas,97,97,15811,36216,15212,423,141,35,8536,6676,91001
60019,Miriti Parana,Amazonas,2,2,84,456,84,0,0,0,12,72,91460
60030,Puerto Alegria,Amazonas,1,1,73,264,72,0,0,1,32,40,91530
60040,Puerto Arica,Amazonas,2,2,145,450,142,2,0,1,58,84,91536
60007,Puerto Nariño,Amazonas,12,12,2138,4456,2081,30,21,6,874,1207,91540
60021,Puerto Santander,Amazonas,2,2,166,595,163,2,1,0,48,115,91669
60022,Tarapaca,Amazonas,4,4,432,1356,420,7,3,2,146,274,91798
1004,Abejorral,Antioquia,44,44,7397,14967,7119,174,68,36,6572,547,5002
1007,Abriaqui,Antioquia,6,6,1056,1913,1018,27,1,10,975,43,5004
1010,Alejandria,Antioquia,12,12,2343,4549,2234,84,14,11,2018,216,5021
1013,Amaga,Antioquia,60,60,10765,22350,9908,605,213,39,8193,1715,5030
1016,Amalfi,Antioquia,47,47,6392,17182,5922,354,93,23,5162,760,5031
1019,Andes,Antioquia,88,88,17010,34753,16293,503,183,31,14272,2021,5034
1022,Angelopolis,Antioquia,17,17,2677,5812,2552,89,26,10,2284,268,5036
1025,Angostura,Antioquia,26,26,3340,9079,3086,143,86,25,2810,276,5038
1028,Anori,Antioquia,34,34,3325,11628,3043,220,38,24,2217,826,5040
1031,Antioquia,Antioquia,59,59,10271,20540,9507,511,201,52,7737,1770,5042
1034,Anza,Antioquia,17,17,2918,5771,2810,74,23,11,2609,201,5044
1035,Apartado,Antioquia,241,241,43652,92620,40964,2011,590,87,19492,21472,5045
1037,Arboletes,Antioquia,63,63,11180,22416,10876,171,101,32,6759,4117,5051
1039,Argelia,Antioquia,21,21,3334,6570,3258,54,14,8,3124,134,5055
1040,Armenia,Antioquia,13,13,2068,4688,1954,68,37,9,1739,215,5059
1043,Barbosa,Antioquia,111,111,20912,40499,18915,1216,524,257,14540,4375,5079
1049,Bello,Antioquia,819,819,181478,331836,166949,10987,3331,211,125307,41642,5088
1046,Belmira,Antioquia,15,15,2269,4750,2126,100,32,11,1904,222,5086
1052,Betania,Antioquia,23,23,3553,8342,3448,64,28,13,3161,287,5091
1055,Betulia,Antioquia,37,37,6284,13332,6079,122,57,26,5784,295,5093
1058,Bolivar,Antioquia,66,66,11663,23836,11205,338,92,28,10044,1161,5101
1062,Briceño,Antioquia,22,22,2210,6610,1960,156,62,32,1360,600,5107
1061,Buritica,Antioquia,21,21,2930,7299,2729,120,57,24,2211,518,5113
1064,Caceres,Antioquia,54,54,5556,19548,5314,140,79,23,2853,2461,5120
1067,Caicedo,Antioquia,17,17,3134,6267,2984,94,34,22,2659,325,5125
1070,Caldas,Antioquia,172,172,37414,63501,33271,2924,1151,68,24691,8580,5129
1073,Campamento,Antioquia,19,19,1934,6625,1833,68,19,14,1581,252,5134
1078,Caracoli,Antioquia,15,15,1854,4710,1746,83,21,4,1448,298,5142
1079,Caramanta,Antioquia,15,15,2432,4992,2299,93,33,7,1947,352,5145
1080,Carepa,Antioquia,117,117,18268,42614,17236,708,279,45,8774,8462,5147
1082,Carmen De Viboral,Antioquia,101,101,23960,36226,22170,1278,447,65,16807,5363,5148
1085,Carolina,Antioquia,12,12,1899,4049,1754,104,39,2,1515,239,5150
1088,Caucasia,Antioquia,192,192,29864,68594,28148,1069,574,73,16151,11997,5154
1076,Cañasgordas,Antioquia,37,37,7262,13434,6955,192,95,20,6434,521,5138
1106,Chigorodo,Antioquia,104,104,19542,46034,18387,757,341,57,9167,9220,5172
1091,Cisneros,Antioquia,31,31,5070,11528,4666,284,96,24,3902,764,5190
1094,Cocorna,Antioquia,38,38,7614,13259,7377,162,53,22,6749,628,5197
1097,Concepcion,Antioquia,12,12,2229,4294,2142,61,17,9,1974,168,5206
1100,Concordia,Antioquia,43,43,6906,15881,6620,205,50,31,6120,500,5209
1103,Copacabana,Antioquia,178,178,36712,66571,33420,2469,766,57,24052,9368,5212
1109,Dabeiba,Antioquia,48,48,6620,17541,6253,205,123,39,4581,1672,5234
1112,Don Matias,Antioquia,47,47,9098,17033,8604,380,95,19,7706,898,5237
1115,Ebejico,Antioquia,32,32,5416,11258,5077,174,69,96,4599,478,5240
1117,El Bagre,Antioquia,99,99,12517,36574,11785,499,200,33,7883,3902,5250
1118,Entrerrios,Antioquia,23,23,4647,8462,4304,282,51,10,3764,540,5264
1121,Envigado,Antioquia,605,605,145705,241042,135100,8713,1774,118,109059,26041,5266
1124,Fredonia,Antioquia,53,53,7919,18205,7315,429,147,28,5940,1375,5282
1127,Frontino,Antioquia,51,51,6136,16854,5686,266,141,43,4276,1410,5284
1130,Giraldo,Antioquia,12,12,2439,4342,2285,111,36,7,1752,533,5306
1133,Girardota,Antioquia,132,132,25652,49817,22952,1910,732,58,16322,6630,5308
1136,Gomez Plata,Antioquia,24,24,4202,8435,3972,142,69,19,3589,383,5310
1139,Granada,Antioquia,28,28,5337,10039,5126,159,35,17,4712,414,5313
1140,Guadalupe,Antioquia,18,18,2083,5752,1909,109,38,27,1545,364,5315
1142,Guarne,Antioquia,96,96,23069,34883,21305,1336,373,55,17498,3807,5318
1145,Guatape,Antioquia,18,18,4583,6871,4343,187,47,6,3616,727,5321
1148,Heliconia,Antioquia,18,18,2750,6032,2596,97,48,9,2305,291,5347
1150,Hispania,Antioquia,15,15,2449,5366,2336,90,17,6,1976,360,5353
1151,Itagui,Antioquia,627,627,139116,253471,127373,8886,2656,201,97703,29670,5360
1154,Ituango,Antioquia,57,57,4396,17607,3843,351,130,72,2609,1234,5361
1157,Jardin,Antioquia,34,34,7525,12392,7115,337,58,15,5574,1541,5364
1160,Jerico,Antioquia,30,30,6193,11033,5907,199,71,16,5280,627,5368
