OBJECTID_1,OBJECTID,UPlCode,UPlType,UPlName,UPlAAdmin,UPlArea,SHAPE_Leng,Shape_Le_1,UPZID,Popul_Total,Men_20,Women_20,DEN_POPUL,Cnt_UPlCod,Shape__Area,Shape__Length
1,1,UPZ100,1,GALERIAS,Dcto. 621-29/12/2006 (Gaceta 456/2007),2375681.13094,0.0605627700098,0.060562771223500005,100,34521,46.6,53.4,146.7,74,0.00019346580660300003,0.060562771223493
2,2,UPZ83,1,LAS MARGARITAS, ,1472415.46489,0.058092723936400005,0.058092723894200005,83,15378,47.2,52.8,183.7,13,0.00011990673922900001,0.058092723894151
3,3,UPZ107,1,QUINTA PAREDES,"Dcto. 086-8/03/2011 Modificatorio del 1096-26/12/2000, 227-22/03/2001 Mod.=Res 496/2008, Dec 154/2009",1739559.54056,0.0595758058698,0.0595758046461,107,27314,46.4,53.6,157.1,38,0.00014166042024000002,0.059575804646101
4,4,UPZ101,1,TEUSAQUILLO,Dcto. 492-26/10/2007  Mod.=Res 253/2009 (Gaceta 516/2009),2357007.97363,0.0635654394571,0.0635654382859,101,27361,47.1,52.9,117.6,72,0.000191941224102,0.063565438285882
5,5,UPZ91,1,SAGRADO CORAZON,Dcto. 492-26/10/2007  Mod.=Res 249/2009 (Gaceta 516/2009),1461892.73671,0.0648721409064,0.0648721412121,91,5840,50.2,49.8,57.4,45,0.00011904701364,0.064872141212126
6,6,UPZ81,1,GRAN BRITALIA,Dcto. 217-13/07/2005 (Gaceta 373/2005),1799021.03853,0.0692174811416,0.0692174816834,81,70306,48.6,51.4,396.8,52,0.00014650054382,0.069217481683363
7,7,UPZ108,1,ZONA INDUSTRIAL,Dcto. 317-26/07/2011 Modific¢ el 062-14/02/2007 (Gaceta 464/2007) Mod.=Res 1597/2009,3469535.2294,0.07101292428230001,0.071012925239,108,4207,53.7,46.3,12.2,68,0.000282535815131,0.07101292523895901
8,8,UPZ75,1,FONTIBON, ,4964574.37427,0.0782401231239,0.0782401228072,75,139351,47.8,52.2,282.4,105,0.00040431457108500005,0.07824012280718001
9,9,UPZ22,1,DOCE DE OCTUBRE,Dcto. 287-23/08/2005 (Gaceta 380/2005),3362551.07979,0.0690563562446,0.0690563557067,22,99457,47.6,52.4,297.5,62,0.00027384352068700004,0.06905635570672801
10,10,UPZ114,1,MODELIA,Dcto. 903-04/12/2001 Mod.=Res 940/2006 (Gaceta 443/2006),2615813.65518,0.0663646312065,0.0663646319685,114,39720,46.2,53.8,159.2,39,0.00021302860415000003,0.066364631968505
11,11,UPZ103,1,PARQUE SALITRE,Dcto. 255-26/08/2004,1652469.08484,0.0540471116209,0.0540471108233,103,4231,52.3,47.7,133.5,20,0.000134573804331,0.054047110823251004
12,12,UPZ105,1,JARDIN BOTANICO, ,1617052.11764,0.0471750637107,0.047175062571500004,105,2490,62.0,38.0,42.4,27,0.00013169008892,0.047175062571513
13,13,UPZ88,1,EL REFUGIO,"Dcto. 059-14/02/2007 modific¢ el 075-20/03/2003 Mod=Res 1000/2007,1062/2007,0612/2008,2475y2476/2009",3359784.85908,0.119529142188,0.119529138736,88,30883,41.7,58.3,101.9,42,0.00027361577517100004,0.11952913873593701
14,14,UPZ27,1,SUBA,"Dcto. 615-29/12/2006 (Gaceta 454/2007) Mod.=Res 0476/2008 (Gaceta 499/2008), Res 1133/2006 y 1291/2010",6529011.30739,0.124117150636,0.124117151893,27,140146,47.5,52.5,228.6,97,0.000531776154986,0.124117151892736
15,15,UPZ72,1,BOLIVIA,Dcto. 309-27/09/2004 Mod.= Circular No. 001/2008 (Gaceta 511/2008),4745041.59406,0.0907918411428,0.0907918414017,72,87312,46.2,53.8,240.9,72,0.00038646174601800003,0.09079184140166101
16,16,UPZ15,1,COUNTRY CLUB,Dcto. 128-11/04/2002,2856068.35551,0.0635413369364,0.0635413366055,15,24654,43.3,56.7,86.3,32,0.000232608074895,0.06354133660547501
17,17,UPZ16,1,SANTA BARBARA,"Dcto. 1095-26/12/2000,227-22/03/2001 Mod.=Res 761/2007 (Gaceta 488/2008)",4586983.20974,0.07734376055350001,0.07734376226680001,16,51221,43.2,56.8,113.6,92,0.000373572268756,0.07734376226679801
18,18,UPZ21,1,LOS ANDES,Dcto. 188-21/06/2005 (Gaceta 367/2005) Mod.=Res 440/2007 (Gaceta 474/2007),2748166.45782,0.057650485588,0.057650484069900004,21,46753,48.9,51.1,170.1,51,0.00022381181193500003,0.057650484069911
19,19,UPZ89,1,SAN ISIDRO - PATIOS, ,1130182.3434,0.0532399928482,0.0532399924413,89,16858,50.7,49.3,193.2,16,9.204013608155041e-05,0.053239992441294
20,20,UPZ106,1,LA ESMERALDA,Dcto. 928-21/12/2001 Mod.=Decreto 344/2007,1928784.82398,0.0541646960606,0.054164695312100004,106,33790,44.7,55.3,175.4,25,0.000157073799357,0.054164695312077
21,21,UPZ86,1,EL PORVENIR,Dcto. 410-23/12/2004,4610321.21294,0.0905376807081,0.0905376812597,86,76194,49.5,50.5,223.0,57,0.000375445681754,0.09053768125966101
22,22,UPZ82,1,PATIO BONITO,Dcto. 398-15/12/2004 Mod.=Dec 337/2009 (gaceta 536/2009),3173216.61524,0.0830177627671,0.0830177627312,82,177454,50.1,49.9,604.0,92,0.000258413518537,0.08301776273123401
