time,quantity,item
0,2.0,monkey
1,6.192962712629476,monkey
2,9.30037210271847,monkey
3,13.097596309015797,monkey
4,12.71068609258575,monkey
5,16.194870523363548,monkey
6,17.580936309501134,monkey
7,24.888381054913122,monkey
8,27.13058987556147,monkey
9,26.317280693371046,monkey
10,26.45580618665162,monkey
11,29.55190884598056,monkey
12,32.610188015018984,monkey
13,37.63440373999379,monkey
14,36.62768266080517,monkey
15,41.59266228400805,monkey
16,40.53159496449108,monkey
17,41.44642466614132,monkey
18,47.338844810888254,monkey
19,46.21034266761982,monkey
0,1.0,slipper
1,9.743276393803367,slipper
2,9.258523872989459,slipper
3,13.42287530066645,slipper
4,18.378925219250924,slipper
5,19.189151347155786,slipper
6,22.888381054913122,slipper
7,25.498670948012276,slipper
8,25.03516289842348,slipper
9,27.508850275948053,slipper
10,30.928050775697603,slipper
11,33.299260572778856,slipper
12,34.62768266080517,slipper
13,42.9175705807045,slipper
14,40.17246133441246,slipper
15,42.39533859324643,slipper
16,48.58875032686557,slipper
17,47.75489563854074,slipper
18,50.89569020671064,slipper
19,50.012816499808885,slipper
0,3.0,broom
1,4.623898318388478,broom
2,7.309573444801933,broom
3,8.727161387290321,broom
4,14.98560543306118,broom
5,17.132639022018836,broom
6,19.194870523363548,broom
7,17.189151347155786,broom
8,22.127049995800743,broom
9,24.016965485301043,broom
10,24.86525259636632,broom
11,25.676874454922782,broom
12,29.45580618665162,broom
13,31.205297528345778,broom
14,32.9280507756976,broom
15,31.626345475706252,broom
16,34.30212829607493,broom
17,35.95707936800063,broom
18,36.59266228400805,broom
19,38.210162462449645,broom
