off_type,urbanicity,year,total_pop,money_bond_rate,povertyR
Misdemeanor,small/mid,2016,672453,88.24302134646962,11.5
Misdemeanor,small/mid,2016,617222,43.31783352952141,11.33822352411288
Misdemeanor,small/mid,2016,148116,53.126044801069874,15.0
Misdemeanor,small/mid,2016,163043,54.738655944859275,19.9
Misdemeanor,small/mid,2016,341345,73.04135494335729,10.710969546939314
Misdemeanor,rural,2016,242521,73.94711020554428,11.99057318747655
Misdemeanor,rural,2016,66396,41.2756548723973,19.044960539791553
Misdemeanor,rural,2016,120318,58.12454802575279,12.55877840389634
Misdemeanor,rural,2016,180230,87.0307021493391,10.741742218276647
Misdemeanor,rural,2016,81590,79.34768674041433,25.76580095599951
Misdemeanor,suburban,2015,61706,93.43696027633851,4.9
Misdemeanor,suburban,2015,613727,82.91803777665872,7.882627129000354
Misdemeanor,suburban,2015,617385,48.76860266034505,9.2
Misdemeanor,suburban,2015,314250,70.36474164133737,3.4
Misdemeanor,suburban,2015,479488,96.30074465529667,12.8
Felony,urban,2014,648049,75.01965408805032,15.9
Misdemeanor,suburban,2016,489822,84.8625,11.7
Misdemeanor,suburban,2016,70587,75.86784227057306,5.480489325229858
Misdemeanor,suburban,2016,321484,74.162048033782,3.399999999999999
Misdemeanor,suburban,2016,670102,66.27021392396858,8.89506672118573
Misdemeanor,suburban,2016,573598,82.75659771429562,7.017706303020582
Felony,small/mid,2014,625608,80.58159254418855,13.047558375212594
Felony,small/mid,2014,269804,77.882797731569,10.5
Felony,small/mid,2014,147250,52.124833997343956,15.4
Felony,small/mid,2014,677296,94.00688351967099,12.106912634948383
Felony,small/mid,2014,161070,73.92953929539296,19.0
Felony,rural,2014,14589,80.66021989526,34.36999794365617
Felony,rural,2014,203214,62.79527645664383,17.155876071530503
Felony,rural,2014,176062,88.84305101299363,16.382415853506153
Felony,rural,2014,8265,42.327586206896555,26.333333333333332
Felony,rural,2014,283090,82.68336128819632,9.956916881557103
Misdemeanor,rural,2014,308686,75.87108922547256,11.940037773012058
Misdemeanor,rural,2014,114007,59.61732842928953,13.782830878805687
Misdemeanor,rural,2014,63692,75.14055415219872,27.00985210073479
Misdemeanor,rural,2014,141861,86.06813312410486,16.54733859200203
Misdemeanor,rural,2014,56974,93.30485102387263,10.243486502615227
Misdemeanor,small/mid,2014,293155,71.88652223564492,10.420345892104859
Misdemeanor,small/mid,2014,161070,75.05973715651135,19.0
Misdemeanor,small/mid,2014,309749,81.76647708263633,13.3
Misdemeanor,small/mid,2014,653945,88.63194046937608,12.2
Misdemeanor,small/mid,2014,463109,41.33705253878931,13.626695227257514
Felony,suburban,2016,64796,79.57957957957959,5.3
Felony,suburban,2016,9233,93.02325581395348,8.1
Felony,suburban,2016,346037,72.75773308014554,3.584482584232321
Felony,suburban,2016,489822,82.2636815920398,11.7
Felony,suburban,2016,1215705,85.24289793052584,8.067147457648032
Felony,suburban,2015,23998,76.82926829268293,5.9
Felony,suburban,2015,61706,94.17808219178082,4.9
Felony,suburban,2015,633749,78.77845458247164,9.2
Felony,suburban,2015,314250,74.41558441558442,3.4
Felony,suburban,2015,1052853,88.74130965830591,10.146801595284433
Felony,small/mid,2016,284382,74.4672454617206,11.5
Felony,small/mid,2016,650808,76.19853042131449,11.00457031874224
Felony,small/mid,2016,163043,70.98056537102474,19.9
Felony,small/mid,2016,148116,48.06629834254144,15.0
Felony,small/mid,2016,695830,94.4651987379978,11.432808300878088
Felony,rural,2016,261587,67.58647809400738,10.21849021549236
Felony,rural,2016,92212,93.98771837205503,8.159926039994797
Felony,rural,2016,11490,83.0476888664715,40.87095735422106
Felony,rural,2016,160808,84.86319912743207,15.285694741555146
Felony,rural,2016,164958,68.07438071987046,20.420964124201312
Felony,small/mid,2015,599257,74.7350953629814,11.786111468034584
Felony,small/mid,2015,312505,84.71933471933471,12.3
Felony,small/mid,2015,161419,63.816091954022994,19.8
Felony,small/mid,2015,147215,48.02798982188294,14.1
Felony,small/mid,2015,685223,93.399227527583,10.924771643683881
Felony,rural,2015,131948,90.09051034343726,8.236393882438536
Felony,rural,2015,324024,67.60330965251367,15.331672962496606
Felony,rural,2015,11970,56.040100250626566,33.03077694235589
Felony,rural,2015,5586,55.55555555555556,44.3
Felony,rural,2015,212626,85.47192746385875,13.902931438300113
Felony,urban,2016,681618,61.08337116053866,14.0
Misdemeanor,suburban,2014,606839,58.298041291688726,11.2
Misdemeanor,suburban,2014,60065,93.37952270977675,4.0
Misdemeanor,suburban,2014,582505,85.31574369556236,8.32983390700509
Misdemeanor,suburban,2014,469377,98.09244314013206,12.9
Misdemeanor,suburban,2014,329473,77.8571238180696,3.857110901348517
Felony,urban,2015,663271,75.3688141923436,15.7
Felony,suburban,2014,478385,93.66992888123545,12.817147903884948
Felony,suburban,2014,305944,83.86167146974063,3.7
Felony,suburban,2014,45217,81.93549460669402,7.395632173739965
Felony,suburban,2014,60065,96.28378378378379,4.0
Felony,suburban,2014,1158648,86.82430191565807,9.818867766569312
Misdemeanor,rural,2015,207731,62.55878907816531,11.840566886983648
Misdemeanor,rural,2015,17556,67.15862198183922,36.616438824333564
Misdemeanor,rural,2015,229971,82.59735979267458,9.90467058890034
Misdemeanor,rural,2015,119567,87.5533722256502,18.232644458755342
Misdemeanor,rural,2015,112040,71.85074089876355,18.78221706533381
Misdemeanor,small/mid,2015,275584,59.74607916355489,11.3
Misdemeanor,small/mid,2015,147215,56.14385614385614,14.1
Misdemeanor,small/mid,2015,323673,37.603169362826016,12.2
Misdemeanor,small/mid,2015,161419,60.92695805221473,19.8
Misdemeanor,small/mid,2015,997728,85.10320888390635,11.355516032425673
