env_step,rew,rew_std,Agent
0,2.854,2.439,PPO
30720,261.6371,31.9544,PPO
61440,337.5775,33.1557,PPO
92160,362.9134,58.8816,PPO
122880,425.8273,60.5094,PPO
153600,553.2555,116.4205,PPO
184320,715.2234,271.9853,PPO
215040,905.6901,427.5947,PPO
245760,1126.158,465.6568,PPO
276480,1337.0027,444.4031,PPO
307200,1985.784,756.4732,PPO
337920,1939.7872,639.0395,PPO
368640,2077.5675,774.0649,PPO
399360,2344.1341,944.0267,PPO
430080,2608.1656,686.5428,PPO
460800,2552.6508,774.8729,PPO
491520,2759.0287,613.4486,PPO
522240,2954.2882,641.8847,PPO
552960,2740.7866,597.9693,PPO
583680,2758.2169,493.9706,PPO
614400,3133.3863,838.3549,PPO
645120,3025.815,441.8207,PPO
675840,3230.7174,628.2298,PPO
706560,3501.1757,661.1069,PPO
737280,3306.1529,632.7268,PPO
768000,3202.6631,575.353,PPO
798720,3125.1025,641.088,PPO
829440,2937.7286,972.9868,PPO
860160,3507.4568,1043.6589,PPO
890880,3588.5181,756.6306,PPO
921600,3286.1651,1041.8169,PPO
952320,3515.5619,1043.1778,PPO
983040,3493.7872,1024.8728,PPO
1013760,3410.2609,685.6092,PPO
1044480,3390.317,795.0583,PPO
1075200,3297.4848,847.0978,PPO
1105920,3789.9667,896.1263,PPO
1136640,3485.3889,775.1673,PPO
1167360,3766.0153,762.1712,PPO
1198080,3916.4919,637.0181,PPO
1228800,3641.0305,734.5641,PPO
1259520,3838.3772,871.0735,PPO
1290240,4149.6348,822.515,PPO
1320960,3820.7451,824.6649,PPO
1351680,3523.6159,802.2996,PPO
1382400,3594.5379,649.5449,PPO
1413120,4009.9213,861.1393,PPO
1443840,3700.4344,932.635,PPO
1474560,3810.8253,948.657,PPO
1505280,3932.9272,767.4963,PPO
1536000,3571.2177,882.525,PPO
1566720,3637.1949,878.2077,PPO
1597440,4002.2786,669.5074,PPO
1628160,3986.5518,651.4945,PPO
1658880,4073.0553,530.0421,PPO
1689600,4123.7576,836.6608,PPO
1720320,4093.6101,889.4021,PPO
1751040,4012.082,834.2345,PPO
1781760,4008.7549,1018.6348,PPO
1812480,4002.3804,935.0496,PPO
1843200,4109.2768,884.4799,PPO
1873920,3893.1839,1441.2806,PPO
1904640,3784.3364,949.5072,PPO
1935360,4191.4698,1208.749,PPO
1966080,4018.6931,904.0015,PPO
1996800,4018.0772,1023.582,PPO
2027520,3936.778,706.0211,PPO
2058240,4521.6965,844.448,PPO
2088960,4279.1014,763.1104,PPO
2119680,3928.6194,801.9427,PPO
2150400,4478.9202,910.9486,PPO
2181120,4536.146,754.0238,PPO
2211840,3723.36,1065.5419,PPO
2242560,4600.0676,843.5307,PPO
2273280,4646.8615,693.3327,PPO
2304000,4895.5572,704.2969,PPO
2334720,4682.4576,771.115,PPO
2365440,3961.3622,757.2372,PPO
2396160,4342.5382,756.5942,PPO
2426880,4406.6723,752.6507,PPO
2457600,4461.0387,660.9203,PPO
2488320,4450.4049,1070.5688,PPO
2519040,4628.4549,883.0679,PPO
2549760,4353.2668,1022.8285,PPO
2580480,4431.4896,1042.5742,PPO
2611200,4444.7746,978.6624,PPO
2641920,4753.0368,904.3219,PPO
2672640,4475.2381,716.1777,PPO
2703360,4213.8239,919.9318,PPO
2734080,4766.5872,942.6024,PPO
2764800,4714.3712,988.3013,PPO
2795520,4654.9762,985.8355,PPO
2826240,4544.4566,994.8492,PPO
2856960,4454.7327,971.1529,PPO
2887680,4622.6955,1030.6566,PPO
2918400,4118.5372,1002.9298,PPO
2949120,4404.5734,797.9952,PPO
2979840,4564.1186,614.9968,PPO
3010560,4674.4358,688.045,PPO
3041280,4624.0476,689.6915,PPO
3072000,4369.7249,694.8409,PPO
0,6.442,12.7772,TD3
5000,158.7514,149.0815,TD3
10000,328.0599,149.4269,TD3
15000,233.9062,69.258,TD3
20000,201.0709,80.6006,TD3
25000,225.3551,94.806,TD3
30000,239.5848,96.0552,TD3
35000,269.1682,32.1917,TD3
40000,320.811,73.1787,TD3
45000,343.9271,128.5434,TD3
50000,302.3467,90.5274,TD3
55000,312.8566,84.0656,TD3
60000,352.6576,106.7761,TD3
65000,326.7521,94.8082,TD3
70000,330.8671,83.0347,TD3
75000,372.7445,84.5384,TD3
80000,375.3707,115.8116,TD3
85000,400.8054,161.2748,TD3
90000,388.8271,102.1788,TD3
95000,372.0491,93.8757,TD3
100000,483.179,173.8667,TD3
105000,433.9904,230.4379,TD3
110000,399.904,146.0952,TD3
115000,429.8596,186.4218,TD3
120000,516.3706,239.1313,TD3
125000,442.9991,141.8523,TD3
130000,557.6177,265.7382,TD3
135000,469.2168,133.5503,TD3
140000,524.6685,422.1725,TD3
145000,684.2732,423.544,TD3
150000,734.8403,482.4015,TD3
155000,683.5625,305.5673,TD3
160000,611.7085,144.0629,TD3
165000,706.4468,359.9577,TD3
170000,601.0122,169.809,TD3
175000,661.1723,281.8214,TD3
180000,705.3777,239.7503,TD3
185000,794.0521,374.1933,TD3
190000,823.9824,398.4226,TD3
195000,699.2463,208.1976,TD3
200000,941.3463,364.9526,TD3
205000,1112.0146,558.3674,TD3
210000,841.7313,344.6793,TD3
215000,855.5637,342.3671,TD3
220000,1082.3426,419.8525,TD3
225000,996.6779,302.9571,TD3
230000,1110.0677,637.767,TD3
235000,986.4518,486.7762,TD3
240000,1052.8166,331.3324,TD3
245000,976.0542,311.9513,TD3
250000,1073.1536,401.591,TD3
255000,1027.4662,452.8689,TD3
260000,1255.6355,366.8668,TD3
265000,1134.7905,633.5713,TD3
270000,1350.4891,514.0592,TD3
275000,1528.3098,639.93,TD3
280000,1561.4072,624.7374,TD3
285000,1394.1363,755.478,TD3
290000,1487.8592,619.5499,TD3
295000,1613.1424,429.2336,TD3
300000,1663.4857,444.9467,TD3
305000,1694.6474,574.26,TD3
310000,1761.2344,737.9531,TD3
315000,1737.3753,690.1306,TD3
320000,1484.3802,683.9933,TD3
325000,1595.0691,803.0037,TD3
330000,2032.7374,690.3116,TD3
335000,1934.8132,666.4994,TD3
340000,1780.9275,848.6981,TD3
345000,1737.634,610.4062,TD3
350000,1773.278,800.7065,TD3
355000,1812.198,839.2482,TD3
360000,1711.6147,753.6186,TD3
365000,2240.8956,880.8569,TD3
370000,2087.6909,902.8196,TD3
375000,2304.4965,833.5611,TD3
380000,2100.6447,957.1324,TD3
385000,2058.1073,862.5639,TD3
390000,2363.7057,771.2759,TD3
395000,2455.8049,658.723,TD3
400000,2348.6439,633.6437,TD3
405000,2273.554,667.0168,TD3
410000,2291.7861,770.9224,TD3
415000,2513.2399,848.8201,TD3
420000,2208.2059,696.3375,TD3
425000,2166.119,715.4351,TD3
430000,2224.1711,731.2473,TD3
435000,1897.0515,880.6732,TD3
440000,2551.5153,701.0192,TD3
445000,2334.9395,703.5641,TD3
450000,2505.681,686.3249,TD3
455000,2355.8402,890.6842,TD3
460000,2293.5938,838.344,TD3
465000,2368.7359,830.1159,TD3
470000,2411.0592,704.3093,TD3
475000,2751.6453,705.4476,TD3
480000,2580.7633,779.1095,TD3
485000,2978.5183,727.8662,TD3
490000,2824.3097,749.4953,TD3
495000,2485.2124,769.164,TD3
500000,2854.0884,661.4938,TD3
505000,2143.0347,963.777,TD3
510000,3001.1841,742.2609,TD3
515000,2736.8395,781.8594,TD3
520000,2945.8561,707.811,TD3
525000,2805.6244,579.5327,TD3
530000,2796.7993,681.2886,TD3
535000,2951.7061,682.8467,TD3
540000,2958.4438,684.3542,TD3
545000,2872.1978,734.9229,TD3
550000,3019.7389,756.6407,TD3
555000,3024.8354,588.9253,TD3
560000,3044.8315,669.2755,TD3
565000,3151.5658,725.1738,TD3
570000,2815.677,768.4374,TD3
575000,2930.3515,882.4038,TD3
580000,3024.0144,762.7719,TD3
585000,2818.3069,702.1715,TD3
590000,3214.1448,524.9864,TD3
595000,3194.9089,602.4906,TD3
600000,3249.3552,561.4048,TD3
605000,3195.2999,553.2233,TD3
610000,3223.7284,745.6228,TD3
615000,3494.4464,460.7696,TD3
620000,3250.9882,632.032,TD3
625000,3252.4065,362.011,TD3
630000,3348.9026,541.9568,TD3
635000,3341.5474,520.4724,TD3
640000,3465.9107,470.1472,TD3
645000,3447.5678,339.6862,TD3
650000,3526.4283,392.9445,TD3
655000,3497.1426,299.4359,TD3
660000,3560.9044,274.2762,TD3
665000,3481.2923,508.8687,TD3
670000,3450.3515,474.4117,TD3
675000,3620.2938,262.9504,TD3
680000,3605.5657,327.8125,TD3
685000,3693.7608,285.3848,TD3
690000,3646.776,251.3765,TD3
695000,3634.8418,401.0298,TD3
700000,3493.2776,498.0473,TD3
705000,3558.622,311.7681,TD3
710000,3671.6434,353.3217,TD3
715000,3455.5073,537.4161,TD3
720000,3652.0814,369.6568,TD3
725000,3601.9809,502.9231,TD3
730000,3667.8053,364.6437,TD3
735000,3734.6185,379.8678,TD3
740000,3624.3996,406.5599,TD3
745000,3550.2741,567.7901,TD3
750000,3617.8669,448.0757,TD3
755000,3741.3288,326.8557,TD3
760000,3730.5887,325.761,TD3
765000,3729.6041,362.6786,TD3
770000,3711.055,378.0649,TD3
775000,3671.1828,503.9591,TD3
780000,3588.0924,560.2544,TD3
785000,3698.8766,416.8417,TD3
790000,3750.5026,394.3008,TD3
795000,3787.7582,340.0923,TD3
800000,3740.6554,441.4694,TD3
805000,3659.0503,441.8842,TD3
810000,3848.2124,338.7611,TD3
815000,3788.2873,352.9827,TD3
820000,3676.1377,447.1038,TD3
825000,3655.8464,500.1373,TD3
830000,3661.1425,474.9795,TD3
835000,3761.5947,454.3814,TD3
840000,3547.5446,649.1363,TD3
845000,3782.9667,393.4763,TD3
850000,3826.4287,434.9649,TD3
855000,3852.4662,320.955,TD3
860000,3809.3982,392.2426,TD3
865000,3922.2025,301.9907,TD3
870000,3897.4311,291.2018,TD3
875000,3854.7866,308.0508,TD3
880000,3933.806,249.8089,TD3
885000,3901.5901,312.7858,TD3
890000,3801.9979,403.794,TD3
895000,3867.7087,321.1295,TD3
900000,3822.249,238.2393,TD3
905000,3964.0144,256.6233,TD3
910000,3872.3271,358.6703,TD3
915000,3618.269,689.9244,TD3
920000,3654.5516,589.5807,TD3
925000,3726.6865,570.2878,TD3
930000,3660.1793,822.526,TD3
935000,3924.3608,309.0233,TD3
940000,3869.3083,345.4325,TD3
945000,3956.3273,279.5054,TD3
950000,3886.109,314.0698,TD3
955000,3887.0205,341.8582,TD3
960000,3709.4522,516.5253,TD3
965000,3929.1202,353.7442,TD3
970000,3911.8695,371.1694,TD3
975000,3908.5383,361.4298,TD3
980000,3859.852,417.185,TD3
985000,3982.3984,274.5322,TD3
990000,3958.8785,290.6377,TD3
995000,3963.8609,286.8225,TD3
1000000,3842.4794,542.842,TD3
1005000,3974.7944,309.055,TD3
1010000,4003.5151,263.8881,TD3
1015000,3983.979,334.1982,TD3
1020000,3935.9096,310.9028,TD3
1025000,3965.1715,260.2935,TD3
1030000,3957.0111,289.9182,TD3
1035000,3953.037,289.5479,TD3
1040000,3947.6777,317.5802,TD3
1045000,3965.4811,313.9896,TD3
1050000,3981.0784,260.7073,TD3
1055000,3969.5636,285.3478,TD3
1060000,3870.8374,380.1209,TD3
1065000,3962.4485,329.861,TD3
1070000,3966.8242,308.1006,TD3
1075000,3760.9236,612.3897,TD3
1080000,3904.4641,148.3606,TD3
1085000,4023.2404,308.8932,TD3
1090000,3983.7184,358.6709,TD3
1095000,3818.5878,671.8452,TD3
1100000,3565.3794,980.5895,TD3
1105000,3992.6244,344.5732,TD3
1110000,4021.0643,278.6346,TD3
1115000,4055.4366,245.4637,TD3
1120000,4059.6238,278.8573,TD3
1125000,4077.0175,286.7732,TD3
1130000,4045.8937,311.3991,TD3
1135000,3912.0977,395.9068,TD3
1140000,4025.0121,331.3458,TD3
1145000,3989.2987,464.5883,TD3
1150000,3997.7196,347.4466,TD3
1155000,3773.2647,761.1243,TD3
1160000,3804.4806,809.5976,TD3
1165000,3905.1056,407.3495,TD3
1170000,3871.2903,540.1013,TD3
1175000,4088.6869,261.6677,TD3
1180000,4060.7687,303.4577,TD3
1185000,3922.0452,467.9461,TD3
1190000,3998.1894,328.7816,TD3
1195000,4083.5345,278.3686,TD3
1200000,4076.6858,288.7971,TD3
1205000,3645.9029,1259.4616,TD3
1210000,4022.6485,257.4678,TD3
1215000,4099.1548,286.4948,TD3
1220000,3926.8921,500.0917,TD3
1225000,4029.5039,379.5839,TD3
1230000,4072.0896,319.4776,TD3
1235000,4008.971,424.1579,TD3
1240000,4100.0992,353.1118,TD3
1245000,4101.0508,312.8775,TD3
1250000,3763.9407,947.9912,TD3
0,4.5535,2.0756,REINFORCE
30720,13.6527,5.6565,REINFORCE
61440,110.1682,59.6794,REINFORCE
92160,223.5316,29.8609,REINFORCE
122880,200.5065,39.9608,REINFORCE
153600,187.5621,34.827,REINFORCE
184320,235.2624,32.9012,REINFORCE
215040,239.778,33.4927,REINFORCE
245760,247.0896,29.8488,REINFORCE
276480,258.3275,29.6617,REINFORCE
307200,266.5922,30.4123,REINFORCE
337920,295.2816,50.3467,REINFORCE
368640,292.9666,42.0559,REINFORCE
399360,299.5063,38.3164,REINFORCE
430080,271.3942,46.1242,REINFORCE
460800,296.9937,54.9201,REINFORCE
491520,284.61,59.2053,REINFORCE
522240,323.922,54.241,REINFORCE
552960,325.3197,57.678,REINFORCE
583680,309.106,53.6707,REINFORCE
614400,340.3094,54.4306,REINFORCE
645120,322.4308,66.5441,REINFORCE
675840,359.9286,46.8059,REINFORCE
706560,355.6872,60.0439,REINFORCE
737280,354.6147,39.4527,REINFORCE
768000,342.5682,35.7644,REINFORCE
798720,385.1629,48.8126,REINFORCE
829440,391.1747,44.5626,REINFORCE
860160,346.6364,65.094,REINFORCE
890880,353.0954,69.2847,REINFORCE
921600,346.909,62.2388,REINFORCE
952320,367.5316,60.5551,REINFORCE
983040,354.1843,63.154,REINFORCE
1013760,343.4204,55.6947,REINFORCE
1044480,354.1547,97.6597,REINFORCE
1075200,403.1631,76.9285,REINFORCE
1105920,381.1449,80.7015,REINFORCE
1136640,372.1611,84.8949,REINFORCE
1167360,339.0372,72.4904,REINFORCE
1198080,357.2748,57.2974,REINFORCE
1228800,355.9174,80.0236,REINFORCE
1259520,353.4319,64.1911,REINFORCE
1290240,373.0621,92.4906,REINFORCE
1320960,341.2523,77.9283,REINFORCE
1351680,348.859,60.7955,REINFORCE
1382400,355.2645,77.5044,REINFORCE
1413120,356.7775,88.4894,REINFORCE
1443840,329.7672,67.3729,REINFORCE
1474560,335.196,94.2459,REINFORCE
1505280,356.1628,75.7139,REINFORCE
1536000,352.1588,71.9885,REINFORCE
1566720,361.1192,62.3489,REINFORCE
1597440,352.0869,69.1096,REINFORCE
1628160,344.9398,61.5555,REINFORCE
1658880,371.1304,78.2817,REINFORCE
1689600,356.5322,118.4185,REINFORCE
1720320,370.873,86.1696,REINFORCE
1751040,361.6152,85.3641,REINFORCE
1781760,366.3599,82.2322,REINFORCE
1812480,367.3329,80.3721,REINFORCE
1843200,362.9224,86.4875,REINFORCE
1873920,388.4115,80.8852,REINFORCE
1904640,352.6121,89.2546,REINFORCE
1935360,354.0444,105.3851,REINFORCE
1966080,371.3243,87.666,REINFORCE
1996800,365.3113,103.0233,REINFORCE
2027520,355.7672,90.9894,REINFORCE
2058240,338.4174,87.8862,REINFORCE
2088960,362.839,92.0007,REINFORCE
2119680,368.269,102.4378,REINFORCE
2150400,373.8035,87.1727,REINFORCE
2181120,361.1823,78.0693,REINFORCE
2211840,367.1892,102.8876,REINFORCE
2242560,365.9658,81.4782,REINFORCE
2273280,360.6872,114.0468,REINFORCE
2304000,365.9783,122.2242,REINFORCE
2334720,379.9675,81.0374,REINFORCE
2365440,345.6967,87.0767,REINFORCE
2396160,366.1253,105.243,REINFORCE
2426880,352.4197,74.3958,REINFORCE
2457600,380.5138,77.7426,REINFORCE
2488320,367.3545,109.7126,REINFORCE
2519040,369.4047,88.9617,REINFORCE
2549760,355.9494,84.9406,REINFORCE
2580480,361.6388,77.2025,REINFORCE
2611200,385.6433,56.6485,REINFORCE
2641920,383.2675,59.8544,REINFORCE
2672640,383.3281,53.5628,REINFORCE
2703360,380.186,51.4936,REINFORCE
