Word,Frequency
abscissa,17
acceleration,52
accordance,1
according,9
account,2
accumulated,1
across,12
add,3
advisable,1
age,2
aggregate,15
agree,1
aimed,1
along,19
also,6
altogether,1
always,2
amount,5
analyze,1
annual,2
appears,9
apply,3
appreciated,1
appropriate,1
area,2
arithmetic,1
around,1
arrange,5
arranged,12
ascending,1
ascertain,1
assigning,1
attention,1
audience,1
automobile,3
automotive,1
average,154
avg,2
ax,3
axis,63
balance,1
bar,277
base,1
based,24
basic,4
basis,1
believe,3
beneficial,14
best,11
better,1
bit,9
bottom,34
break,1
brilliant,1
broken,2
budget,71
calculate,1
california,12
car,48
cartesian,2
cash,1
categorical,8
categorize,1
categorized,13
category,37
central,3
certain,1
change,10
changed,1
changing,2
chart,475
check,2
choice,1
chosen,1
chromatic,1
classification,3
classified,2
clear,4
clearly,5
coding,3
coefficient,1
color,107
colorado,12
colored,12
coloring,3
column,54
columnar,1
combined,1
combustion,1
come,8
common,1
company,3
compare,3
compared,1
comparing,1
comparison,1
complex,2
component,4
conclusion,1
confirm,1
consider,9
considered,1
considering,2
consists,1
construct,60
constructed,3
contain,1
content,20
contingent,1
cool,6
coordinate,2
correlated,1
correlation,9
corresponding,2
corresponds,1
cost,6
could,62
count,119
counting,4
country,17
create,89
created,5
creating,4
creative,15
cumulative,6
curious,2
customer,22
cylinder,60
data,74
date,42
decreasing,1
delineated,1
delineates,9
delineating,3
delivered,2
demographic,1
denoted,1
denotes,1
dependent,10
depending,7
depict,2
depicted,3
depicting,5
depiction,1
depth,1
derived,1
descending,21
describe,1
designated,7
designating,2
designed,1
determine,3
determined,1
develop,6
diagram,12
diagrammatic,1
difference,2
different,71
differentiate,12
differentiated,11
differentiation,8
differently,1
direct,1
directly,1
discus,1
discussing,1
displacement,24
display,25
displayed,1
displaying,1
distinct,3
distinguish,3
distinguished,3
distribution,6
divided,2
dot,24
dough,2
draw,20
earnings,20
east,3
economic,1
economy,1
effective,2
efficiency,2
efficient,1
element,2
elucidate,1
encompass,1
engine,6
enumerate,1
enumerating,2
enumeration,4
especially,1
exact,5
examine,3
expected,1
expenditure,1
explicitly,9
fabricate,5
factor,1
factual,1
far,1
fascinating,1
fast,4
feel,22
field,7
figure,3
film,12
financial,2
find,1
fluctuate,2
focus,2
forecast,20
forecasted,1
forget,1
format,7
formulate,2
frequency,9
fuel,3
function,1
gain,2
gallon,42
gas,5
generate,37
genre,86
geographical,1
get,3
global,12
globally,3
go,4
going,32
good,34
got,4
gradient,1
graph,173
graphical,8
gross,83
group,6
grouped,6
guess,1
happens,1
heavy,3
height,5
help,2
helpful,1
highest,4
horizontal,63
horsepower,52
huge,1
hunch,1
idea,17
identify,1
illustrate,1
illustrates,7
illustrating,13
imagine,4
imdb,12
implement,3
includes,1
income,4
incorporate,1
increase,5
independent,10
indiana,12
indicate,3
indicated,1
indicates,1
indicating,4
individual,3
industry,1
influenced,2
influencing,1
inform,1
informative,3
instantiate,1
interesting,18
internal,1
interpret,1
item,8
journey,1
kind,6
kindly,3
know,22
knowing,1
label,6
labeled,7
least,5
left,4
let,13
like,28
line,177
linear,2
linked,1
list,6
listed,2
look,24
looking,6
lot,1
lowest,4
made,16
main,10
major,20
make,117
making,15
manufacture,1
many,27
map,1
margin,1
may,2
maybe,26
mean,51
measurement,3
method,17
meticulously,1
michigan,12
might,26
mile,19
mileage,1
monetary,1
money,20
month,2
move,1
movement,1
movie,29
mpg,21
much,15
must,8
need,19
neither,1
new,12
noteworthy,1
noticeable,1
number,63
numerical,1
observe,1
occurs,1
one,18
opinion,9
order,60
ordinate,17
organized,4
origin,72
others,1
parameter,3
particularly,2
path,1
pattern,2
people,1
per,47
performance,2
performed,1
perhaps,4
period,1
personally,2
picture,6
place,7
placing,1
please,34
plot,28
plotted,11
point,131
positioning,1
posse,3
possible,1
possibly,7
potentially,1
power,3
predicted,2
prediction,2
predominant,1
present,5
presented,3
pretty,3
primary,1
probably,1
produce,3
producing,1
product,24
production,38
profit,94
profitable,1
progression,1
projected,1
provenance,2
provide,9
provides,4
put,21
quantified,1
quantifying,1
quantitative,2
quantity,38
question,1
quickly,1
quite,4
ranked,1
rate,2
rating,99
really,23
recommended,1
record,47
refer,1
reference,4
region,20
regional,1
relate,4
related,2
relation,2
relationship,10
release,14
relevant,1
render,1
represent,34
representation,29
represented,39
representing,10
represents,29
request,3
requested,6
respective,3
revenue,6
right,7
rise,1
rotten,12
route,1
sale,75
saying,1
scatter,12
scheme,1
see,18
seems,27
segment,17
segmented,1
segregated,2
sell,4
send,1
separate,1
sequence,1
series,1
ship,3
shipment,5
shipping,20
show,56
showing,47
shown,4
side,35
significant,1
signifies,1
signifying,1
simple,19
situation,1
size,3
slap,2
somehow,1
something,6
somewhere,2
sort,4
sorted,4
south,3
specific,2
specifically,2
speed,10
spend,1
spent,5
split,1
spread,1
stack,2
start,2
state,10
statistic,1
status,18
story,1
stratified,3
stuff,11
suggest,9
suggested,5
suggesting,1
suggestion,1
suitable,1
sum,47
summation,7
sure,5
system,2
systematically,1
take,4
taking,2
talk,2
tally,2
tell,10
temporal,2
term,4
thing,5
thingy,4
think,45
though,1
thought,2
time,42
timeline,3
titled,3
together,12
tomato,32
top,3
total,56
touch,1
travel,1
treasure,1
trend,2
trick,1
try,4
trying,3
two,3
type,83
typical,3
unclear,1
understand,2
unique,5
upon,1
use,43
used,1
useful,3
using,10
usual,2
usually,2
utilizing,1
value,8
variable,39
variation,2
varies,1
variety,2
various,3
vary,2
vehicle,5
versus,4
vertical,63
visual,17
visualization,3
visualize,18
visualizes,1
visually,1
want,2
way,19
weighs,1
weight,59
west,3
whether,1
whip,16
wonder,1
wondering,2
work,2
world,4
worldwide,24
would,54
ya,3
year,78
york,23
