Word,Frequency
abscissa,1
accelaration,2
acceleration,80
accelration,1
across,24
add,6
affect,1
alphabetical,1
alphabetically,1
american,1
amount,7
arrange,1
asc,9
ascending,2
associated,2
average,137
averaged,1
avg,32
avgerage,1
ax,11
axis,24
bar,98
barchart,2
bart,1
based,14
behave,1
best,6
bin,6
binned,3
blue,1
boring,1
break,2
breakdown,3
broken,13
bucket,7
budge,1
budget,82
calculate,1
car,66
categorization,1
categorized,4
category,28
change,7
changed,3
chart,138
chat,1
circle,1
class,4
cluster,8
clustered,1
code,2
coded,2
color,27
colored,22
coloring,2
column,17
company,1
compare,9
compared,2
comparison,1
connects,1
content,48
correlate,2
correlation,7
count,95
country,41
county,1
coutnry,1
creare,1
create,42
creative,41
cumulative,2
customer,1
cyclinders,2
cylinder,83
cyliners,1
cylinfers,1
daily,1
data,2
dataset,2
date,32
day,2
dec,1
december,1
decreasing,1
depicting,1
descending,6
different,34
diiferent,1
displacement,24
display,3
displayed,1
distinct,1
distinguished,1
distnighish,1
distribution,28
divide,1
divided,2
dot,1
draw,15
dual,1
earn,2
earned,2
earnings,1
economy,2
element,1
engine,1
entity,1
europe,5
evolve,1
evolved,1
facet,3
faceting,2
fewest,1
film,4
filtered,2
first,3
forecast,20
forecasted,1
four,1
frequency,2
fuel,2
furniture,5
gallaon,1
gallon,1
general,1
genre,87
genrea,1
get,1
give,14
gotten,1
graph,22
gridlines,1
gross,105
group,12
groupby,2
grouped,18
growth,2
heavy,1
height,1
help,1
high,1
higher,2
highest,9
histogram,32
horespower,2
horse,4
horsepower,47
identical,1
idetnify,1
imbd,2
imdb,26
include,1
income,1
increment,1
indicates,1
individual,6
interval,2
item,5
jan,3
january,1
japan,4
july,1
know,1
label,2
legend,6
length,3
lighter,1
line,41
linegraph,1
long,3
low,1
lower,2
lowest,4
made,1
major,43
make,11
manufacture,1
manufactured,1
many,18
margin,1
mark,1
max,1
mean,5
mgp,1
mile,2
mileage,3
min,1
minute,5
mode,18
model,36
money,1
month,2
monthly,1
move,1
movie,74
mpg,49
much,9
multiple,16
nearest,1
number,41
october,1
office,5
one,9
orange,1
order,70
ordered,4
ordinate,1
orgin,2
origin,111
originate,1
orign,1
outlier,1
pair,2
parameterize,1
partitioned,1
per,21
period,1
placed,4
please,5
plot,112
poduction,1
point,4
power,4
present,1
prod,1
produced,2
product,12
production,68
profit,123
profitability,3
proper,1
proudced,1
quanitity,1
quantity,18
range,1
rated,1
rating,114
ratio,2
receipt,1
red,1
regarding,3
region,66
relate,5
related,6
relation,4
relationship,14
release,15
render,16
represent,2
representing,1
represents,2
revenue,7
rotten,28
rotting,1
rounded,1
row,3
rowcount,1
run,1
running,22
runtimes,1
sale,113
scale,1
scatter,57
scatterplot,39
scatterplots,3
second,1
see,3
segement,2
segment,17
segmented,1
segregate,2
select,2
semi,1
separate,5
separated,7
separately,3
series,7
set,1
ship,30
shipping,4
show,203
showing,14
shown,1
simple,4
single,2
size,2
slice,1
small,10
sold,1
sort,4
sorted,4
specific,2
split,16
splots,1
spread,1
stack,4
stacked,27
standard,1
state,26
status,15
sub,3
subcategory,3
sum,42
summed,1
summing,1
supply,5
table,2
technology,5
time,58
timeline,3
title,3
together,1
tomato,29
total,40
transport,1
trend,7
trended,2
type,48
usa,5
use,3
using,2
variation,1
varies,5
various,3
vary,5
vehicle,2
versus,16
vertical,4
visualization,1
visualize,8
want,3
weigh,1
weight,91
whole,1
width,2
wight,1
within,1
woldwide,1
wordwide,2
world,1
worldwide,72
ww,7
xy,1
xyplot,2
year,67
yearly,2
zone,1
