index,level,interaction,composite
0,extracomplex,TRUE,TRUE
1,extracomplex,TRUE,TRUE
2,extracomplex,TRUE,TRUE
3,extracomplex,FALSE,TRUE
4,extracomplex,TRUE,TRUE
5,extracomplex,TRUE,FALSE
6,extracomplex,FALSE,TRUE
7,extracomplex,TRUE,TRUE
8,extracomplex,TRUE,TRUE
9,extracomplex,TRUE,TRUE
10,extracomplex,TRUE,TRUE
11,medium,TRUE,FALSE
12,medium,FALSE,FALSE
13,extracomplex,FALSE,FALSE
14,complex,FALSE,FALSE
15,extracomplex,TRUE,TRUE
16,extracomplex,TRUE,TRUE
17,simple,FALSE,FALSE
18,extracomplex,FALSE,TRUE
19,medium,TRUE,FALSE
20,extracomplex,TRUE,TRUE
21,extracomplex,FALSE,TRUE
22,complex,TRUE,TRUE
23,extracomplex,TRUE,TRUE
24,complex,TRUE,TRUE
25,extracomplex,FALSE,TRUE
26,extracomplex,FALSE,TRUE
27,extracomplex,TRUE,TRUE
28,simple,FALSE,FALSE
29,complex,TRUE,TRUE
30,complex,FALSE,FALSE
31,extracomplex,FALSE,FALSE
32,medium,TRUE,FALSE
33,extracomplex,FALSE,TRUE
34,medium,TRUE,FALSE
35,complex,TRUE,FALSE
36,complex,FALSE,TRUE
37,simple,FALSE,FALSE
38,extracomplex,TRUE,TRUE
39,extracomplex,FALSE,TRUE
40,extracomplex,TRUE,TRUE
41,extracomplex,TRUE,TRUE
42,extracomplex,FALSE,FALSE
43,complex,FALSE,FALSE
44,extracomplex,FALSE,TRUE
45,extracomplex,FALSE,FALSE
46,medium,FALSE,FALSE
47,simple,TRUE,FALSE
48,extracomplex,FALSE,TRUE
49,complex,TRUE,TRUE
50,extracomplex,TRUE,FALSE
51,extracomplex,TRUE,TRUE
52,medium,FALSE,FALSE
53,medium,FALSE,FALSE
54,extracomplex,TRUE,TRUE
55,extracomplex,TRUE,FALSE
56,extracomplex,FALSE,TRUE
57,extracomplex,TRUE,TRUE
58,complex,TRUE,FALSE
59,extracomplex,TRUE,FALSE
60,extracomplex,TRUE,TRUE
61,complex,TRUE,FALSE
62,medium,TRUE,FALSE
63,complex,TRUE,FALSE
64,medium,TRUE,FALSE
65,complex,TRUE,FALSE
66,extracomplex,TRUE,TRUE
67,extracomplex,FALSE,TRUE
68,complex,FALSE,TRUE
69,complex,TRUE,FALSE
70,extracomplex,TRUE,TRUE
71,extracomplex,TRUE,FALSE
72,extracomplex,TRUE,TRUE
73,complex,TRUE,FALSE
74,extracomplex,FALSE,TRUE
75,complex,TRUE,FALSE
76,extracomplex,FALSE,TRUE
77,complex,TRUE,TRUE
78,extracomplex,TRUE,TRUE
79,extracomplex,TRUE,TRUE
80,complex,TRUE,TRUE
81,extracomplex,TRUE,TRUE
82,extracomplex,FALSE,TRUE
83,extracomplex,TRUE,TRUE
84,complex,FALSE,FALSE
85,extracomplex,TRUE,FALSE
86,extracomplex,TRUE,TRUE
87,extracomplex,FALSE,TRUE
88,extracomplex,FALSE,TRUE
89,extracomplex,TRUE,TRUE
90,medium,FALSE,FALSE
91,complex,FALSE,FALSE
92,medium,FALSE,TRUE
93,medium,TRUE,FALSE
94,extracomplex,TRUE,TRUE
95,complex,TRUE,TRUE
96,complex,TRUE,FALSE
97,complex,FALSE,FALSE
98,complex,FALSE,FALSE
99,extracomplex,TRUE,FALSE
100,extracomplex,TRUE,TRUE
101,complex,TRUE,FALSE
102,extracomplex,FALSE,TRUE
103,extracomplex,FALSE,FALSE
104,complex,TRUE,FALSE
105,extracomplex,FALSE,TRUE
106,extracomplex,FALSE,TRUE
107,extracomplex,TRUE,FALSE
108,medium,TRUE,FALSE
109,complex,FALSE,TRUE
110,extracomplex,TRUE,TRUE
111,extracomplex,TRUE,FALSE
112,complex,TRUE,FALSE
113,complex,FALSE,FALSE
114,extracomplex,FALSE,TRUE
115,extracomplex,FALSE,TRUE
116,complex,TRUE,FALSE
117,complex,FALSE,FALSE
118,extracomplex,TRUE,FALSE
119,complex,FALSE,FALSE
120,complex,TRUE,TRUE
121,extracomplex,TRUE,TRUE
122,complex,TRUE,FALSE
123,complex,TRUE,FALSE
124,extracomplex,TRUE,TRUE
125,extracomplex,TRUE,TRUE
126,complex,TRUE,FALSE
127,extracomplex,TRUE,TRUE
128,extracomplex,TRUE,TRUE
129,extracomplex,TRUE,TRUE
130,extracomplex,TRUE,TRUE
131,extracomplex,TRUE,TRUE
132,complex,TRUE,FALSE
133,complex,FALSE,TRUE
134,extracomplex,TRUE,TRUE
135,complex,TRUE,FALSE
136,extracomplex,TRUE,FALSE
137,extracomplex,FALSE,FALSE
138,complex,TRUE,FALSE
139,extracomplex,TRUE,TRUE
140,medium,TRUE,FALSE
141,complex,TRUE,FALSE
142,extracomplex,FALSE,TRUE
143,complex,FALSE,FALSE
144,extracomplex,TRUE,FALSE
145,extracomplex,TRUE,FALSE
146,complex,TRUE,TRUE
147,extracomplex,TRUE,TRUE
148,extracomplex,FALSE,TRUE
149,complex,FALSE,TRUE
150,complex,TRUE,FALSE
151,complex,FALSE,FALSE
152,extracomplex,TRUE,FALSE
153,extracomplex,TRUE,FALSE
154,complex,TRUE,FALSE
155,extracomplex,FALSE,TRUE
156,extracomplex,TRUE,TRUE
157,complex,TRUE,FALSE
158,extracomplex,FALSE,TRUE
159,extracomplex,FALSE,TRUE
160,medium,FALSE,FALSE
161,extracomplex,FALSE,TRUE
162,extracomplex,TRUE,TRUE
163,complex,TRUE,FALSE
164,extracomplex,FALSE,TRUE
165,extracomplex,TRUE,TRUE
166,extracomplex,TRUE,TRUE
167,extracomplex,TRUE,TRUE
168,extracomplex,FALSE,TRUE
169,extracomplex,TRUE,TRUE
170,complex,TRUE,TRUE
171,extracomplex,TRUE,TRUE
172,extracomplex,FALSE,TRUE
173,extracomplex,FALSE,TRUE
174,extracomplex,FALSE,TRUE
175,extracomplex,TRUE,TRUE
176,extracomplex,TRUE,TRUE
177,simple,FALSE,FALSE
178,extracomplex,FALSE,TRUE
179,extracomplex,FALSE,FALSE
180,extracomplex,TRUE,TRUE
181,extracomplex,TRUE,FALSE
182,complex,TRUE,FALSE
183,extracomplex,TRUE,FALSE
184,complex,TRUE,FALSE
185,extracomplex,TRUE,TRUE
186,complex,TRUE,FALSE
187,extracomplex,TRUE,TRUE
188,extracomplex,TRUE,TRUE
189,complex,TRUE,FALSE
190,complex,FALSE,FALSE
191,extracomplex,FALSE,FALSE
192,extracomplex,FALSE,TRUE
193,extracomplex,TRUE,FALSE
194,complex,TRUE,FALSE
195,medium,TRUE,FALSE
196,extracomplex,FALSE,TRUE
197,complex,TRUE,FALSE
198,complex,FALSE,FALSE
199,extracomplex,TRUE,FALSE
200,medium,TRUE,FALSE
201,extracomplex,TRUE,FALSE
202,medium,TRUE,FALSE
203,extracomplex,TRUE,FALSE
204,extracomplex,TRUE,TRUE
205,extracomplex,FALSE,TRUE
206,extracomplex,FALSE,TRUE
207,complex,FALSE,TRUE
208,medium,TRUE,FALSE
209,extracomplex,TRUE,FALSE
210,complex,FALSE,TRUE
211,extracomplex,TRUE,TRUE
212,extracomplex,FALSE,TRUE
213,extracomplex,TRUE,FALSE
214,extracomplex,TRUE,FALSE
215,extracomplex,TRUE,TRUE
216,extracomplex,TRUE,FALSE
217,complex,TRUE,FALSE
218,complex,TRUE,FALSE
219,complex,FALSE,FALSE
220,complex,FALSE,FALSE
221,complex,FALSE,FALSE
222,extracomplex,TRUE,TRUE
223,extracomplex,TRUE,TRUE
224,extracomplex,TRUE,TRUE
225,extracomplex,TRUE,TRUE
226,complex,TRUE,FALSE
227,extracomplex,TRUE,TRUE
228,simple,TRUE,FALSE
229,complex,TRUE,FALSE
230,complex,TRUE,FALSE
231,extracomplex,TRUE,FALSE
232,extracomplex,TRUE,FALSE
233,complex,TRUE,FALSE
234,complex,TRUE,FALSE
235,medium,FALSE,FALSE
236,extracomplex,TRUE,FALSE
237,extracomplex,TRUE,FALSE
238,extracomplex,TRUE,FALSE
239,extracomplex,TRUE,FALSE
240,complex,TRUE,FALSE
241,complex,TRUE,FALSE
242,complex,TRUE,FALSE
243,complex,FALSE,FALSE
244,complex,FALSE,FALSE
245,complex,TRUE,FALSE
246,extracomplex,TRUE,FALSE
247,extracomplex,TRUE,FALSE
248,complex,FALSE,FALSE
249,complex,FALSE,FALSE
250,extracomplex,TRUE,FALSE
251,complex,TRUE,FALSE
252,complex,TRUE,FALSE
253,complex,TRUE,FALSE
254,extracomplex,TRUE,FALSE
255,extracomplex,TRUE,FALSE
256,extracomplex,TRUE,TRUE
257,extracomplex,TRUE,FALSE
258,complex,FALSE,FALSE
259,complex,TRUE,TRUE
260,complex,FALSE,FALSE
261,complex,TRUE,FALSE
262,medium,FALSE,FALSE
263,extracomplex,TRUE,TRUE
264,extracomplex,TRUE,TRUE
265,medium,FALSE,FALSE
266,simple,TRUE,FALSE
267,medium,TRUE,FALSE
268,complex,TRUE,FALSE
269,extracomplex,TRUE,TRUE
270,extracomplex,TRUE,TRUE
271,extracomplex,TRUE,TRUE
272,extracomplex,TRUE,TRUE
273,extracomplex,TRUE,TRUE
274,extracomplex,TRUE,TRUE
275,extracomplex,TRUE,TRUE
276,extracomplex,TRUE,TRUE
277,extracomplex,TRUE,TRUE
278,extracomplex,TRUE,FALSE
279,extracomplex,TRUE,TRUE
280,extracomplex,TRUE,TRUE
281,extracomplex,TRUE,TRUE
282,complex,TRUE,TRUE
283,medium,FALSE,FALSE
284,extracomplex,TRUE,FALSE
285,extracomplex,TRUE,FALSE
286,extracomplex,TRUE,FALSE
287,complex,FALSE,FALSE
288,extracomplex,TRUE,TRUE
289,extracomplex,TRUE,TRUE
290,extracomplex,TRUE,TRUE
291,extracomplex,TRUE,FALSE
292,complex,FALSE,FALSE
293,complex,FALSE,FALSE
294,complex,FALSE,FALSE
295,complex,FALSE,FALSE
296,complex,FALSE,FALSE
297,complex,FALSE,FALSE
298,simple,FALSE,FALSE
299,medium,FALSE,FALSE
300,complex,FALSE,FALSE
301,medium,FALSE,FALSE
302,medium,FALSE,FALSE
303,extracomplex,TRUE,FALSE
304,complex,FALSE,FALSE
305,extracomplex,TRUE,TRUE
306,complex,TRUE,FALSE
307,complex,FALSE,FALSE
308,complex,FALSE,FALSE
309,complex,FALSE,FALSE
310,extracomplex,TRUE,TRUE
311,extracomplex,TRUE,TRUE
312,complex,FALSE,FALSE
313,extracomplex,FALSE,TRUE
314,complex,FALSE,FALSE
315,complex,FALSE,FALSE
316,complex,FALSE,FALSE
317,complex,FALSE,FALSE
318,complex,FALSE,FALSE
319,complex,FALSE,FALSE
320,complex,FALSE,FALSE
321,complex,FALSE,FALSE
322,complex,FALSE,FALSE
323,complex,FALSE,FALSE
324,extracomplex,TRUE,TRUE
325,extracomplex,TRUE,TRUE
326,complex,FALSE,FALSE
327,complex,FALSE,FALSE
328,complex,TRUE,FALSE
329,complex,FALSE,FALSE
330,complex,FALSE,FALSE
331,complex,TRUE,FALSE
332,complex,FALSE,FALSE
333,extracomplex,TRUE,FALSE
334,extracomplex,TRUE,FALSE
335,simple,FALSE,FALSE
336,medium,FALSE,FALSE
337,complex,FALSE,FALSE
338,complex,FALSE,FALSE
339,complex,FALSE,FALSE
340,complex,FALSE,FALSE
341,complex,FALSE,FALSE
342,extracomplex,TRUE,TRUE
343,complex,FALSE,FALSE
344,extracomplex,TRUE,FALSE
345,extracomplex,TRUE,FALSE
346,extracomplex,TRUE,FALSE
347,extracomplex,FALSE,TRUE
348,extracomplex,TRUE,TRUE
349,extracomplex,TRUE,TRUE
350,extracomplex,FALSE,FALSE
351,extracomplex,TRUE,TRUE
352,extracomplex,FALSE,TRUE
353,extracomplex,TRUE,TRUE
354,extracomplex,TRUE,TRUE
355,extracomplex,TRUE,TRUE
356,extracomplex,TRUE,TRUE
357,extracomplex,TRUE,TRUE
358,extracomplex,TRUE,FALSE
359,extracomplex,FALSE,FALSE
360,complex,FALSE,FALSE
361,complex,FALSE,FALSE
362,complex,FALSE,FALSE
363,complex,FALSE,FALSE
364,complex,FALSE,FALSE
365,complex,FALSE,FALSE
366,extracomplex,TRUE,FALSE
367,extracomplex,TRUE,FALSE
368,complex,FALSE,FALSE
369,complex,FALSE,FALSE
370,extracomplex,TRUE,FALSE
371,extracomplex,FALSE,FALSE
372,extracomplex,FALSE,TRUE
373,complex,FALSE,TRUE
374,extracomplex,TRUE,TRUE
375,extracomplex,TRUE,TRUE
376,extracomplex,TRUE,TRUE
377,complex,FALSE,FALSE
378,complex,FALSE,FALSE
379,extracomplex,TRUE,TRUE
380,extracomplex,TRUE,TRUE
381,extracomplex,TRUE,TRUE
382,extracomplex,TRUE,TRUE
383,extracomplex,TRUE,TRUE
384,extracomplex,FALSE,TRUE
385,complex,FALSE,TRUE
386,extracomplex,TRUE,TRUE
387,extracomplex,FALSE,TRUE
388,complex,FALSE,FALSE
389,extracomplex,FALSE,TRUE
390,extracomplex,FALSE,TRUE
391,complex,FALSE,TRUE
392,complex,FALSE,FALSE
393,complex,FALSE,FALSE
394,extracomplex,FALSE,FALSE
395,extracomplex,FALSE,TRUE
396,complex,FALSE,FALSE
397,complex,FALSE,FALSE
398,extracomplex,TRUE,TRUE
399,extracomplex,FALSE,TRUE
400,extracomplex,FALSE,FALSE
401,extracomplex,FALSE,FALSE
402,extracomplex,FALSE,TRUE
403,extracomplex,FALSE,TRUE
404,extracomplex,FALSE,TRUE
405,extracomplex,FALSE,TRUE
406,extracomplex,FALSE,FALSE
407,extracomplex,FALSE,FALSE
408,extracomplex,FALSE,TRUE
409,extracomplex,FALSE,TRUE
410,extracomplex,FALSE,TRUE
411,complex,FALSE,FALSE
412,extracomplex,FALSE,TRUE
413,extracomplex,FALSE,TRUE
414,extracomplex,FALSE,TRUE
415,complex,FALSE,FALSE
416,extracomplex,FALSE,FALSE
417,extracomplex,TRUE,TRUE
418,extracomplex,TRUE,FALSE
419,extracomplex,FALSE,FALSE
420,extracomplex,TRUE,FALSE
421,extracomplex,TRUE,FALSE
422,extracomplex,TRUE,FALSE
423,extracomplex,TRUE,FALSE
424,extracomplex,TRUE,FALSE
425,extracomplex,TRUE,FALSE
426,complex,FALSE,FALSE
427,extracomplex,TRUE,FALSE
428,extracomplex,TRUE,FALSE
429,extracomplex,TRUE,FALSE
430,complex,TRUE,FALSE
431,extracomplex,FALSE,TRUE
432,extracomplex,FALSE,TRUE
433,extracomplex,FALSE,TRUE
434,extracomplex,FALSE,TRUE
