dataset,visId,commands,count,Sequence_Length,Phrasing_Type
Cars,groupedBar,plot separately cylinders by average acceleration,1,2,command
Cars,groupedBar,color by origin,1,2,command
Superstore,scatterColor,show profit vs sales as scatter plot,1,2,command
Superstore,scatterColor,use a different color for each region,1,2,command
Cars,stackedBar,Show cylinders by COUNT(Model) in a bar chart,1,2,command
Cars,stackedBar,Add origin to legend,1,2,command
Superstore,groupedBar,Create Bar chart,1,5,command
Superstore,groupedBar,X axis is Ship Mode,1,5,command
Superstore,groupedBar,Y axis is AVG(Profit),1,5,command
Superstore,groupedBar,"Separate by First Class, Same Day, Second Class, Standard Class",1,5,command
Superstore,groupedBar,Color by Segment,1,5,command
Movies,scatter,show me a scatterplot,1,3,command
Movies,scatter,show me rating,1,3,command
Movies,scatter,show me rotten tomatoes rating,1,3,command
Movies,bar,show me bars,1,3,command
Movies,bar,show me major genre,1,3,command
Movies,bar,show me average of worldwide gross,1,3,command
Superstore,histogram,Create Bar Chart,1,3,command
Superstore,histogram,X-axis is Order Quanitity,1,3,command
Superstore,histogram,Y-Axis is COUNT,1,3,command
Superstore,scatter,Create Scatterplot,1,3,command
Superstore,scatter,X-axis is Profit,1,3,command
Superstore,scatter,Y-axis is Sales,1,3,command
Superstore,multiLine,Create line graph,1,3,command
Superstore,multiLine,Axes are Order Date and SUM(Sales),1,3,command
Superstore,multiLine,Color by category,1,3,command
Superstore,scatterColor,Create scatterplot,1,3,command
Superstore,scatterColor,Axes are sales and profit,1,3,command
Superstore,scatterColor,color by region,1,3,command
Superstore,singleAttrBar,create bar graph,1,3,command
Superstore,singleAttrBar,axes are sub-category and count,1,3,command
Superstore,singleAttrBar,order by descending,1,3,command
Superstore,stackedBar,create stacked bar chart,1,3,command
Superstore,stackedBar,axes are region and SUM(Profit),1,3,command
Superstore,stackedBar,color by ship status,1,3,command
Superstore,scatterFaceted,create scatterplot,1,3,command
Superstore,scatterFaceted,axes are sales and profit,1,3,command
Superstore,scatterFaceted,separate by region // or // dual x axis region,1,3,command
Cars,groupedBar,Show Cylinders and AVG(Acceleration) in bar chart,1,3,command
Cars,groupedBar,Add Cylinders to groups,1,3,command
Cars,groupedBar,Add Origin to legend,1,3,command
Movies,histogram,draw bars,1,2,command
Movies,histogram,show me running time,1,2,command
Movies,singleAttrBar,show me bars,1,2,command
Movies,singleAttrBar,show me creative type,1,2,command
Movies,scatter,Make a simple scatter plot of Rotten Tomatoes Rating versus IMDB Rating.,1,2,command
Movies,scatter,Use only major gridlines.,1,2,command
Superstore,line,Create line graph,1,2,command
Superstore,line,Axes are Order Date and SUM(Sales Forecast),1,2,command
Superstore,scatterFaceted,Show me the sales versus profit for each region,1,2,command
Superstore,scatterFaceted,Divide the data into 4 graphs,1,2,command
Superstore,stackedBar,Show me a bar graph of the profit for each region,1,2,command
Superstore,stackedBar,Make the bars stacked with the ship status,1,2,command
Cars,multiLine,plot year by average horsepower,1,2,command
Cars,multiLine,color by origin,1,2,command
Cars,scatterColor,plot displacement by mpg,1,2,command
Cars,scatterColor,color by origin,1,2,command
Cars,stackedBar,plot cylinder histogram,1,2,command
Cars,stackedBar,stack by origin,1,2,command
Superstore,scatterFaceted,show the profit vs sales as scatter plots,1,2,command
Superstore,scatterFaceted,use one plot for each region,1,2,command
Cars,scatterColor,Show displacement and MPG in a XY chart,1,2,command
Cars,scatterColor,Add origin in legend,1,2,command
Cars,groupedBar,Group by Origin,1,2,command
Cars,groupedBar,"Faceting on Cylinder, plot Cylinder by AVG Acceleration",1,2,command
Superstore,line,Groupby (Order Date),1,2,command
Superstore,line,"For each Order Date, calculate sum of the sales forecast",1,2,command
Superstore,bar,groupby(state),1,2,command
Superstore,bar,"for each state, get average of profit",1,2,command
Cars,multiLine,Show year and AVG(Horsepower) in line chart,1,2,command
Cars,multiLine,Add origin to legend,1,2,command
Cars,scatterFaceted,Show weight and acceleration in a XYplot,1,2,command
Cars,scatterFaceted,Add origin to groups,1,2,command
Cars,scatterColor,"create a scatterplot of mpg vs displacement by model, color marks by origin",1,2,command
Cars,scatterColor,"set origin colors to: europe, blue, japan, orange, usa, red",1,2,command
Cars,groupedBar,create a bar chart of average acceleration grouped by origin,1,2,command
Cars,groupedBar,split splots by cylinders,1,2,command
Cars,scatterColor,correlate MPG and Displacement of cars,1,2,command
Cars,scatterColor,color the points by the car's origin,1,2,command
Cars,groupedBar,Compare AVG (Acceleration) with Cylinders.,1,2,command
Cars,groupedBar,Segregate the cylinders by their origin.,1,2,command
Cars,scatterFaceted,Show a scatterplot of acceleration vs Weight,1,2,command
Cars,scatterFaceted,Facet it by Origin.,1,2,command
Movies,multiLine,give me line charts of worldwide gross over year by major genres,1,1,command
Movies,groupedBar,show me average budget split by content rating colored by creative type,1,1,command
Movies,scatter,show me imdb rating versus rotten tomatoes rating,1,1,command
Movies,scatter,give me a scatterplot of imdb rating as x axis and rotten tomatoes rating as y axis,2,1,command
Movies,multiLine,plot worldwide gross over release year split by genre,1,1,command
Movies,scatterFaceted,give me scatterplots of worldwide gross versus production budget by different content ratings,1,1,command
Movies,bar,plot average worldwide growth over major genre,1,1,command
Movies,stackedBar,"Show the total worldwide gross by category of film, broken down by movie rating.",1,1,command
Movies,scatterFaceted,show me production budget against worldwide gross split by content rating,1,1,command
Movies,scatter,Plot IMDB rating against Rotten Tomatoes rating.,1,1,command
Movies,singleAttrBar,show me movies by creative types,1,1,command
Movies,singleAttrBar,Show me count of movies categorized by creative type,1,1,command
Movies,histogram,give me the number of movies by running time,1,1,command
Superstore,stackedBar,Show me a bar chart of the total profitability of each region with a breakdown based on shipping time.,1,1,command
Superstore,groupedBar,Show me a bar chart showing the average profitability for orders by shipping mode and segment.,1,1,command
Superstore,scatterColor,Show me a scatterplot of profitability by sales for each region.,1,1,command
Superstore,line,Show me total sales by month for the two-year period between Jan 2016 and Dec 2017.,1,1,command
Superstore,scatterColor,plot profit amount by sales amount and region,1,1,command
Superstore,scatter,plot profit amount by sales amount,1,1,command
Superstore,scatterFaceted,plot profit versus sales with a separate plot for each region. Make the axes identical.,1,1,command
Movies,singleAttrBar,Make a simple bar chart of Count of Titles versus the category of Creative Type.,1,1,command
Movies,scatterFaceted,Make simple scatter plots of the Worldwide Gross versus Production Budget. Parameterize by Content Rating.,1,1,command
Movies,scatterColor,Make a simple scatter plot of worldwide Gross by Production Budget categorized by Major Genre.,1,1,command
Cars,line,Show me weight over year,1,1,command
Cars,scatter,show me horsepower vs acceleration,1,1,command
Cars,singleAttrBar,show me the number of cars per country,1,1,command
Cars,histogram,show me the categorization of weights,1,1,command
Cars,bar,show me how the number of cylinders is related to miles per gallon,1,1,command
Cars,scatterFaceted,show me how weight is related to acceleration per country,1,1,command
Movies,stackedBar,Show how content ratings are associated with gross receipts by genre.,1,1,command
Movies,multiLine,Show how genres have been associated with worldwide grosses from 1995 to 2009.,1,1,command
Movies,scatter,Show how films' Rotten Tomato ratings compare with IMDB ratings.,1,1,command
Movies,histogram,Show the number of films categorized by their running times.,1,1,command
Movies,line,Show the trend in average production budgets from 1995 to 2010.,1,1,command
Movies,scatterColor,Show how worldwide grosses are related to production budgets by genre.,1,1,command
Movies,bar,Show average worldwide gross by genre.,1,1,command
Movies,scatterFaceted,Show how worldwide gross is related to production budgets for each content rating.,1,1,command
Cars,singleAttrBar,count the number of cars based on their origins.,1,1,command
Cars,histogram,Please show me the distribution of weights by 500 interval.,1,1,command
Cars,histogram,Please show me a histogram of weights with 500 intervals.,2,1,command
Cars,scatterFaceted,Please show me multiple correlation charts of weights and accelerations of cars based on their origins.,1,1,command
Cars,bar,Please show me a bar chart with the x-axis representing the number of cylinders and the y-axis depicting the average MPG.,1,1,command
Cars,line,Please show me how the average weights change in a timeline.,1,1,command
Superstore,scatter,Create a scatterplot of profit in columns and Sales in rows,1,1,command
Superstore,scatter,Create a scatterplot of profit in abscissa and sales in ordinate,2,1,command
Superstore,groupedBar,create a series of bar chats for different ship modes that represent average of profit for different segments,1,1,command
Superstore,scatterColor,Creare a scatterplot of sales and profit that represent different regions,1,1,command
Superstore,stackedBar,Create a stacked bar chart that represents sum of profit in different regions stacked by ship status,1,1,command
Superstore,scatterFaceted,Create a multiple scatterplot that represents sales and profit for different regions,1,1,command
Cars,scatterColor,"plot displacement against mpg for individual models, colored by country",2,1,command
Movies,groupedBar,"Show me the average production budget for each movie type, broken down by content rating.",1,1,command
Movies,stackedBar,Plot the total worldwide gross for each major genre using a stacked bar chart. Break down within each genre by content rating.,1,1,command
Movies,bar,Plot the average worldwide gross for each major genre. Sort alphabetically.,1,1,command
Movies,scatterFaceted,"Plot the worldwide gross v.s. production budget on a scatter plot, broken down by content rating.",1,1,command
Movies,multiLine,Plot the total worldwide gross over time for each major genre.,1,1,command
Movies,line,Plot the average production budget each year across all movies.,1,1,command
Movies,histogram,Plot a histogram of movie running time.,1,1,command
Movies,scatter,Plot rotten tomatoes rating v.s. IMDB rating on a scatter plot.,1,1,command
Movies,scatterColor,"Plot the worldwide gross versus production budget for individual movies, coloring each movie by its genre.",1,1,command
Cars,singleAttrBar,"Compare the number of models in USA, Japan and Europe ?",1,1,command
Cars,stackedBar,Group cars by countries and cylinders,2,1,command
