outs,out2s,insts,firsts,seconds,command,query,question,dnames,vids
"Step 1. Composite Views:
- True/False: False
- (If True) Type: N/A
- Number of plots: N/A

Step 2. Instructions:
[View 1]; [Data]: Load the data from the file named ""superstore.csv""; [Chart-Type]: Create a bar chart; [Mark]: Do not include any tooltips in the marks; [Encoding]: On the x-axis, bin the data from the field ""Quantity"" and label the axis as ""Order Quantity""; [Encoding]: On the y-axis, count the number of data points and label the axis as ""COUNT"".

Step 3. Instructions:
[View 1]; [Data]: Load the data from the file named ""superstore.csv""; [Chart-Type]: Create a bar chart; [Mark]: Do not include any tooltips in the marks; [Encoding]: On the x-axis, bin the data from the field ""Order Quantity"" and label the axis as ""Order Quantity""; [Encoding]: On the y-axis, count the number of data points and label the axis as ""COUNT"".","View #1:
Step 1. Primary Information: The chart is a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.
Step 2. Secondary Information: The x-axis is labeled as ""Order Quantity"" and the y-axis is labeled as ""COUNT"".
Step 3. Command: Create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.
Step 4. Query: Bar chart, Order Quantity, count of data points
Step 5. Question: How many data points are there for each order quantity in the bar chart?","View #1: [Chart-Type]: Create a bar chart; [Encoding]: On the x-axis, bin the data from the field ""Order Quantity"" and label the axis as ""Order Quantity""; [Encoding]: On the y-axis, count the number of data points and label the axis as ""COUNT"".","['The chart is a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.']","['The x-axis is labeled as ""Order Quantity"" and the y-axis is labeled as ""COUNT"".']","['Create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.']","['Bar chart, Order Quantity, count of data points']",['How many data points are there for each order quantity in the bar chart?'],superstore,histogram
"Step 1. Composite Views:
- True/False: False
- (If True) Type: N/A
- Number of plots: N/A

Step 2. Instructions:
[View 1]; [Data]: Load the data from the file named ""superstore.csv""; [Chart-Type]: Create a bar chart; [Mark]: Do not include any tooltips on the bars; [Encoding]: On the x-axis, display the ""Sub-Category"" field as nominal data, sorted in descending order based on the y-axis values; [Encoding]: On the y-axis, display the count of each ""Sub-Category"" as quantitative data, and title the axis as ""COUNT"".

Step 3. Instructions:
[View 1]; [Data]: Load the data from the file named ""superstore.csv""; [Chart-Type]: Create a bar chart; [Mark]: Do not include any tooltips on the bars; [Encoding]: On the x-axis, display the field representing the types of products (e.g., 'Appliances', 'Phones', 'Bookcases', 'Binders', 'Fasteners') as nominal data, sorted in descending order based on the y-axis values; [Encoding]: On the y-axis, display the count of each type of product as quantitative data, and title the axis as ""COUNT"".","View #1:
Step 1. Primary Information: The chart is a bar chart displaying the count of each type of product on the y-axis and the types of products on the x-axis.
Step 2. Secondary Information: The types of products are sorted in descending order based on the count.
Step 3. Command: Create a bar chart with product types on the x-axis and their count on the y-axis.
Step 4. Query: Product types, count of product types, order by count descending
Step 5. Question: How many of each type of product are there?","View #1: [Chart-Type]: Create a bar chart; [Encoding]: On the x-axis, display the field representing the types of products (e.g., 'Appliances', 'Phones', 'Bookcases', 'Binders', 'Fasteners') as nominal data, sorted in descending order based on the y-axis values; [Encoding]: On the y-axis, display the count of each type of product as quantitative data, and title the axis as ""COUNT"".",['The chart is a bar chart displaying the count of each type of product on the y-axis and the types of products on the x-axis.'],['The types of products are sorted in descending order based on the count.'],['Create a bar chart with product types on the x-axis and their count on the y-axis.'],"['Product types, count of product types, order by count descending']",['How many of each type of product are there?'],superstore,singleAttrBar
"Step 1. Composite Views:
- True/False: False
- (If True) Type: N/A
- Number of plots: N/A

Step 2. Instructions:
[View 1]; [Data]: Load the data from the file named 'superstore.csv'; [Chart-Type]: Create a bar chart; [Mark]: Do not include any tooltips in the marks; [Encoding]: On the x-axis, encode the 'State' field as ordinal; [Encoding]: On the y-axis, encode the 'Profit' field as quantitative and aggregate it by summing up the values. Also, title this axis as 'AVG (Profit)'; [Interaction]: No interaction is specified.

Step 3. Instructions:
[View 1]; [Data]: Load the data from the file named 'superstore.csv'; [Chart-Type]: Create a bar chart; [Mark]: Do not include any tooltips in the marks; [Encoding]: On the x-axis, encode the 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' field as ordinal; [Encoding]: On the y-axis, encode the 'AVG (Profit)' field as quantitative and aggregate it by summing up the values. Also, title this axis as 'AVG (Profit)'; [Interaction]: No interaction is specified.","View #1:
Step 1. Primary Information: The primary information is the 'AVG (Profit)' field for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' which is to be represented on a bar chart.
Step 2. Secondary Information: The secondary information is that the 'AVG (Profit)' field is to be aggregated by summing up the values and the y-axis is to be titled as 'AVG (Profit)'.
Step 3. Command: Create a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis.
Step 4. Query: 'Indiana', 'New York', 'California', 'Colorado', 'Michigan', sum of 'AVG (Profit)'
Step 5. Question: What is the sum of 'AVG (Profit)' for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'?","View #1: [Chart-Type]: Create a bar chart; [Encoding]: On the x-axis, encode the 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' field as ordinal; [Encoding]: On the y-axis, encode the 'AVG (Profit)' field as quantitative and aggregate it by summing up the values. Also, title this axis as 'AVG (Profit)'","[""The primary information is the 'AVG (Profit)' field for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' which is to be represented on a bar chart.""]","[""The secondary information is that the 'AVG (Profit)' field is to be aggregated by summing up the values and the y-axis is to be titled as 'AVG (Profit)'.""]","[""Create a bar chart with 'Indiana', 'New York', 'California', 'Colorado', 'Michigan' on the x-axis and the sum of 'AVG (Profit)' on the y-axis.""]","[""'Indiana', 'New York', 'California', 'Colorado', 'Michigan', sum of 'AVG (Profit)'""]","[""What is the sum of 'AVG (Profit)' for the states 'Indiana', 'New York', 'California', 'Colorado', 'Michigan'?""]",superstore,bar
"Step 1. Composite Views:
- True/False: False
- (If True) Type: N/A
- Number of plots: N/A

Step 2. Instructions:
[View 1]; [Data]: Load the data from the file named ""superstore.csv""; [Chart-Type]: Create a point chart; [Mark]: Fill the points and set their opacity to 0.5; [Encoding]: Map the ""Profit"" field to the x-axis and the ""Sales"" field to the y-axis; [Style]: Do not display any tooltips.

Step 3. Instructions:
[View 1]; [Data]: Load the data from the file named ""superstore.csv""; [Chart-Type]: Create a point chart; [Mark]: Fill the points and set their opacity to 0.5; [Encoding]: Map the ""Profit"" field to the x-axis and the ""Sales"" field to the y-axis; [Style]: Do not display any tooltips.","View #1:
Step 1. Primary Information: The chart type is a point chart with ""Profit"" field mapped to the x-axis and the ""Sales"" field mapped to the y-axis.
Step 2. Secondary Information: There is no secondary information in this view.
Step 3. Command: Create a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.
Step 4. Query: Point chart, Profit on x-axis, Sales on y-axis
Step 5. Question: Can you create a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis?","View #1: [Chart-Type]: Create a point chart; [Encoding]: Map the ""Profit"" field to the x-axis and the ""Sales"" field to the y-axis","['The chart type is a point chart with ""Profit"" field mapped to the x-axis and the ""Sales"" field mapped to the y-axis.']",['There is no secondary information in this view.'],"['Create a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis.']","['Point chart, Profit on x-axis, Sales on y-axis']","['Can you create a point chart with ""Profit"" on the x-axis and ""Sales"" on the y-axis?']",superstore,scatter
"Step 1. Composite Views:
- True/False: False
- (If True) Type: N/A
- Number of plots: 1

Step 2. Instructions:
[View 1]; [Data]: Load the data from the file named ""superstore.csv""; [Chart-Type]: Choose a line chart to represent the data; [Mark]: Do not include any tooltips in the chart; [Encoding]: On the x-axis, represent the 'Order Date' field with a temporal data type and title it as 'Order Date'; [Encoding]: On the y-axis, represent the sum of the 'Sales Forecast' field with a quantitative data type and title it as 'SUM (Sales Forecast)'; [Interaction]: No interaction is specified in this visualization.

Step 3. Instructions:
[View 1]; [Data]: Load the data from the file named ""superstore.csv""; [Chart-Type]: Choose a line chart to represent the data; [Mark]: Do not include any tooltips in the chart; [Encoding]: On the x-axis, represent the 'Order Date' field with a temporal data type and title it as 'Order Date'; [Encoding]: On the y-axis, represent the sum of the 'Sales Forecast' field with a quantitative data type and title it as 'SUM (Sales Forecast)'; [Interaction]: No interaction is specified in this visualization.","View #1:
Step 1. Primary Information: The chart type is a line chart, representing 'Order Date' on the x-axis and the sum of 'Sales Forecast' on the y-axis.
Step 2. Secondary Information: The data type for 'Order Date' is temporal and for 'Sales Forecast' is quantitative.
Step 3. Command: Create a line chart with 'Order Date' on the x-axis and the sum of 'Sales Forecast' on the y-axis.
Step 4. Query: Line chart, Order Date, SUM (Sales Forecast)
Step 5. Question: What does the line chart of 'Order Date' versus the sum of 'Sales Forecast' show?","View #1: [Chart-Type]: Choose a line chart to represent the data; [Encoding]: On the x-axis, represent the 'Order Date' field with a temporal data type and title it as 'Order Date'; [Encoding]: On the y-axis, represent the sum of the 'Sales Forecast' field with a quantitative data type and title it as 'SUM (Sales Forecast)'","[""The chart type is a line chart, representing 'Order Date' on the x-axis and the sum of 'Sales Forecast' on the y-axis.""]","[""The data type for 'Order Date' is temporal and for 'Sales Forecast' is quantitative.""]","[""Create a line chart with 'Order Date' on the x-axis and the sum of 'Sales Forecast' on the y-axis.""]","['Line chart, Order Date, SUM (Sales Forecast)']","[""What does the line chart of 'Order Date' versus the sum of 'Sales Forecast' show?""]",superstore,line
"Step 1. Composite Views:
- True/False: True
- (If True) Type: trellis
- Number of plots: 4

Step 2. Instructions:
[View 1]; [Data]: Load the data from the file named ""superstore.csv""; [Chart-Type]: Choose a bar chart to represent the data; [Mark]: Do not include any tooltips in the marks; [Encoding]: Encode the data such that the ""Ship Mode"" field is represented as columns, the ""Segment"" field is represented on the x-axis, and the mean of the ""Profit"" field is represented on the y-axis; [Encoding]: Also, color the bars based on the ""Segment"" field; [Style]: Set the range step of the x-axis scale to 15 and remove the title, labels, and ticks from the x-axis; [Style]: Set the title of the y-axis to ""AVG (Profit)"".

Step 3. Instructions:
[View 1]; [Data]: Load the data from the file named ""superstore.csv""; [Chart-Type]: Choose a bar chart to represent the data; [Mark]: Do not include any tooltips in the marks; [Encoding]: Encode the data such that the shipping method is represented as columns, the customer segment is represented on the x-axis, and the average profit is represented on the y-axis; [Encoding]: Also, color the bars based on the customer segment; [Style]: Set the range step of the x-axis scale to 15 and remove the title, labels, and ticks from the x-axis; [Style]: Set the title of the y-axis to ""Average Profit"".","View #1:
Step 1. Primary Information: The data is about the shipping method, customer segment, and average profit.
Step 2. Secondary Information: The data is to be represented in a bar chart, with the shipping method as columns, customer segment on the x-axis, and average profit on the y-axis. The bars are to be colored based on the customer segment.
Step 3. Command: Create a bar chart with shipping method as columns, customer segment on the x-axis, and average profit on the y-axis.
Step 4. Query: Average profit by shipping method and customer segment
Step 5. Question: What is the average profit for each shipping method and customer segment?","View #1: [Chart-Type]: Choose a bar chart to represent the data; [Encoding]: Encode the data such that the shipping method is represented as columns, the customer segment is represented on the x-axis, and the average profit is represented on the y-axis; [Encoding]: Also, color the bars based on the customer segment","['The data is about the shipping method, customer segment, and average profit.']","['The data is to be represented in a bar chart, with the shipping method as columns, customer segment on the x-axis, and average profit on the y-axis. The bars are to be colored based on the customer segment.']","['Create a bar chart with shipping method as columns, customer segment on the x-axis, and average profit on the y-axis.']",['Average profit by shipping method and customer segment'],['What is the average profit for each shipping method and customer segment?'],superstore,groupedBar
"Step 1. Composite Views:
- True/False: False
- (If True) Type: N/A
- Number of plots: 1

Step 2. Instructions:
[View 1]; [Data]: Load the data from the file named ""superstore.csv""; [Chart-Type]: Choose a bar chart for the visualization; [Mark]: Do not include any tooltips in the marks; [Encoding]: On the x-axis, place the 'Region' field and treat it as ordinal data; [Encoding]: On the y-axis, place the 'Profit' field, aggregate it by summing up the values, and treat it as quantitative data. Label the y-axis as 'SUM (Profit)'; [Encoding]: Use the 'Ship Status' field to color the bars and treat it as nominal data. Label the color legend as 'Ship Status'; [Style]: No specific style instructions; [Interaction]: No specific interaction instructions <%>

Step 3. Instructions:
[View 1]; [Data]: Load the data from the file named ""superstore.csv""; [Chart-Type]: Choose a bar chart for the visualization; [Mark]: Do not include any tooltips in the marks; [Encoding]: On the x-axis, place the 'Region' field and treat it as ordinal data; [Encoding]: On the y-axis, place the 'Profit' field, aggregate it by summing up the values, and treat it as quantitative data. Label the y-axis as 'Total Profit'; [Encoding]: Use the 'Ship Status' field to color the bars and treat it as nominal data. Label the color legend as 'Shipping Status'; [Style]: No specific style instructions; [Interaction]: No specific interaction instructions <%>","View #1:
Step 1. Primary Information: The chart type is a bar chart. The x-axis represents the 'Region' field as ordinal data. The y-axis represents the 'Profit' field as quantitative data, aggregated by summing up the values. The bars are colored based on the 'Ship Status' field as nominal data.
Step 2. Secondary Information: The y-axis is labeled as 'Total Profit'. The color legend is labeled as 'Shipping Status'.
Step 3. Command: Create a bar chart with 'Region' on the x-axis and the sum of 'Profit' on the y-axis, colored by 'Ship Status'.
Step 4. Query: Bar chart of 'Region' vs sum of 'Profit', colored by 'Ship Status'
Step 5. Question: What is the total profit for each region, differentiated by shipping status?","View #1: [Chart-Type]: Choose a bar chart for the visualization; [Encoding]: On the x-axis, place the 'Region' field and treat it as ordinal data; [Encoding]: On the y-axis, place the 'Profit' field, aggregate it by summing up the values, and treat it as quantitative data. Label the y-axis as 'Total Profit'; [Encoding]: Use the 'Ship Status' field to color the bars and treat it as nominal data. Label the color legend as 'Shipping Status'","[""The chart type is a bar chart. The x-axis represents the 'Region' field as ordinal data. The y-axis represents the 'Profit' field as quantitative data, aggregated by summing up the values. The bars are colored based on the 'Ship Status' field as nominal data.""]","[""The y-axis is labeled as 'Total Profit'. The color legend is labeled as 'Shipping Status'.""]","[""Create a bar chart with 'Region' on the x-axis and the sum of 'Profit' on the y-axis, colored by 'Ship Status'.""]","[""Bar chart of 'Region' vs sum of 'Profit', colored by 'Ship Status'""]","['What is the total profit for each region, differentiated by shipping status?']",superstore,stackedBar
"Step 1. Composite Views:
- True/False: False
- (If True) Type: N/A
- Number of plots: N/A

Step 2. Instructions:
[View 1]; [Data]: Load the dataset from the URL 'datasets/superstore.csv'; [Chart-Type]: Choose a point chart type; [Mark]: Fill the points and set the opacity to 0.75; [Encoding]: Map the 'Region' field to color, 'Sales' field to the x-axis, and 'Profit' field to the y-axis; [Style]: Do not include any tooltips.

Step 3. Instructions:
[View 1]; [Data]: Load the dataset from the URL 'datasets/superstore.csv'; [Chart-Type]: Choose a point chart type; [Mark]: Fill the points and set the opacity to 0.75; [Encoding]: Map the 'Region' field to color, 'Sales' field to the x-axis, and 'Profit' field to the y-axis; [Style]: Do not include any tooltips.","View #1:
Step 1. Primary Information: The chart type is a point chart. The 'Region' field is mapped to color, 'Sales' field is mapped to the x-axis, and 'Profit' field is mapped to the y-axis.
Step 2. Secondary Information: None
Step 3. Command: Create a point chart with 'Region' as color, 'Sales' on the x-axis, and 'Profit' on the y-axis.
Step 4. Query: Point chart, 'Region' color, 'Sales' x-axis, 'Profit' y-axis
Step 5. Question: Can you create a point chart with 'Region' as color, 'Sales' on the x-axis, and 'Profit' on the y-axis?","View #1: [Chart-Type]: Choose a point chart type; [Encoding]: Map the 'Region' field to color, 'Sales' field to the x-axis, and 'Profit' field to the y-axis","[""The chart type is a point chart. The 'Region' field is mapped to color, 'Sales' field is mapped to the x-axis, and 'Profit' field is mapped to the y-axis.""]",['None'],"[""Create a point chart with 'Region' as color, 'Sales' on the x-axis, and 'Profit' on the y-axis.""]","[""Point chart, 'Region' color, 'Sales' x-axis, 'Profit' y-axis""]","[""Can you create a point chart with 'Region' as color, 'Sales' on the x-axis, and 'Profit' on the y-axis?""]",superstore,scatterColor
"Step 1. Composite Views:
- True/False: True
- (If True) Type: Trellis
- Number of plots: 4

Step 2. Instructions:
[View 1]; [Data]: Load the dataset from the URL 'datasets/superstore.csv'; [Chart-Type]: Choose a point chart; [Mark]: Fill the points and set the opacity to 0.5; [Encoding]: Set 'Region' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis; [Style]: No specific style instructions; [Interaction]: No specific interaction instructions.

Step 3. Instructions:
[View 1]; [Data]: Load the dataset from the URL 'datasets/superstore.csv'; [Chart-Type]: Choose a point chart; [Mark]: Fill the points and set the opacity to 0.5; [Encoding]: Set 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis; [Style]: No specific style instructions; [Interaction]: No specific interaction instructions.","View #1:
Step 1. Primary Information: The chart type is a point chart. The column field is 'Central', 'East', 'West', 'South'. The x-axis is 'Sales' and the y-axis is 'Profit'.
Step 2. Secondary Information: None
Step 3. Command: Create a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis.
Step 4. Query: Point chart of 'Sales' vs 'Profit' by 'Central', 'East', 'West', 'South'
Step 5. Question: What does the point chart reveal about the relationship between 'Sales' and 'Profit' across 'Central', 'East', 'West', 'South'?","View #1: [Chart-Type]: Choose a point chart; [Encoding]: Set 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis","[""The chart type is a point chart. The column field is 'Central', 'East', 'West', 'South'. The x-axis is 'Sales' and the y-axis is 'Profit'.""]",['None'],"[""Create a point chart with 'Central', 'East', 'West', 'South' as the column field, 'Sales' as the x-axis, and 'Profit' as the y-axis.""]","[""Point chart of 'Sales' vs 'Profit' by 'Central', 'East', 'West', 'South'""]","[""What does the point chart reveal about the relationship between 'Sales' and 'Profit' across 'Central', 'East', 'West', 'South'?""]",superstore,scatterFaceted
"Step 1. Composite Views:
- True/False: False
- (If True) Type: N/A
- Number of plots: 1

Step 2. Instructions:
[View 1]; [Data]: Load the data from the URL 'datasets/superstore.csv'; [Chart-Type]: Choose a line chart to represent the data; [Mark]: Do not include any tooltips in the marks; [Encoding]: On the x-axis, represent the 'Order Date' field with a time unit of 'monthyear' and title it 'Order Date'; [Encoding]: On the y-axis, represent the sum of the 'Sales' field and title it 'SUM (Sales)'; [Encoding]: Use color to represent the 'Category' field and include a legend titled 'Category'; [Interaction]: No interaction is specified in this visualization.

Step 3. Instructions:
[View 1]; [Data]: Load the data from the URL 'datasets/superstore.csv'; [Chart-Type]: Choose a line chart to represent the data; [Mark]: Do not include any tooltips in the marks; [Encoding]: On the x-axis, represent the 'Order Date' field with a time unit of 'monthyear' and title it 'Order Date'; [Encoding]: On the y-axis, represent the sum of the 'Sales' field and title it 'SUM (Sales)'; [Encoding]: Use color to represent the 'Category' field and include a legend titled 'Category'; [Interaction]: No interaction is specified in this visualization.","View #1:
Step 1. Primary Information: The chart is a line chart representing the sum of 'Sales' over 'Order Date' with 'Category' as a differentiating factor.
Step 2. Secondary Information: The 'Order Date' is represented in 'monthyear' time unit.
Step 3. Command: Create a line chart with 'Order Date' on the x-axis and sum of 'Sales' on the y-axis, differentiated by 'Category'.
Step 4. Query: Line chart, Order Date (monthyear), SUM (Sales), Category
Step 5. Question: How does the sum of sales vary over time for each category?","View #1: [Chart-Type]: Choose a line chart to represent the data; [Encoding]: On the x-axis, represent the 'Order Date' field with a time unit of 'monthyear' and title it 'Order Date'; [Encoding]: On the y-axis, represent the sum of the 'Sales' field and title it 'SUM (Sales)'; [Encoding]: Use color to represent the 'Category' field and include a legend titled 'Category'","[""The chart is a line chart representing the sum of 'Sales' over 'Order Date' with 'Category' as a differentiating factor.""]","[""The 'Order Date' is represented in 'monthyear' time unit.""]","[""Create a line chart with 'Order Date' on the x-axis and sum of 'Sales' on the y-axis, differentiated by 'Category'.""]","['Line chart, Order Date (monthyear), SUM (Sales), Category']",['How does the sum of sales vary over time for each category?'],superstore,multiLine
