sentences,axes,ptypes,dnames,vids,scores
"Whip up a bar graph with ""Order Quantity"" on the side-to-side line and the number of data points on the up-and-down line.",Colloquial-Standard,command,superstore,histogram,1
"Make a bar graph with ""Order Quantity"" on the horizontal line and the count of data points on the vertical line.",Colloquial-Standard,command,superstore,histogram,2
"Construct a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,command,superstore,histogram,3
"Please generate a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,command,superstore,histogram,4
"It is requested to produce a bar chart with ""Order Quantity"" represented on the x-axis and the enumeration of data points on the y-axis.",Colloquial-Standard,command,superstore,histogram,5
"Make a simple bar graph with ""Order Quantity"" going across and the number of things you're counting going up.",Non-technical-Technical,command,superstore,histogram,1
"Make a bar graph with ""Order Quantity"" going from left to right and the number of items you're counting going from bottom to top.",Non-technical-Technical,command,superstore,histogram,2
"Construct a bar graph with ""Order Quantity"" as the horizontal axis and the count of data points as the vertical axis.",Non-technical-Technical,command,superstore,histogram,3
"Generate a bar chart with ""Order Quantity"" represented on the x-axis and the frequency of data points represented on the y-axis.",Non-technical-Technical,command,superstore,histogram,4
"Construct a bar chart with ""Order Quantity"" as the independent variable on the x-axis and the frequency distribution of data points as the dependent variable on the y-axis.",Non-technical-Technical,command,superstore,histogram,5
"I think you should make a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis. It would look really good.",Subjective-Objective,command,superstore,histogram,1
"I feel like it would be a good idea to create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,command,superstore,histogram,2
"Maybe we could create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,command,superstore,histogram,3
"It would be beneficial to create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,command,superstore,histogram,4
"Create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,command,superstore,histogram,5
"You know, it might be interesting to see how the ""Order Quantity"" stacks up against the number of data points. Maybe a bar chart could help visualize that.",Implicit-Explicit,command,superstore,histogram,1
"How about we visualize the ""Order Quantity"" and the count of data points? A bar chart could be a good way to do that.",Implicit-Explicit,command,superstore,histogram,2
"Let's make a bar chart. We can put ""Order Quantity"" on one axis and the count of data points on the other.",Implicit-Explicit,command,superstore,histogram,3
"Please make a bar chart. ""Order Quantity"" should be on the x-axis and the count of data points on the y-axis.",Implicit-Explicit,command,superstore,histogram,4
"I need you to create a bar chart. The x-axis must represent the ""Order Quantity"" and the y-axis must represent the count of data points.",Implicit-Explicit,command,superstore,histogram,5
"Bar graph thingy, how many orders, number of data bits",Colloquial-Standard,query,superstore,histogram,1
"Bar graph, number of orders, count of data stuff",Colloquial-Standard,query,superstore,histogram,2
"Bar chart, quantity of orders, count of data points",Colloquial-Standard,query,superstore,histogram,3
"Bar diagram, quantity of orders, enumeration of data points",Colloquial-Standard,query,superstore,histogram,4
