commands,axes,ptypes,dnames,vids,scores
"Please make a bar chart. ""Order Quantity"" should be on the x-axis and the count of data points on the y-axis.",Implicit-Explicit,command,superstore,histogram,4
"Make a bar graph with ""Order Quantity"" on the horizontal line and the count of data points on the vertical line.",Colloquial-Standard,command,superstore,histogram,2
"I need you to create a bar chart. The x-axis must represent the ""Order Quantity"" and the y-axis must represent the count of data points.",Implicit-Explicit,command,superstore,histogram,5
"Generate a bar chart with ""Order Quantity"" represented on the x-axis and the frequency of data points represented on the y-axis.",Non-technical-Technical,command,superstore,histogram,4
"I think you should make a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis. It would look really good.",Subjective-Objective,command,superstore,histogram,1
"Let's make a bar chart. We can put ""Order Quantity"" on one axis and the count of data points on the other.",Implicit-Explicit,command,superstore,histogram,3
"Make a bar graph with ""Order Quantity"" going from left to right and the number of items you're counting going from bottom to top.",Non-technical-Technical,command,superstore,histogram,2
"It would be beneficial to create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,command,superstore,histogram,4
"It is requested to produce a bar chart with ""Order Quantity"" represented on the x-axis and the enumeration of data points on the y-axis.",Colloquial-Standard,command,superstore,histogram,5
"Construct a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,command,superstore,histogram,3
"Make a simple bar graph with ""Order Quantity"" going across and the number of things you're counting going up.",Non-technical-Technical,command,superstore,histogram,1
"Create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,command,superstore,histogram,5
"Construct a bar chart with ""Order Quantity"" as the independent variable on the x-axis and the frequency distribution of data points as the dependent variable on the y-axis.",Non-technical-Technical,command,superstore,histogram,5
I think the bar chart is probably representing the order quantity by counting data points.,Subjective-Objective,query,superstore,histogram,2
"Bar graph, number of orders, count of data stuff",Colloquial-Standard,query,superstore,histogram,2
This is a bar chart that represents the count of data points for each order quantity.,Implicit-Explicit,query,superstore,histogram,4
It's a bar chart showing the number of times an order quantity occurs.,Implicit-Explicit,query,superstore,histogram,3
"Bar chart, quantity of orders, count of data points",Colloquial-Standard,query,superstore,histogram,3
The bar chart seems to be displaying the order quantity by counting data points.,Subjective-Objective,query,superstore,histogram,3
This is a bar chart that explicitly displays the total count of data points for each specific order quantity.,Implicit-Explicit,query,superstore,histogram,5
Can you figure out the number of data points for each order quantity in the bar chart?,Implicit-Explicit,question,superstore,histogram,1
It would be beneficial to determine the number of data points for each order quantity in the bar chart.,Subjective-Objective,question,superstore,histogram,4
It seems to me that knowing the number of data points for each order quantity in the bar chart could be useful.,Subjective-Objective,question,superstore,histogram,3
Please make a chart with product types and their count.,Implicit-Explicit,command,superstore,singleAttrBar,4
Whip up a bar graph with the different stuff we sell on the bottom line and how many we got on the side line.,Colloquial-Standard,command,superstore,singleAttrBar,1
It would be beneficial to create a bar chart with product types on the x-axis and their count on the y-axis.,Subjective-Objective,command,superstore,singleAttrBar,4
Can you make a bar chart with the products we sell on the x-axis and the number we have on the y-axis?,Colloquial-Standard,command,superstore,singleAttrBar,3
Please construct a bar chart with the types of products on the x-axis and their quantity on the y-axis.,Colloquial-Standard,command,superstore,singleAttrBar,4
Can you make a chart with product types and their quantities?,Implicit-Explicit,command,superstore,singleAttrBar,3
