sentences,axes,axes2,ptypes,dnames,vids,scores,scores2
"Make a bar graph with ""how many orders"" on the bottom and the number of times it happens on the side.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,1,1
"Draw a bar graph with ""Order Quantity"" on the horizontal line and the number of occurrences on the vertical line.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,2,1
"Construct a bar diagram with ""Order Quantity"" on the x-axis and the frequency of data points on the y-axis.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,3,1
"Generate a bar chart with ""Order Quantity"" on the abscissa and the count of data instances on the ordinate.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,4,1
"Fabricate a bar chart with ""Order Quantity"" on the x-coordinate and the enumeration of data points on the y-coordinate.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,5,1
"You need to create a bar chart with ""how many orders"" on the bottom and the count of times it happens on the side.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,1,2
"You should draw a bar graph with ""Order Quantity"" on the horizontal line and the number of occurrences on the vertical line.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,2,2
"You are to construct a bar diagram with ""Order Quantity"" on the x-axis and the frequency of data points on the y-axis.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,3,2
"You must generate a bar chart with ""Order Quantity"" on the abscissa and the count of data instances on the ordinate.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,4,2
"You are required to fabricate a bar chart with ""Order Quantity"" on the x-coordinate and the enumeration of data points on the y-coordinate.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,5,2
"It is necessary to create a bar chart with ""how many orders"" on the bottom and the count of times it happens on the side.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,1,3
"It is recommended to draw a bar graph with ""Order Quantity"" on the horizontal line and the number of occurrences on the vertical line.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,2,3
"It is advised to construct a bar diagram with ""Order Quantity"" on the x-axis and the frequency of data points on the y-axis.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,3,3
"It is suggested to generate a bar chart with ""Order Quantity"" on the abscissa and the count of data instances on the ordinate.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,4,3
"It is proposed to fabricate a bar chart with ""Order Quantity"" on the x-coordinate and the enumeration of data points on the y-coordinate.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,5,3
"It is imperative to create a bar chart with ""how many orders"" on the bottom and the count of times it happens on the side.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,1,4
"It is essential to draw a bar graph with ""Order Quantity"" on the horizontal line and the number of occurrences on the vertical line.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,2,4
"It is crucial to construct a bar diagram with ""Order Quantity"" on the x-axis and the frequency of data points on the y-axis.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,3,4
"It is vital to generate a bar chart with ""Order Quantity"" on the abscissa and the count of data instances on the ordinate.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,4,4
"It is necessary to fabricate a bar chart with ""Order Quantity"" on the x-coordinate and the enumeration of data points on the y-coordinate.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,5,4
"It is of utmost importance to create a bar chart with ""how many orders"" on the bottom and the count of times it happens on the side.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,1,5
"It is of paramount importance to draw a bar graph with ""Order Quantity"" on the horizontal line and the number of occurrences on the vertical line.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,2,5
"It is of significant importance to construct a bar diagram with ""Order Quantity"" on the x-axis and the frequency of data points on the y-axis.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,3,5
"It is of considerable importance to generate a bar chart with ""Order Quantity"" on the abscissa and the count of data instances on the ordinate.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,4,5
"It is of high importance to fabricate a bar chart with ""Order Quantity"" on the x-coordinate and the enumeration of data points on the y-coordinate.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,5,5
"Whip up a bar chart, right? Put ""Order Quantity"" on the x-axis and the count of data points on the y-axis. Just my two cents.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,1,1
"You know what you should do? Make a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis. That's what I think.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,2,1
"Let's do a bar chart, yeah? ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,3,1
