commands,axes,axes2,ptypes,dnames,vids,scores,scores2
I need you to create a bar chart. Each bar should represent our order quantity.,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,5,3
"I suggest creating a bar chart. ""Order Quantity"" on the x-axis, count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,3,3
"It's necessary to create a bar chart. ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,4,2
Can you make a bar graph that shows the number of orders we have?,Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,3,2
"You are to construct a bar diagram with ""Order Quantity"" on the x-axis and the frequency of data points on the y-axis.",Colloquial-Standard,Non-technical-Technical,command,superstore,histogram,3,2
"Make a picture with bars. The bars should show how many orders we have. The longer the bar, the more orders we have.",Non-technical-Technical,Implicit-Explicit,command,superstore,histogram,1,1
"I suggest creating a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis. Just my opinion.",Colloquial-Standard,Subjective-Objective,command,superstore,histogram,1,4
"You should plot a bar chart with ""Order Quantity"" as categories and their counts as values.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,2,3
"You should draw a picture that shows how many times each ""Order Quantity"" appears.",Non-technical-Technical,Subjective-Objective,command,superstore,histogram,2,1
"Could you formulate a bar chart? ""Order Quantity"" should be on the x-axis and the count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,2,5
"Create a bar chart with ""Order Quantity"" on the x-axis and the count of data points on the y-axis.",Subjective-Objective,Implicit-Explicit,command,superstore,histogram,5,2
"You gotta make a bar graph, right? ""Order Quantity"" goes on the bottom and the count of data points goes up the side.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,2,1
"I necessitate you to formulate a bar chart. ""Order Quantity"" on the x-axis, count of data points on the y-axis.",Colloquial-Standard,Implicit-Explicit,command,superstore,histogram,4,5
The bar chart represents the order quantity and the count of data points.,Non-technical-Technical,Subjective-Objective,query,superstore,histogram,3,4
"This is probably a bar chart, with order quantity and a certain number of data points.",Subjective-Objective,Implicit-Explicit,query,superstore,histogram,2,4
"It's kind of like a bar chart, with order quantity and some data points.",Subjective-Objective,Implicit-Explicit,query,superstore,histogram,1,2
