ix,data,compositional,visual,question
0,d3|d3_1,lookup,nonvisual,How many pending cases was there in the year 2010?
1,d3|d3_1,lookup,nonvisual,How many pending cases where there in 2006?
2,d3|d3_1,lookup,nonvisual,How many pending cases were in 2000?
3,d3|d3_10,lookup,nonvisual,In what year did revenue amount to 113.29?
4,d3|d3_10,lookup,nonvisual,What was the Infocomm industry revenue for the year of 2007?
5,d3|d3_10,lookup,nonvisual,What was Infocomm Industries revenue in the year 2009?
6,d3|d3_11,lookup,nonvisual,What was research and development expenditure in 2008
7,d3|d3_11,lookup,nonvisual,What was the research and development expenditure for 1993?
8,d3|d3_4,lookup,nonvisual,How many children under 5 years old were present in Fl?
9,d3|d3_4,lookup,nonvisual,How many children under 5 are there in PA?
10,d3|d3_4,lookup,nonvisual,How many people are in California's 25-44 population?
11,d3|d3_4,lookup,nonvisual,How large is Texas's under 5 population?
12,d3|d3_5,lookup,nonvisual,What is number for the bus ridership?
13,d3|d3_5,lookup,nonvisual,What is the number of ridership for MRT?
14,d3|d3_6,lookup,nonvisual,Approximately how many security vulnerabilities have been found in php?
15,d3|d3_7,lookup,nonvisual,What is the donation value for DEU?
16,d3|d3_7,lookup,nonvisual,What is the donation value of NLD?
17,d3|d3_7,lookup,nonvisual,What is the donation value of JPN
18,d3|d3_8,lookup,nonvisual,How much is it the rating of Italy?
19,d3|d3_8,lookup,nonvisual,What rating does PRT have?
20,d3|d3_8,lookup,nonvisual,Which country has no rating?
21,d3|d3_9,lookup,nonvisual,How much did TZA receive in donations?
22,kong|kong_15,lookup,nonvisual,What is the total population density of Rwanda?
23,kong|kong_15,lookup,nonvisual,What is the total population density of Hong Kong?
24,kong|kong_15,lookup,nonvisual,What is the urban populaton density in Macau?
25,kong|kong_17,lookup,nonvisual,Is Washington Post / ABC News Republican or Democratic?
26,kong|kong_18,lookup,nonvisual,What was the percentage of risk taken by people under 35 in 2001?
27,kong|kong_18,lookup,nonvisual,What is the percentage of risk taken by people aged between 50 and 64 for the year 2012?
28,kong|kong_18,lookup,nonvisual,What is the percentage of risk taken by people of ages between 35 and 49 in 2007?
29,kong|kong_3,lookup,nonvisual,How common is religious extremism for Catholics shown in the chart?
30,kong|kong_3,lookup,nonvisual,What percentage of Jews would religious extremism be not too common?
31,kong|kong_30,lookup,nonvisual,What percentage of Japanese people believe that there is no guarantee of success from hard work?
32,kong|kong_30,lookup,nonvisual,What is the percentage of Poland for hard work no guarantee?
33,kong|kong_30,lookup,nonvisual,What is the value of most succeeding if working hard in U.S?
34,kong|kong_50,lookup,nonvisual,What is the post UK rebate budget for Poland?
35,kong|kong_50,lookup,nonvisual,"What was the gross contributions to the EU budget in 2012 by the Sweden, pre UK rebate?"
36,kong|kong_50,lookup,nonvisual,Budget of Slovenia Pre UK rebate
37,kong|kong_50,lookup,nonvisual,Italy Pre UK rebate budget
38,kong|kong_50,lookup,nonvisual,"What was the gross contributions to the EU budget in 2012 by the Sweden, post UK rebate?"
39,kong|kong_50,lookup,nonvisual,Post UK rebate budget of Estonia
40,kong|kong_50,lookup,nonvisual,What is France's post UK rebate budget?
41,kong|kong_53,lookup,nonvisual,What percent of african americans have employer pensions?
42,kong|kong_53,lookup,nonvisual,What is the difference between white and latino employer pension percentage?
43,kong|kong_54,lookup,nonvisual,what is the percent for white
44,kong|kong_54,lookup,nonvisual,what is the percent for Latino?
45,kong|kong_54,lookup,nonvisual,What percent of African American income is from investments?
46,kong|kong_54,lookup,nonvisual,What is the percent for Africa American?
47,kong|kong_54,lookup,nonvisual,what is the income from investments for Latino
48,kong|kong_55,lookup,nonvisual,What is the marriage rate of Latinos?
49,kong|kong_68,lookup,nonvisual,The Brown administration has what % of temperature?
50,kong|kong_68,lookup,nonvisual,The Blair administration has what % of rainfall?
51,kong|kong_68,lookup,nonvisual,What percentage of sunshine did Blair get?
52,kong|kong_68,lookup,nonvisual,Which administration has a -1.29% of sunshine?
53,kong|kong_68,lookup,nonvisual,What is the sunshine % in the Major administration?
54,kong|kong_69,lookup,nonvisual,What is the value of rank 1
55,kong|kong_69,lookup,nonvisual,Which income rank has a change in income of -1?
56,kong|kong_69,lookup,nonvisual,What is the change in income of rank 2?
57,kong|kong_69,lookup,nonvisual,What is the value of rank 2
58,kong|kong_69,lookup,nonvisual,What is the value of rank 10
59,kong|kong_69,lookup,nonvisual,What is the value of rank 3
60,kong|kong_69,lookup,nonvisual,What is the value of rank 4
61,kong|kong_70,lookup,nonvisual,How many are neutral
62,kong|kong_70,lookup,nonvisual,What is the value for Strongly Disagree
63,kong|kong_70,lookup,nonvisual,How many strongly dissagree
64,kong|kong_70,lookup,nonvisual,How many strongly agree
65,kong|kong_70,lookup,nonvisual,What is the exact amount for Strongly agree
66,kong|kong_70,lookup,nonvisual,What is the exact amount for Neither Agree or Disagree
67,kong|kong_71,lookup,nonvisual,Did more men in their 60's or 70's feel like they belonged in their neighborhoods?
68,kong|kong_71,lookup,nonvisual,What percentage of men age 50-54 feel they belong in their neighborhood?
69,kong|kong_74,lookup,nonvisual,How much donations have Japan given to Syrian refugees?
70,kong|kong_74,lookup,nonvisual,How much has the Netherlands donated to Syrian refugees?
71,kong|kong_74,lookup,nonvisual,How many donations has the European Commission provided?
72,kong|kong_74,lookup,nonvisual,How many donations has Japan provided?
73,kong|kong_75,lookup,nonvisual,How much Does the Netherlands give out in GDP?
74,kong|kong_75,lookup,nonvisual,"If Ireland is 0.0006 and Finland is 0.0005, what is Belgium?"
75,kong|kong_75,lookup,nonvisual,What are the donations by GDP for America?
76,kong|kong_75,lookup,nonvisual,What is the Generous donation in the US by its GDP?
77,kong|kong_76,lookup,nonvisual,How much does Jordan get?
78,kong|kong_77,lookup,nonvisual,what is the percentage of the japanese public?
79,kong|kong_77,lookup,nonvisual,What is percentage for Chinese Americans.
80,kong|kong_77,lookup,nonvisual,what is the percentage of the chinese public?
81,kong|kong_77,lookup,nonvisual,What is percentage for Japanese Americans.
82,kong|kong_77,lookup,nonvisual,What is percentage for Indian Americans.
83,kong|kong_77,lookup,nonvisual,What is percentage for Chinese public.
84,kong|kong_77,lookup,nonvisual,what is the percentage of indian americans?
85,kong|kong_77,lookup,nonvisual,What is percentage for Indian public.
86,vega-lite-example-gallery|bar_grouped,lookup,nonvisual,What is the population of males in the 90 year bracket?
87,vega-lite-example-gallery|bar_grouped,lookup,nonvisual,What was the population of Females age 35?
88,vega-lite-example-gallery|line,lookup,nonvisual,"what was the price as at Jan 1, 2009?"
