sentences,axes,axes2,ptypes,scores,scores2,dnames
What is the difference between the highest and lowest proportion of a certain belief and which countries do they come from?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,5,3,kong|kong_27
What's the difference between the highest and lowest opinion percentages and which countries do they belong to?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,3,3,kong|kong_27
Could you clarify the difference between the top and bottom opinion percentages and the countries they originate from?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,4,2,kong|kong_27
What's the difference between the maximum and minimum percentage of a certain viewpoint and where are they from?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,3,2,kong|kong_27
Could you explain the difference between the highest and lowest proportion of a specific opinion and the countries they correspond to?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,2,kong|kong_27
Can you tell me about the biggest and smallest share of people who think a certain way and where they're from?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,1,1,kong|kong_27
"What is the disparity between the highest and lowest opinion percentages and which countries are they from, in your view?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,1,4,kong|kong_27
"Which country's bar, representing a certain perspective, extends the furthest along the x-axis?",Non-technical-Technical,Subjective-Objective,lookup-visual,3,4,kong|kong_27
"I think the longest bar is much longer than the shortest one, isn't it? And they're representing which countries?",Non-technical-Technical,Subjective-Objective,compositional-visual,1,3,kong|kong_27
"There's a difference in length between the longest and shortest bars, right? And they represent certain countries, correct?",Subjective-Objective,Implicit-Explicit,compositional-visual,3,3,kong|kong_27
Please provide the exact data on the response in country X.,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,5,3,kong|kong_30
Please provide the precise response percentage in country X.,Colloquial-Standard,Subjective-Objective,lookup-nonvisual,5,5,kong|kong_30
Can you provide the exact figure for the response rate in country X?,Subjective-Objective,Implicit-Explicit,lookup-nonvisual,4,3,kong|kong_30
Which country has the highest number of positive responses?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,1,4,kong|kong_30
"It's a fact that one country has the highest response rate, right?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,4,4,kong|kong_30
Which country has the highest proportion of affirmative feedback?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,4,5,kong|kong_30
Can you tell me which region has the highest agreement rate?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,4,2,kong|kong_30
Which geopolitical entity has the highest proportion of affirmative responses?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,5,5,kong|kong_30
Do you think which country has the most responses?,Colloquial-Standard,Subjective-Objective,compositional-nonvisual,2,2,kong|kong_30
"It seems like one country might have the highest response rate, right?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,3,2,kong|kong_30
Which country has the highest percentage of positive responses?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,3,5,kong|kong_30
Can you tell me which nation has the highest response rate?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,4,3,kong|kong_30
Could you inform me of the length of the bar for X country?,Colloquial-Standard,Subjective-Objective,lookup-visual,4,3,kong|kong_30
What's your assessment of the length of the bar for X country?,Colloquial-Standard,Subjective-Objective,lookup-visual,2,5,kong|kong_30
Can you tell me the length of the bar for X country?,Colloquial-Standard,Subjective-Objective,lookup-visual,4,1,kong|kong_30
Can you ascertain which bar has the greatest length?,Non-technical-Technical,Subjective-Objective,compositional-visual,3,4,kong|kong_30
Which one do you think is the longest bar?,Non-technical-Technical,Subjective-Objective,compositional-visual,1,1,kong|kong_30
"You know which tech company's stock price has hit the roof the most, right?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,1,1,vega-lite-example-gallery|line_color
Could you inform me which technological corporation has the highest stock price historically?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,4,5,vega-lite-example-gallery|line_color
Which company's line ascends to the highest point on the y-axis over time?,Colloquial-Standard,Non-technical-Technical,compositional-visual,2,2,vega-lite-example-gallery|line_color
Can you determine which company's trajectory reaches the highest point on the graph over time?,Non-technical-Technical,Subjective-Objective,compositional-visual,3,4,vega-lite-example-gallery|line_color
"It's likely that one country had the highest GDP in Year Y, do you know which one?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,3,2,d3|d3_12
"In your opinion, which country had the highest Gross Domestic Product in Year Y?",Non-technical-Technical,Subjective-Objective,compositional-nonvisual,1,4,d3|d3_12
Could you provide information on which country had the highest GDP value in Year Y?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,4,4,d3|d3_12
Do you know which country was the richest in Year Y?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,3,1,d3|d3_12
The country with the highest economic output in Year Y was...?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,3,3,d3|d3_12
Do you have information on which country had the largest economy in Year Y?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,2,3,d3|d3_12
The country with the highest Gross Domestic Product in Year Y was...?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,3,4,d3|d3_12
"There's a country that definitely had the highest GDP in Year Y, do you know which one?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,5,3,d3|d3_12
"A country had the highest GDP in Year Y, do you know which one?",Subjective-Objective,Implicit-Explicit,compositional-nonvisual,3,5,d3|d3_12
Any idea which country had the highest Gross Domestic Product in that year?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,1,4,d3|d3_12
The nation with the highest Gross Domestic Product in Year Y was...?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,3,5,d3|d3_12
Please designate the line that ascends to the highest point on the y-axis in Year Y.,Colloquial-Standard,Implicit-Explicit,compositional-visual,5,5,d3|d3_12
What is the demographic distribution for that age cohort in that state?,Non-technical-Technical,Subjective-Objective,lookup-nonvisual,4,5,d3|d3_4
The population of the age range X in state Y is probably large.,Subjective-Objective,Implicit-Explicit,lookup-nonvisual,4,3,d3|d3_4
I believe there's a considerable population in the age range X in state Y.,Subjective-Objective,Implicit-Explicit,lookup-nonvisual,3,1,d3|d3_4
Can you provide the demographic data for that age group in that state?,Non-technical-Technical,Implicit-Explicit,lookup-nonvisual,4,2,d3|d3_4
"I am investigating, which state has the highest population in the age range X?",Colloquial-Standard,Subjective-Objective,compositional-nonvisual,5,5,d3|d3_4
Could you please provide the data on which state has the highest population in that specific age stratification?,Colloquial-Standard,Non-technical-Technical,compositional-nonvisual,5,5,d3|d3_4
Can you guess which state has the highest population in that age cohort?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,2,4,d3|d3_4
Any idea about the state with the most folks in that age bracket?,Colloquial-Standard,Implicit-Explicit,compositional-nonvisual,1,3,d3|d3_4
I think the state with the most people in that age group is...?,Non-technical-Technical,Subjective-Objective,compositional-nonvisual,2,1,d3|d3_4
Can you tell me where the most people of a certain age group live?,Non-technical-Technical,Implicit-Explicit,compositional-nonvisual,2,1,d3|d3_4
