Chart #,index,level,interaction,composite,v_num,l2,l3,command,query,question,lookup-visual,lookup-nonvisual,compositional-visual,compositional-nonvisual,open-ended
0,17,simple,FALSE,FALSE,1,"The minimum price of the stock is 100 on January 1 2012, 14:00.","The stock price decreased until 2PM, but after that the price kept increasing.",Draw a line chart of price over date,price on x and date on y,How much is the stock price over time?,What does the vertical axis represent?,What is the mimimum price of the stock in the given time?,What's the difference of the height between the highest and the lowest point of the line?,What is the mean value of the price for the given line chart?,Do you think the stock price will go up continuously?
1,30,complex,FALSE,FALSE,1,The point which has the max value of mobility is located in the income between 30K and 40K.,"The cities with more than 50,000 income has relatively low mobility value, while cities with income range from 30,000 to 40,000 has varying mobility.",Generate a scatterplot where mobility is on the horizontal axis and number of people is on the vertical axis,mobility by population,What is the relationship between population and mobility?,What is the minimum value of income for the data point with purple color?,What is the highest value of mobility?,Which group has higher average mobility between the purple group and blue group?,"What is the average population of those who have income range between 40,000 and 50,000?",Is there any relation between the income and mobility?
2,49,complex,TRUE,TRUE,2,The department of human services has lower sum of square footage than department of corrections.,"The number of counts does not strictly align with the sum of square footage, for example, the south illinois university has 5.4 million sum of square footage where the count is 340, but univerity of illinois has 14 million sum of square footage where the count is 372. ","Make a matrix with name of different agencies and counties
Make a bar chart with agency names and square footage sum","matrix chart with county and agency name
bar chart with name of agency and area size's summation","What is the count of records by county name and agency name?
What is the value of sum of square footage by the name of agency?",What is the color of the bars on the right chart?,"Which county has the highest count of records for the agency named ""University of Illinois""?",What is the sum of number of counts for all counties for the agency located the most right on x-axis?,How many agencies have more than 15 million sum of square footage for the whole counties?,How could the agency named nature resource have so many buildings across different counties?
3,109,complex,FALSE,TRUE,2,For the one with highest ODA has the value of 0.423 for 1-HDI.,The ODA and 1-HDI has a weak positive correlation where the R squared value is 0.11.,"Create a scatterplot with 1-HDI and ODA
Draw a linear regression line ","1- HDI by ODA as a scatterplot
regression between the two variables","What is the correlation between the data points with x is 1-HDI and y is ODA?
What is the R squared value?",Is the regression line increasing or decreasing?,What is the maximum ODA over all dataset?,Can you calculate the average ODA for the points over the regression line?,"How many points have more than 2,000 ODA where 1-HDA is less than 0.25?",What can we infer about the relationship between HDA and ODA values?
4,113,complex,FALSE,FALSE,1,The log likelihood is the highest when beta is 26.4 and alpha is 1.15.,"In general, the log likelihood is lower than 4800 when beta is lower than 8.",Show me a dot array of alpha against beta with proportion to the size of log likelihood with the size of the dot,"Dot array, alpha value by beta value with log likelihood as the size of dot",What's the likelihood for a given alpha and beta?,What is alpha value where the color of the circle is green?,What is the log likelihood where alpha is 10 and beta is 20?,"What is the optimal value of the beta approximately by looking at the size of the circles, which represents the log-likelihood?",What is the mean of log likelihood for the values where alpha is larger than 10 and beta is smaller than 40?,What can we conclude about the relationship between alpha and beta values?
5,144,extracomplex,TRUE,FALSE,1,The highest value of old aged people in Korea is predicted to be 2065 with 38%.,"The demographics of old people shows similar patterns in Korea and Japan, although Japan precedes 5 years of Korea.",Plot demographics over time as a line chart by highlight Japan and Korea as yellow and red respectively,Line chart with old people ratio highlighting Japan and South Korea,How does the population of old people change from 1940 to 2100?,Which country is colored as yellow?,What is the percentage of elderly people of Japan in 2040?,What is the saturated percentage who is aged more than 65 in Japan after it peaked the highest?,Why country has the largest gap of the ratio of old people between 1960 and 2020?,Why does the percentage start to saturate after 2050 in Japan?
6,153,extracomplex,TRUE,FALSE,1,"Althought the GDP of Japan was lower than UK in 1967, but was higher in 1972.",GDP of all G7 countries increase over time where US denotes highest value in all given time.,Draw an area plot of GDP from 1950s to 2010s by country,Area chart of GDP vs time,How has the GDP changed over time in seven countries?,What is the GDP of a country with largest area in 2007?,When does the GDP of Germany become larger than 3 billion?,What is the average GDP of a country colored red from 1992 to 2002?,Which country has grown the second most in 2017 in terms of percentage compared to 1954?,Why does Japan starts to grow faster since 1960 compared to UK or Italy?
7,196,extracomplex,FALSE,TRUE,1,The response rate for sqlite is zero for all reported cases.,Duckdb has the highest response rate for the relatively small size datasets except for 100M size one.,Plot multiple bar charts for response rate by types and sizes of dataset,Response rate by DMBS by dataset type and dataset size,Which type of DBMS has the highest response rate considering different conditions like dataset type and size?,What dose the orange bar represents?,"For the DBMS with a size of 10M, what is the percentage of response rate for duckdb in flights data?",What is the difference between the sum of response rates for bars colored blue and bars colored green?,Which database has the lowest response rate for all cases?,"Why dose DuckDB has higher response rate in the dataset with small size, but not in the large dataset?"
8,199,extracomplex,TRUE,FALSE,1,"The Lithuania has the 29,100 income per person which is the median.","The countries in northern europe such as Norway, Sweden, Netherlands, Luxembourg have the most higher income, while the countries in the eastern europe such as Ukraine, Armenia, and Georgia have relatively lower income.",Draw a bar chart of income per person by country,"Income for each person by country, shifted by median","bar chart, x axis income per person, y axis country",Which country has the smallest bar with green color?,"Which country has 44,400 GDP per capita?",What's the mean value of green bars?,How many countries have lower GDP per capita than the average value of the GDP per capita of the countries that have higher GDP per capita than the median?,What are the characteristics of the countries where the incomes are greater than  the median value?
9,224,extracomplex,TRUE,TRUE,3,The operating profit ratio was -0.081 which was the lowest point among all time.,"The net sales peaked in 2009, but abruptly decreased until 2017, while it again continuously increased to the similar level of 2009 since then.","Create a red bar chart of net sales for years
Make line chart for gross profits per years with blue color
Make line chart for operation profits per years with light green color","Bar chart, net sales by time
Blue line chart, gross profit rate by year
Line chrat, operating profit by year","How does net sales change over the given period of time?
How about the gross profit over time?
Is the operation profit follow a similar pattern as the change of gross profit?",What is the value of green line in 2011?,What is the operating profit ratio in 1990?,What is the mean of red bars between the highest and the second highest bars?,When was the year that the gap between the operation profit ans gross profit was the smallest?,Why does the gross and operating profit show the same pattern?
