paraphrases,sentences,ptypes,axes,scores
Could you make a chart for me? It should be a line chart where the date is represented on the x-axis and the price on the y-axis.,Create a line chart with date on the x-axis and price on the y-axis.,commands,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
The line chart shows the relationship between the date and the price.,"Line chart, date, price",queries,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",3
What is the temporal variation in the price as depicted on the linear graph?,How does the price change over time on the line chart?,questions,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
Make a dot graph with 'Moving Around' on the side-to-side line and 'Number of People' on the up-and-down line using a scale that goes up by multiples.,Create a point chart with 'Mobility' on the x-axis and 'Population' on the y-axis using a logarithmic scale.,commands,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",1
The graph represents 'Mobility' in relation to the logarithmic 'Population'.,Point chart of 'Mobility' vs logarithmic 'Population',queries,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",4
Can you clearly explain how 'Population' is distributed in relation to 'Mobility' on a logarithmic scale?,What is the distribution of 'Population' with respect to 'Mobility' in a logarithmic scale?,questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",4
"Could you maybe put together a chart for me? You know, the one where we usually have 'Department' and 'County' as axes and the colors show the number of records. And also, how about another one with 'Department' and 'Building Area', like a bar chart?","Create a rectangular chart with 'Department' on the x-axis and 'County' on the y-axis, color-coded by the count of records.. Create a bar chart with 'Department' on the x-axis and the sum of 'Building Area' on the y-axis.",commands,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",1
"The graphical representation is a rectangle chart with the 'Department' on the x-axis and 'County' on the y-axis, differentiated by the count of records. Additionally, there is a bar chart with the 'Department' on the x-axis and the sum of the 'Building Area' on the y-axis.","Rectangular chart, 'Department' x-axis, 'County' y-axis, color by count of records. Bar chart, 'Department' x-axis, sum of 'Building Area' y-axis",queries,"[['Non-technical', 'Technical', 'Technical language is often used by experts in a particular field and includes specialized terminology and jargon. Non-technical language, on the other hand, is more accessible to a general audience and avoids the use of complex terms.']]",4
"Can you provide me with a detailed breakdown of how the records are divided among the various departments and counties? Additionally, could you give me the exact total area of all the buildings for each department?",What is the distribution of records across departments and counties?. What is the total building area for each department?,questions,"[['Implicit', 'Explicit', 'Implicit language relies on the context, shared knowledge, and non-verbal cues to convey meaning. It often requires the listener or reader to infer or deduce the intended message. Explicit language, on the other hand, is clear and direct. It leaves little room for interpretation or misunderstanding.']]",5
"I think you should make a scatter plot with '1 - HDI' on the x-axis and 'ODA (millions US$)' on the y-axis. Also, I feel it would be beneficial to create a line chart with '1 - HDI' on the x-axis and 'y2' on the y-axis.",Create a scatter plot with '1 - HDI' on the x-axis and 'ODA (millions US$)' on the y-axis.. Create a line chart with '1 - HDI' on the x-axis and 'y2' on the y-axis.,commands,"[['Subjective', 'Objective', 'Subjective language expresses personal opinions, feelings, or judgments, while objective language presents facts or information without bias or personal interpretation.']]",2
