out1s,composites,semantics,NL1
"Step 1. Composite Views:
- True/False: False
- (If True) Type: N/A
- Number of plots: N/A
Step 2. Chart Semantics:
- Data: Google's stock price over time
- Field (Value): Date (temporal), Price (quantitative)
- Transform: N/A
- Mark: Line
- Chart-Type: Line Chart
- Encoding: X-axis represents the date in a temporal format (year, month, date, hours, minutes) and Y-axis represents the price in a quantitative format.
- Style: N/A
- Interaction (e.g., tooltip): N/A
Step 3. Level 1 NL Description:
This is a line chart representing Google's stock price over time. The X-axis is encoded with the date in a temporal format (year, month, date, hours, minutes) and the Y-axis is encoded with the price in a quantitative format. The line mark is used to connect the data points.","- True/False: False
- (If True) Type: N/A
- Number of plots: N/A","- Data: Google's stock price over time
- Field (Value): Date (temporal), Price (quantitative)
- Transform: N/A
- Mark: Line
- Chart-Type: Line Chart
- Encoding: X-axis represents the date in a temporal format (year, month, date, hours, minutes) and Y-axis represents the price in a quantitative format.
- Style: N/A
- Interaction (e.g., tooltip): N/A","This is a line chart representing Google's stock price over time. The X-axis is encoded with the date in a temporal format (year, month, date, hours, minutes) and the Y-axis is encoded with the price in a quantitative format. The line mark is used to connect the data points."
"Step 1. Composite Views:
- True/False: False
- (If True) Type: N/A
- Number of plots: N/A

Step 2. Chart Semantics:
- Data: The data is sourced from a CSV file located at 'https://raw.githubusercontent.com/UIUC-iSchool-DataViz/is445_bcubcg_fall2022/main/data/mobility.csv'.
- Field (Value): The fields used in this visualization are 'Income', 'Mobility', and 'Population'. All of these fields are quantitative.
- Transform: The 'Population' field is transformed using a logarithmic scale.
- Mark: The mark used in this visualization is 'point'.
- Chart-Type: This is a scatter plot.
- Encoding: The 'Income' field is encoded with color, the 'Mobility' field is encoded with the x-axis, and the 'Population' field is encoded with the y-axis. The color encoding uses a 'sinebow' color scheme and is binned into 5 categories.
- Style: The width of the visualization is set to match the container.
- Interaction (e.g., tooltip): Not specified.

Step 3. Level 1 NL Description:
This is a scatter plot visualization that uses point marks to represent data from a CSV file. The data fields 'Income', 'Mobility', and 'Population' are all quantitative. The 'Income' field is represented by color, which is binned into 5 categories and uses a 'sinebow' color scheme. The 'Mobility' field is represented on the x-axis, and the 'Population' field is represented on the y-axis with a logarithmic scale. The width of the visualization is set to match the container.","- True/False: False
- (If True) Type: N/A
- Number of plots: N/A","- Data: The data is sourced from a CSV file located at 'https://raw.githubusercontent.com/UIUC-iSchool-DataViz/is445_bcubcg_fall2022/main/data/mobility.csv'.
- Field (Value): The fields used in this visualization are 'Income', 'Mobility', and 'Population'. All of these fields are quantitative.
- Transform: The 'Population' field is transformed using a logarithmic scale.
- Mark: The mark used in this visualization is 'point'.
- Chart-Type: This is a scatter plot.
- Encoding: The 'Income' field is encoded with color, the 'Mobility' field is encoded with the x-axis, and the 'Population' field is encoded with the y-axis. The color encoding uses a 'sinebow' color scheme and is binned into 5 categories.
- Style: The width of the visualization is set to match the container.
- Interaction (e.g., tooltip): Not specified.","This is a scatter plot visualization that uses point marks to represent data from a CSV file. The data fields 'Income', 'Mobility', and 'Population' are all quantitative. The 'Income' field is represented by color, which is binned into 5 categories and uses a 'sinebow' color scheme. The 'Mobility' field is represented on the x-axis, and the 'Population' field is represented on the y-axis with a logarithmic scale. The width of the visualization is set to match the container."
"Step 1. Composite Views:
- True/False: True
- (If True) Type: Multiple views
- Number of plots: 2

Step 2. Chart Semantics:
- Data: Building inventory data from a CSV file
- Field (Value): Agency Name (Department of Natural Resources, Department of Corrections, Department of Human Services, Department of Transportation, Department of State Police), County (Fulton, Pope, LaSalle, Clinton, Schuyler), Square Footage (quantitative)
- Transform: Filter selection
- Mark: Rectangular and Bar
- Chart-Type: Heatmap and Bar chart
- Encoding: Color, X, Y
- Style: Green color for bar chart
- Interaction (e.g., tooltip): Interval selection on the heatmap

Step 3. Level 1 NL Description:
This visualization consists of two views. The first view is a heatmap that shows the count of buildings by agency name and county. The color intensity represents the count of buildings. The second view is a bar chart that shows the total square footage of buildings by agency name. The bar chart is filtered based on the selection in the heatmap. The bars are colored green.","- True/False: True
- (If True) Type: Multiple views
- Number of plots: 2","- Data: Building inventory data from a CSV file
- Field (Value): Agency Name (Department of Natural Resources, Department of Corrections, Department of Human Services, Department of Transportation, Department of State Police), County (Fulton, Pope, LaSalle, Clinton, Schuyler), Square Footage (quantitative)
- Transform: Filter selection
- Mark: Rectangular and Bar
- Chart-Type: Heatmap and Bar chart
- Encoding: Color, X, Y
- Style: Green color for bar chart
- Interaction (e.g., tooltip): Interval selection on the heatmap",This visualization consists of two views. The first view is a heatmap that shows the count of buildings by agency name and county. The color intensity represents the count of buildings. The second view is a bar chart that shows the total square footage of buildings by agency name. The bar chart is filtered based on the selection in the heatmap. The bars are colored green.
"Step 1. Composite Views:
- True/False: True
- (If True) Type: Layered
- Number of plots: 2

Step 2. Chart Semantics:
- Data: The data is sourced from a CSV file hosted on a URL. The data pertains to the percentage of population in extreme poverty and the net official development aid (ODA) received.
- Field (Value): The fields used in the visualization are 'X' (1 - HDI), 'y' (ODA in millions of US$), and 'y2'.
- Transform: No specific transformation is mentioned.
- Mark: The marks used are 'point' and 'line'.
- Chart-Type: The chart is a scatter plot with a regression line.
- Encoding: The 'X' field is encoded to the x-axis, the 'y' field is encoded to the y-axis, and the 'y2' field is also encoded to the y-axis for the regression line.
- Style: The points are colored dark blue and the regression line is colored red.
- Interaction (e.g., tooltip): No specific interaction is mentioned.

Step 3. Level 1 NL Description:
This layered visualization consists of a scatter plot and a regression line. The scatter plot uses dark blue points to represent the relationship between '1 - HDI' and 'ODA in millions of US$'. The regression line, colored in red, is drawn based on these points. The data used for this visualization is sourced from a CSV file and pertains to the percentage of population in extreme poverty and the net official development aid (ODA) received.","- True/False: True
- (If True) Type: Layered
- Number of plots: 2","- Data: The data is sourced from a CSV file hosted on a URL. The data pertains to the percentage of population in extreme poverty and the net official development aid (ODA) received.
- Field (Value): The fields used in the visualization are 'X' (1 - HDI), 'y' (ODA in millions of US$), and 'y2'.
- Transform: No specific transformation is mentioned.
- Mark: The marks used are 'point' and 'line'.
- Chart-Type: The chart is a scatter plot with a regression line.
- Encoding: The 'X' field is encoded to the x-axis, the 'y' field is encoded to the y-axis, and the 'y2' field is also encoded to the y-axis for the regression line.
- Style: The points are colored dark blue and the regression line is colored red.
- Interaction (e.g., tooltip): No specific interaction is mentioned.","This layered visualization consists of a scatter plot and a regression line. The scatter plot uses dark blue points to represent the relationship between '1 - HDI' and 'ODA in millions of US$'. The regression line, colored in red, is drawn based on these points. The data used for this visualization is sourced from a CSV file and pertains to the percentage of population in extreme poverty and the net official development aid (ODA) received."
"Step 1. Composite Views:
- True/False: False
- (If True) Type: N/A
- Number of plots: N/A

Step 2. Chart Semantics:
- Data: The data is sourced from a CSV file hosted on GitHub, which contains information about the alpha, beta, and log-likelihood (llhd) values.
- Field (Value): The fields used in the visualization are 'alpha', 'beta', and 'llhd'.
- Transform: No transformation is applied to the data.
- Mark: The mark used in the visualization is 'point'.
- Chart-Type: This is a scatter plot.
- Encoding: The 'alpha' and 'beta' fields are encoded as the x and y axes respectively, both of which are quantitative. The 'llhd' field is encoded as both the size and color of the points, which is also quantitative.
- Style: The x and y axes do not start from zero and do not have a grid. The points do not have a stroke.
- Interaction (e.g., tooltip): No interaction is specified in the visualization.

Step 3. Level 1 NL Description:
This is a scatter plot where each point represents data from a CSV file. The x-axis represents the 'alpha' field and the y-axis represents the 'beta' field, both of which are quantitative. The size and color of the points represent the 'llhd' field, which is also quantitative. The size of the points increases and the color changes from green to red as the 'llhd' value increases. The x and y axes do not start from zero and do not have a grid. The points do not have a stroke.","- True/False: False
- (If True) Type: N/A
- Number of plots: N/A","- Data: The data is sourced from a CSV file hosted on GitHub, which contains information about the alpha, beta, and log-likelihood (llhd) values.
- Field (Value): The fields used in the visualization are 'alpha', 'beta', and 'llhd'.
- Transform: No transformation is applied to the data.
- Mark: The mark used in the visualization is 'point'.
- Chart-Type: This is a scatter plot.
- Encoding: The 'alpha' and 'beta' fields are encoded as the x and y axes respectively, both of which are quantitative. The 'llhd' field is encoded as both the size and color of the points, which is also quantitative.
- Style: The x and y axes do not start from zero and do not have a grid. The points do not have a stroke.
- Interaction (e.g., tooltip): No interaction is specified in the visualization.","This is a scatter plot where each point represents data from a CSV file. The x-axis represents the 'alpha' field and the y-axis represents the 'beta' field, both of which are quantitative. The size and color of the points represent the 'llhd' field, which is also quantitative. The size of the points increases and the color changes from green to red as the 'llhd' value increases. The x and y axes do not start from zero and do not have a grid. The points do not have a stroke."
"Step 1. Composite Views:
- True/False: False
- (If True) Type: N/A
- Number of plots: 1

Step 2. Chart Semantics:
- Data: The data is sourced from a CSV file hosted on a GitHub repository. The file contains demographic data from the United Nations.
- Field (Value): The fields used in the visualization are 'Year' (temporal), 'sh_65+' (quantitative), and 'Region' (nominal). The 'Region' field has values such as 'Australia', 'Bangladesh', 'Brazil', 'Canada', 'Chile', etc.
- Transform: The visualization includes a filter transform based on the 'Region' field.
- Mark: The mark type used in the visualization is 'line'.
- Chart-Type: This is a line chart.
- Encoding: The 'Year' field is encoded to the x-axis, the 'sh_65+' field is encoded to the y-axis, and the 'Region' field is encoded to the color of the lines.
- Style: The chart has a dark background with transparent stroke. The lines are 2 pixels wide. The color of the lines is determined by the 'Region' field, with Japan and South Korea highlighted in red and yellow respectively.
- Interaction (e.g., tooltip): The visualization includes a single selection interaction on the 'Region' field, allowing users to select a country from a dropdown menu.

Step 3. Level 1 NL Description:
This is a line chart that visualizes demographic data from the United Nations. The chart plots the share of the population that is aged 65 and over ('sh_65+') against the 'Year'. Each line represents a different region, with the color of the line indicating the region. The chart includes an interaction that allows users to select a specific region to view. The chart is styled with a dark background and transparent stroke, and the lines are 2 pixels wide. Japan and South Korea are highlighted in red and yellow respectively.","- True/False: False
- (If True) Type: N/A
- Number of plots: 1","- Data: The data is sourced from a CSV file hosted on a GitHub repository. The file contains demographic data from the United Nations.
- Field (Value): The fields used in the visualization are 'Year' (temporal), 'sh_65+' (quantitative), and 'Region' (nominal). The 'Region' field has values such as 'Australia', 'Bangladesh', 'Brazil', 'Canada', 'Chile', etc.
- Transform: The visualization includes a filter transform based on the 'Region' field.
- Mark: The mark type used in the visualization is 'line'.
- Chart-Type: This is a line chart.
- Encoding: The 'Year' field is encoded to the x-axis, the 'sh_65+' field is encoded to the y-axis, and the 'Region' field is encoded to the color of the lines.
- Style: The chart has a dark background with transparent stroke. The lines are 2 pixels wide. The color of the lines is determined by the 'Region' field, with Japan and South Korea highlighted in red and yellow respectively.
- Interaction (e.g., tooltip): The visualization includes a single selection interaction on the 'Region' field, allowing users to select a country from a dropdown menu.","This is a line chart that visualizes demographic data from the United Nations. The chart plots the share of the population that is aged 65 and over ('sh_65+') against the 'Year'. Each line represents a different region, with the color of the line indicating the region. The chart includes an interaction that allows users to select a specific region to view. The chart is styled with a dark background and transparent stroke, and the lines are 2 pixels wide. Japan and South Korea are highlighted in red and yellow respectively."
"Step 1. Composite Views:
- False

Step 2. Chart Semantics:
- Data: The data is sourced from an online CSV file, which contains information about the GDP of G7 countries from 1952 to 2017.
- Field (Value): The fields used in this visualization are 'country', 'year', and 'gdp'. The 'country' field is nominal and includes the G7 countries. The 'year' field is temporal. The 'gdp' field is calculated by multiplying the population with the GDP per capita.
- Transform: The data is filtered to include only the G7 countries. Then, the GDP is calculated. Finally, the total GDP is aggregated for each year and country.
- Mark: The mark used in this visualization is 'area'.
- Chart-Type: This is a Stacked Area Chart.
- Encoding: The 'year' field is encoded to the x-axis, and the 'total' field is encoded to the y-axis. The 'country' field is encoded with color. The opacity of the areas is also encoded, with selected areas having an opacity of 1 and unselected areas having an opacity of 0.2.
- Style: The grid lines on the x-axis are removed. The color scheme used is 'set2'. The legend is placed at the bottom and oriented horizontally. The stroke of the view is set to transparent.
- Interaction: A tooltip is provided that shows the 'year', 'country', and 'total' when hovered over an area. A multi-selection interaction is also provided, which allows the user to select multiple countries from the legend.

Step 3. Level 1 NL Description:
This is a Stacked Area Chart that visualizes the GDP of G7 countries from 1952 to 2017. The x-axis represents the year, and the y-axis represents the total GDP. Each country is represented by a different color. The areas are semi-transparent, but become opaque when selected from the legend. A tooltip provides additional information when an area is hovered over.",- False,"- Data: The data is sourced from an online CSV file, which contains information about the GDP of G7 countries from 1952 to 2017.
- Field (Value): The fields used in this visualization are 'country', 'year', and 'gdp'. The 'country' field is nominal and includes the G7 countries. The 'year' field is temporal. The 'gdp' field is calculated by multiplying the population with the GDP per capita.
- Transform: The data is filtered to include only the G7 countries. Then, the GDP is calculated. Finally, the total GDP is aggregated for each year and country.
- Mark: The mark used in this visualization is 'area'.
- Chart-Type: This is a Stacked Area Chart.
- Encoding: The 'year' field is encoded to the x-axis, and the 'total' field is encoded to the y-axis. The 'country' field is encoded with color. The opacity of the areas is also encoded, with selected areas having an opacity of 1 and unselected areas having an opacity of 0.2.
- Style: The grid lines on the x-axis are removed. The color scheme used is 'set2'. The legend is placed at the bottom and oriented horizontally. The stroke of the view is set to transparent.
- Interaction: A tooltip is provided that shows the 'year', 'country', and 'total' when hovered over an area. A multi-selection interaction is also provided, which allows the user to select multiple countries from the legend.","This is a Stacked Area Chart that visualizes the GDP of G7 countries from 1952 to 2017. The x-axis represents the year, and the y-axis represents the total GDP. Each country is represented by a different color. The areas are semi-transparent, but become opaque when selected from the legend. A tooltip provides additional information when an area is hovered over."
"Step 1. Composite Views:
- True/False: True
- Type: Trellis
- Number of plots: Multiple plots arranged in a grid, with the number of plots depending on the unique combinations of dataset size and dataset.

Step 2. Chart Semantics:
- Data: The data is not provided in the visualization, but it appears to involve different datasets, dataset sizes, DBMS drivers, and response rates.
- Field (Value): 
  - dataset_size (Dataset Size), Type: ordinal, Value: ['100M' '10M' '1M']
  - dataset (Dataset), Type: nominal, Value: ['flights' 'movies' 'weather']
  - driver (DBMS), Type: nominal, Value: ['monetdb' 'postgresql' 'sqlite' 'verdictdb' 'duckdb']
- Transform: The response rate is calculated and presented in a nice format, and its position is clamped between 0 and 70.
- Mark: Bar and text
- Chart-Type: Bar chart
- Encoding: 
  - Y-axis: DBMS driver
  - X-axis: Response rate
  - Color: DBMS driver
- Style: The bars are clipped to the chart area, and the text is aligned to the left and clipped to the chart area.
- Interaction: No interaction is specified.

Step 3. Level 1 NL Description:
This visualization presents a trellis of bar charts, each representing a different combination of dataset and dataset size. Each bar chart shows the response rate of different DBMS drivers, with the drivers represented on the y-axis and the response rate on the x-axis. The bars are colored according to the driver. The response rate is also displayed as text on each bar.","- True/False: True
- Type: Trellis
- Number of plots: Multiple plots arranged in a grid, with the number of plots depending on the unique combinations of dataset size and dataset.","- Data: The data is not provided in the visualization, but it appears to involve different datasets, dataset sizes, DBMS drivers, and response rates.
- Field (Value): 
  - dataset_size (Dataset Size), Type: ordinal, Value: ['100M' '10M' '1M']
  - dataset (Dataset), Type: nominal, Value: ['flights' 'movies' 'weather']
  - driver (DBMS), Type: nominal, Value: ['monetdb' 'postgresql' 'sqlite' 'verdictdb' 'duckdb']
- Transform: The response rate is calculated and presented in a nice format, and its position is clamped between 0 and 70.
- Mark: Bar and text
- Chart-Type: Bar chart
- Encoding: 
  - Y-axis: DBMS driver
  - X-axis: Response rate
  - Color: DBMS driver
- Style: The bars are clipped to the chart area, and the text is aligned to the left and clipped to the chart area.
- Interaction: No interaction is specified.","This visualization presents a trellis of bar charts, each representing a different combination of dataset and dataset size. Each bar chart shows the response rate of different DBMS drivers, with the drivers represented on the y-axis and the response rate on the x-axis. The bars are colored according to the driver. The response rate is also displayed as text on each bar."
"Step 1. Composite Views:
- False

Step 2. Chart Semantics:
- Data: The data is sourced from a URL: 'https://www.trafforddatalab.io/interactive_graphics_companion/data/gapminder.csv'.
- Field (Value): The fields used in the visualization are 'year', 'region', 'gdpPercap' (GDP per capita), and 'country'. The 'year' and 'region' fields are used to filter the data to only include records from the year 2017 and the region Europe. The 'gdpPercap' field is used to calculate the median income per person and the difference from the median for each country. The 'country' field is used as the nominal variable in the y-axis encoding.
- Transform: The data is transformed by filtering for the year 2017 and the region Europe, calculating the median income per person and the difference from the median for each country, and categorizing each country as 'Below median' or 'Above median' based on their GDP per capita.
- Mark: The mark type used in the visualization is 'bar'.
- Chart-Type: This is a bar chart.
- Encoding: The y-axis encodes the 'country' field, sorted by the mean difference from the median income per person. The x-axis encodes the 'diff' field, representing the difference from the median income per person. The color encodes the 'type' field, categorizing each country as 'Below median' or 'Above median'. The opacity is set to 0.7. The tooltip displays the 'country', 'gdpPercap', and 'diff' fields.
- Style: The style configuration removes the domain color from the axis and the stroke from the cell.
- Interaction: The interaction in the visualization is the tooltip, which displays the 'country', 'gdpPercap', and 'diff' fields when a bar is hovered over.

Step 3. Level 1 NL Description:
This is a bar chart that displays the income per person for different countries in Europe in the year 2017. The countries are represented on the y-axis and the difference from the median income per person is represented on the x-axis. The bars are colored to indicate whether the country's income per person is below or above the median. The chart includes a tooltip that displays the country name, GDP per capita, and difference from the median when a bar is hovered over.",- False,"- Data: The data is sourced from a URL: 'https://www.trafforddatalab.io/interactive_graphics_companion/data/gapminder.csv'.
- Field (Value): The fields used in the visualization are 'year', 'region', 'gdpPercap' (GDP per capita), and 'country'. The 'year' and 'region' fields are used to filter the data to only include records from the year 2017 and the region Europe. The 'gdpPercap' field is used to calculate the median income per person and the difference from the median for each country. The 'country' field is used as the nominal variable in the y-axis encoding.
- Transform: The data is transformed by filtering for the year 2017 and the region Europe, calculating the median income per person and the difference from the median for each country, and categorizing each country as 'Below median' or 'Above median' based on their GDP per capita.
- Mark: The mark type used in the visualization is 'bar'.
- Chart-Type: This is a bar chart.
- Encoding: The y-axis encodes the 'country' field, sorted by the mean difference from the median income per person. The x-axis encodes the 'diff' field, representing the difference from the median income per person. The color encodes the 'type' field, categorizing each country as 'Below median' or 'Above median'. The opacity is set to 0.7. The tooltip displays the 'country', 'gdpPercap', and 'diff' fields.
- Style: The style configuration removes the domain color from the axis and the stroke from the cell.
- Interaction: The interaction in the visualization is the tooltip, which displays the 'country', 'gdpPercap', and 'diff' fields when a bar is hovered over.","This is a bar chart that displays the income per person for different countries in Europe in the year 2017. The countries are represented on the y-axis and the difference from the median income per person is represented on the x-axis. The bars are colored to indicate whether the country's income per person is below or above the median. The chart includes a tooltip that displays the country name, GDP per capita, and difference from the median when a bar is hovered over."
"Step 1. Composite Views:
- True/False: True
- Type: Layered
- Number of plots: 3

Step 2. Chart Semantics:
- Data: The data is sourced from a CSV file hosted on GitHub. It contains financial information from Nintendo's Consolidated Statements of Income.
- Field (Value): The fields include 'date' (year), 'Net sales' (net sales in million yen), 'Gross profit' (gross profit in million yen), 'Gross profit ratio', 'Operating profit' (operating profit in million yen), and 'Operating profit ratio'.
- Transform: No specific transformations are mentioned.
- Mark: The marks used are bars (for net sales) and lines (for gross profit ratio and operating profit ratio).
- Chart-Type: This is a layered bar and line chart.
- Encoding: The x-axis represents the 'date' (year), and the y-axis represents 'Net sales', 'Gross profit ratio', and 'Operating profit ratio'. The color encoding is used to differentiate between net sales, gross profit ratio, and operating profit ratio.
- Style: The chart has a specific color scheme for each mark, with net sales represented in red, gross profit ratio in dark green, and operating profit ratio in light green. The chart also has a title and subtitle.
- Interaction: The chart includes tooltips that display detailed information for each data point when hovered over.

Step 3. Level 1 NL Description:
This is a layered bar and line chart that displays Nintendo's Consolidated Statements of Income over time. The x-axis represents the year, and the y-axis represents net sales, gross profit ratio, and operating profit ratio. Net sales are represented by red bars, while the gross profit ratio and operating profit ratio are represented by dark green and light green lines, respectively. The chart includes tooltips that provide more detailed information when you hover over each data point.","- True/False: True
- Type: Layered
- Number of plots: 3","- Data: The data is sourced from a CSV file hosted on GitHub. It contains financial information from Nintendo's Consolidated Statements of Income.
- Field (Value): The fields include 'date' (year), 'Net sales' (net sales in million yen), 'Gross profit' (gross profit in million yen), 'Gross profit ratio', 'Operating profit' (operating profit in million yen), and 'Operating profit ratio'.
- Transform: No specific transformations are mentioned.
- Mark: The marks used are bars (for net sales) and lines (for gross profit ratio and operating profit ratio).
- Chart-Type: This is a layered bar and line chart.
- Encoding: The x-axis represents the 'date' (year), and the y-axis represents 'Net sales', 'Gross profit ratio', and 'Operating profit ratio'. The color encoding is used to differentiate between net sales, gross profit ratio, and operating profit ratio.
- Style: The chart has a specific color scheme for each mark, with net sales represented in red, gross profit ratio in dark green, and operating profit ratio in light green. The chart also has a title and subtitle.
- Interaction: The chart includes tooltips that display detailed information for each data point when hovered over.","This is a layered bar and line chart that displays Nintendo's Consolidated Statements of Income over time. The x-axis represents the year, and the y-axis represents net sales, gross profit ratio, and operating profit ratio. Net sales are represented by red bars, while the gross profit ratio and operating profit ratio are represented by dark green and light green lines, respectively. The chart includes tooltips that provide more detailed information when you hover over each data point."
